A: 	ja nou moeten ik weer kop 
A: 	piramide erop 
A: 	soort van vierkantachtig maar net niet helemaal ding zitten er een beetje aan vastgelijmen rechts 
B: 	ha 
A: 	link een soort van wijnflesje die eruit opsteken en linksonder een cirkel 
B: 	ja 
B: 	dat zijn J 
A: 	en hij staan bij mij ja rechtsonder maar dan de twee rij van rechts 
B: 	ja 
A: 	maar wel helemaal onderaan 
B: 	helemaal onderaan maar net niet in de hoek ja 
A: 	yes 
B: 	dan staan ze op dezelfde plek 
B: 	dit zijn die met die piramide zullen ik maar zeggen op het kop 
A: 	ja 
B: 	en dan rechts dat soort vierkant wat niet helemaal een vierkant zijn en links die fles wijn 
B: 	en linksonder 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	en hij staat rechtsonder maar dan één omhoog en één naar links 
A: 	ja ja dat zijn hetzelfde 
B: 	ja 
A: 	dus dat zijn geel 
A: 	kop met de piramide 
A: 	en de de wijnfles aan de linkerkant 
B: 	ja ja 
A: 	en 
B: 	dat zijn E 
A: 	en hij staan nou als je van boven naar onder kijken wat naar onder van het midden en van links naar rechts wat rechts van het midden dus 
A: 	beetje zeggen maar rechtsonder van het middelpunt 
A: 	twee rij van onder en twee rij van het middelpunt af naar rechts zeggen maar 
B: 	ja 
B: 	dan staan ze op dezelfde plek 
B: 	dat ding met dat piramide erop 
B: 	op het kop en dan rechts dat vierkant armp en links het wijnflesje 
A: 	ja nummer tien 
B: 	en hij staan bij mij linksonder 
A: 	helemaal linksonder 
B: 	ja je zullen er nog iets naast kunnen zetten maar er staan niet echt iets naast 
A: 	oké ja bij mij staan die met die die staaf aan de die zitten bekendstaan er nog naast dus dan denken ik niet dat die op dezelfde plek zitten 
B: 	oké 
A: 	dus rood 
A: 	de piramide aan de bovenkant de wijnfles aan de linkerkant 
B: 	ja 
A: 	net niet vierkantje 
B: 	dat zijn G 
A: 	en helemaal Linksboven 
B: 	ja dat kloppen ook 
B: 	met het driehoek op het kop en links het wijnflesje erin en rechts het vierkant ding 
A: 	ik zijn hem aan het zoeken 
A: 	ja hebbes 
A: 	nummer tien 
B: 	en hij staan 
A: 	bij mij staan die naast de waterpomp 
B: 	ja 
A: 	iets linksonder ervan 
B: 	dus zeggen maar niet één naar links vanuit rechts zien en dan ook twee naar boven denken ik vanuit beneden zien 
A: 	nee je hebben de waterpomp en daar staan die echt bijna helemaal naast daar staan die iets onder bij mij 
B: 	ja 
B: 	ja bij mij ook 
A: 	oké dan zijn dat dezelfde 
