A: 	oké 
A: 	ik onthield deze met het bolle of het het balle 
A: 	er zitten een soort van het zijn eigenlijk volgens mij het enig kop met één met een balle dat erbovenop liggen 
B: 	ja 
B: 	en dan twee van die 
A: 	staven aan de zijkant en een lang aan de voorkant 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	dat zijn nummer D bij mij 
A: 	dan staan die helemaal onderaan net links van het midden 
B: 	ja dat staan die bij mij ook 
B: 	deze hebben we al hebben maar die krijgen we opnieuw volgens mij 
A: 	ja het zijn volgens mij nu ook verwisseld allemaal 
A: 	de locatie zijn anders ineens 
B: 	ja inderdaad ja 
A: 	oké 
B: 	ja dit zijn weer die bal die boven op die korf liggen 
B: 	ja met die steeksel 
A: 	ja 
A: 	oké 
A: 	dat zijn vijftien 
B: 	en hij staan rechtsonder in de hoek helemaal 
A: 	helemaal in de hoek 
B: 	ja 
A: 	oké dan zijn dat niet hetzelfde 
A: 	oké dit zijn die met het balle bovenop 
B: 	ja dat zijn L 
A: 	en die staan we hebben net die een die boven het scherm in het midden staan 
A: 	en deze staan er dan net linksonder van 
B: 	van het scherm in het midden 
B: 	ja ja ja 
B: 	dat zijn hetzelfde 
B: 	dit zijn die met dat balle op het op op de korf 
A: 	dat zijn zes 
B: 	en die staan niet de allerrecht maar dan één 
B: 	zeggen maar rechts rechtsboven in de hoek 
B: 	daar schuin onder schuin linksonder 
A: 	oké dus niet de onderste punt van de driehoek 
B: 	nee 
A: 	oké dat zijn die bij mij dus niet gelijk 
A: 	dit zijn die met het balle bovenop 
B: 	ja dat zijn J 
A: 	en die staan dan niet helemaal rechts maar die twee link daarvan en daarvan de boven 
B: 	niet helemaal rechts maar die twee link daarvan 
B: 	ja ja ja 
B: 	dit zijn de bal op de korf 
A: 	drie 
B: 	die staan in het midden en dan helemaal rechts 
A: 	dus eigenlijk de allermeest rechts die er zijn 
B: 	ja de veel rechts 
A: 	oké ja gelijk 
