B: 	er zitten zeggen maar weer een balonnetje in soort van balonne met een 
B: 	pilaar er langs boven en aan de voorkant zitten een bol en link zitten nog een soort van gootje 
A: 	zo'n driehoek 
B: 	ja soort van ja driehoek inderdaad 
A: 	veertien 
B: 	ja 
A: 	bij mij staan hij ja 
A: 	in het midden maar veel richting rechts en en dan hebben je helemaal bovenin één figuur staan 
B: 	ja bij mij ook 
B: 	ja 
A: 	en dan rechtond staan er nog één en dan vier in het rechter gedeelte 
B: 	rechtervak ja dan zijn het hetzelfde 
A: 	ja 
A: 	deze hebben een groot ja groot rond aan de voorkant en dan dus dat driehoek aan de zijkant als een soort gleuf 
A: 	vierkant blok op de bovenkant en dat gek ballonne er in 
B: 	de voorkant zo'n bolle zegmaar die echt dan ja ok dat zijn N 
A: 	ja 
A: 	bij mij zitten hij helemaal links in zijn één 
B: 	nee zijn niet het zijn trouwens gewoon elk keer dezelfde opstelling volgens mij 
A: 	ja 
B: 	het zijn elk keer die zes en dat blok van vier en dan één helemaal nou in ieder geval elk 
A: 	maar dat zijn net niet toch 
B: 	nee maar nu al een paar keer wel dus maar het zijn bij jou helemaal links 
A: 	ja 
A: 	ja 
B: 	ja die zijn het bij mij niet 
B: 	bij mij zijn het nou die het bij jou net zijn 
A: 	ok 
A: 	nee 
B: 	zegmaar met dat bolle vooraan links dat soort van gootje dat driehoek en dan links ballonne eruit en een blok eruit boven 
A: 	ja 
A: 	negen 
A: 	helemaal Linksboven 
B: 	twee zijn het bij mij van de één rij dus 
A: 	nee 
B: 	niet dezelfde 
A: 	dat bolle aan de voorkant en dan gleufje van een driehoek aan de zijkant en een vierkantje aan de bovenkant 
B: 	G 
A: 	drie rij drie figuur 
B: 	ja 
B: 	die met dat bolle vooraan gleufje link ballonne er uit en blok er uit aan de bovenkant 
A: 	vijf 
A: 	in de laat rij dus zeven en dan de één 
B: 	nee bij mij in de vijf rij de boven 
A: 	o zijn ik 
B: 	o jij moeten ja 
A: 	met het bolle aan de voorkant driehoekig gleufje aan de zijkant 
B: 	J 
B: 	even kijken 
A: 	rechts hebben je zo'n driehoek eigenlijk met drie figuurt 
B: 	helemaal bovenin 
A: 	ja 
B: 	okan ja 
A: 	en daarvan zijn het niet die bovenste maar die daar linksonder 
B: 	nee bij mij zijn het zegmaar nog één ver naar onder naar linksonder 
A: 	dus veel richting de zijkant van het scherm 
B: 	nee veel richting het midden van het scherm 
A: 	ok wachten 
B: 	we kunnen goed weer rij doen denken ik 
A: 	ja even kijken dan hebben je dus die één rij hebben er dan vier 
B: 	ja 
A: 	en de twee rij één twee drie vier vijf ja er zweeven er zo één tussen weten je wel 
B: 	ja 
A: 	dus kunnen je misschien goed weer zo doen 
B: 	zo doen ja 
A: 	dus dan links de één rij hebben er drie 
B: 	twee één 
A: 	twee één ? nee drie één twee toch 
B: 	ja drie één twee 
A: 	twee drie 
B: 	ja 
A: 	drie drie één 
B: 	één ja ok 
A: 	dus dan hebben je één twee drie vier in de vijf rij de één 
B: 	vijf rij de één shit welk zijn het ook alweer 
A: 	met het bolle 
B: 	o nee dat zijn niet dezelfde en dat gleufje 
A: 	ja 
B: 	ja 
B: 	bij mij zijn het de één twee drie vier vijf rij de twee 
A: 	nee 
