B: 	ik hebben de trofee 
A: 	de trofee 
B: 	ja met als enig zo'n uitstulpsel echt onder 
B: 	lijken op de trofee 
B: 	staan op zo'n drie 
A: 	ja ja hij staan op zo'n driehoek en dan zo'n DNAspiraal naar boven 
B: 	ja 
A: 	oké dat zijn nummer vier 
B: 	en hij bekendstaan eigenlijk helemaal rechts in de hoek bovenaan 
A: 	oké nou daar staan die bij mij niet 
A: 	die een met dat driehoekig voe en die DNAspiraal 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	oké 
A: 	en hij staan als je staan op zich centrum centrum en dan of ongeveer op vijfenzeventig procent van links 
B: 	bij mij staan die helemaal tegen de zijkant 
B: 	met dat voe 
B: 	die trofee 
A: 	ja 
B: 	dNAstreng 
A: 	de 
A: 	dat zijn nummer acht 
B: 	en dan staan die helemaal onderaan 
B: 	en dan ongeveer dertig procent van 
A: 	ja 
A: 	zijn die al niet 
B: 	dat zijn het niet 
A: 	ja 
A: 	die met dat DNA en dat voe dat driehoekig voe 
B: 	ja zijn L 
A: 	en die staan bij mij ongeveer tien procent van de rechterrand af en ook ongeveer tien procent van boven 
B: 	ja 
B: 	ik hebben die met die dNAstreng 
A: 	ja dat zijn nummer vier 
B: 	ja 
B: 	hij staan in midden midden iets naar links iets naar onder 
A: 	ja 
A: 	die met dat dNAdingetje 
A: 	en dit blok 
B: 	ja 
B: 	F 
A: 	dan staan die best wel midden midden hij lijken wat aan de groot kant en iets misschien iets naar boven misschien iets naar rechts maar 
B: 	echt midden midden 
A: 	ja 
B: 	nee 
