A: 	ja ik ik vinden deze de raar vorm van van allemaal 
A: 	zitten het lijken op zo'n zo'n satelliet of zo 
A: 	bovenin 
B: 	event kijken 
B: 	zijn dat met zitten er ook zo'n vierkant plaat aan de zijkant of niet 
B: 	die vinden ik een beetje op een satelliet lijken 
A: 	nee 
A: 	ja het hebben wel beneden zeggen maar zo'n zo'n waterslurfachtig 
A: 	zo'n zeggen maar ja je zullen het ook kunnen zien 
B: 	die 
B: 	ja ja 
B: 	zitten bovenin een ruit met aan allebei de kant een dinget ? ja 
A: 	ja juist 
B: 	en en bovenin zeggen maar veel in zo'n zo'n Jvorm zo'n sik of niet 
A: 	ja eigenlijk wel 
B: 	ja 
A: 	weten je wanneer je in het ziekenhuis zijn en dan hebben je van al die Tubes en zo 
B: 	ja ja ja 
B: 	ja 
A: 	dat 
B: 	oké 
A: 	ja kloppen 
B: 	M 
B: 	bij mij zitten die als je die dat ding van de microfoon doortreken 
A: 	ja 
B: 	en dan zo'n stuk 
A: 	daarvan 
B: 	daarnaast ja 
A: 	maar links van je scherm 
B: 	ja aan de linkerkant 
A: 	oké nou dat zijn bij mij ook 
A: 	jou beurt 
B: 	nu hebben ik weer die die met die blauw of met die met die sik onderaan 
A: 	met die ding boven die satelliet of plateau weten ik veel wat het zijn 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	negen 
B: 	en hij staan 
A: 	link van de logo 
B: 	ja en dan zeggen maar zo'n stuk 
A: 	ja 
A: 	die die J zeggen maar met die satelliet daar bovenaan 
B: 	ja 
B: 	H 
A: 	dit zijn wachten dit kunnen best makkelijk gewoon dit zijn de van mij tenminste zijn de linkerhoek zeggen maar 
A: 	en dan precies in het midden 
A: 	in feit 
A: 	dus je hebben bijna wat zes zes 
B: 	ja 
A: 	en dan 
B: 	ja bij mij ook 
B: 	die met die satelliet boven en die sik daaronder 
A: 	ja 
A: 	elf 
B: 	en hij staan als je weer in vier zullen delen 
A: 	ja 
B: 	staan die in de bovenste in het in het midden 
B: 	kijken dat zijn bij jou dan ja bij jou dan rechtsboven in het midden 
A: 	hier 
A: 	maar hij zitten 
B: 	nee hij zitten Linksboven in het midden 
A: 	hebben je één hebben je nog een plaat link daarvan of zijn het gewoon leeg 
B: 	nee daar zijn leeg 
A: 	oké dan wel 
A: 	ja die sitconding wat je zeggen of die J en dan die satelliet 
B: 	ja 
B: 	d 
B: 	bij mij staan die linksonder in het scherm 
A: 	nee van mij niet 
B: 	het zijn die satelliet en die sik 
A: 	ja 
A: 	veertien 
B: 	en hij staan bij mij bijna tegen dat microfoondingetje aan 
A: 	nee van mij niet 
