B: 	hebben een bolle aan de voor ja rechtsvoorkant 
B: 	en aan de bovenkant zitten een recht rechthoekig staaf maar daarnaast een veel ronder vorm 
B: 	lang dinge 
A: 	een soort kegelachtig iets bedoelen je 
B: 	ja en dan aan de zijkant van het kop zitten nog een driehoekig staaf 
A: 	ja 
A: 	ja dat zijn veertien 
B: 	en bij mij staan die net rechts van het midden 
B: 	en dan als je hem zo delen 
B: 	er weer net onder 
B: 	niet net maar wel ja 
A: 	ja 
B: 	zeggen maar ik hebben zo'n stuk eronder nog 
A: 	ja ik ook 
B: 	tot de onderste rand 
A: 	zo 
A: 	dus ik denken dat het wel dezelfde plek zijn en dan rechts naast het midden 
B: 	ja 
B: 	en 
B: 	ja echt precies naast het midden zeggen maar 
B: 	rechts 
A: 	ja 
A: 	denken wel dat dat hetzelfde zijn 
B: 	ja 
A: 	ja dit zijn het kop met het bolle aan de voorkant 
A: 	en bovenin een vierkant staaf en een kegelstaaf en link dan nog dat driehoekig staaf 
B: 	ja 
B: 	dat zijn N 
A: 	hij staan ja helemaal links 
A: 	en net iets boven het midden 
B: 	helemaal links 
A: 	ja 
A: 	zo op zo'n stuk na 
B: 	oké 
B: 	dat zijn niet hetzelfde als mijn 
B: 	bij mij staan die echt in het midden van de linkerhelft 
A: 	nee hij staan wel helemaal links 
B: 	oké 
B: 	niet hetzelfde 
B: 	dit zijn die met het bolle aan de Rechtervoorkant en twee ding aan de bovenkant één zijn 
B: 	rechthoekig en de ander zijn kegelvorm en links nog een driehoekig staaf 
A: 	ja dat zijn negen 
B: 	hij staat bijna op de helemaal linkerst links rij 
B: 	of nou ja kolom 
B: 	en dan zo bijna het midden 
A: 	het midden ja 
B: 	misschien net Erboven 
A: 	ja bij mij staan die helemaal boven met zo zo'n stuk boven 
B: 	nee dan zijn dat niet hetzelfde 
A: 	dit zijn die met dat bolle rechtsvoor en boven die twee staaf die vierkant en de kegel 
A: 	en link dat driehoekig staaf 
B: 	ja 
B: 	dat zijn G 
A: 	en hij staan net iets link van het midden 
B: 	ja 
A: 	en net iets onder het midden 
B: 	ja bij mij ook 
B: 	ja 
B: 	dat zijn hetzelfde denken ik 
A: 	denken het ook 
B: 	dit zijn die met het bolle aan de Rechtervoorkant en dan twee dinget bovenop één zijn kegel en de ander zijn rechthoekig en dan links nog een nee driehoekig dinge 
A: 	ja 
A: 	driehoek ja 
A: 	dat zijn vijf 
B: 	het zitten in het rechterdeel in ieder geval 
B: 	en dan als je die weer door de helft delen dan daar weer het midden van 
A: 	naar rechts of link 
B: 	link 
B: 	en dan iets boven deze middellijn 
A: 	maar niet zo'n stuk van de rechterkant 
B: 	hoe bedoelen je 
A: 	rechts zitten daar zo'n stuk of veel 
B: 	tot de rand 
A: 	ja 
B: 	van de computer 
A: 	ja 
B: 	nee zo 
A: 	oké nou dan zijn het niet hetzelfde 
A: 	dit zijn de met het bolle 
A: 	aan de Rechtervoorkant en die twee staaf boven de één een kegel de ander recht 
B: 	ja 
B: 	dat zijn J 
A: 	en ja midden van de rechterhelft 
B: 	midden 
B: 	bij mij staan die veel link van de iets iets veel naar links van de rechterhelft 
A: 	ja wel iets veel maar wel bijna op het midden 
A: 	van de rechterhelft 
A: 	en als je kijken van boven naar beneden 
A: 	aan de bovenkant ongeveer op het midden van de bovenhelft 
B: 	dat zijn niet hetzelfde 
A: 	oké 
