A: 	ja nu hebben ik deze ja ook weer vier ding hij hebben een een ronde bal bovenop 
A: 	en een langwerpig staaf ervoor 
B: 	ja 
A: 	en twee soort van hand aan de zijkant 
B: 	ja 
B: 	en die lijken er een beetje zo achter te afhangen 
A: 	ja 
B: 	ja 
B: 	dat zijn D 
A: 	oké dan staan die bij mij eigenlijk helemaal onderin 
A: 	en één plaat link van het midden 
B: 	ja bij mij ook 
B: 	we hebben nog een ander figuur 
A: 	ja 
A: 	we zijn nu allemaal steeds we we zijn nu op één zes denken ik 
A: 	want ze zijn nu al figuur zijn nu van plek wisselen 
B: 	ja dat zien ik inderdaad ook 
A: 	dus 
B: 	ja nee kloppen 
A: 	ja 
B: 	ja 
A: 	en volgens mij doen we het zes keer 
B: 	ja 
B: 	dit zijn een figuur met een balle erop 
B: 	en aan de voorkant die staaf en aan de beide zijkant die twee armp 
A: 	ja dat zijn nummer vijftien 
B: 	bij mij zitten die helemaal rechts onderin 
A: 	bij mij staan die onderin maar niet helemaal rechts 
B: 	dan zijn het hem niet 
A: 	ik hebben die één met die armpjes zo bal erbovenop balk ervoor 
A: 	dus niet die met die armpjes met die stomp eraan maar veel die dun armp en een ronde bal erbovenop 
B: 	en een stok ervoor 
A: 	ja en een balk echt 
B: 	of een balk 
B: 	ja 
B: 	dat zijn L 
A: 	en die staan één naar links iets veel misschien 
A: 	en één naar boven 
A: 	ja 
B: 	één naar boven als de ja er past er nog één boven en één naar boven 
A: 	past er nog net één boven en ook één naar boven ja 
B: 	krap 
B: 	ja 
B: 	ik hebben die met die bal erop 
B: 	de balk ervoor en twee armp 
A: 	welk hebben ja ja zes 
B: 	en hij staan voor mijn gevoel eigenlijk precies in het midden op de op de horizontaal lijn en er past nog één aan de rechterkant naast 
B: 	een goed breed 
A: 	nee daar staan die bij mij niet nee 
A: 	twee van die klein armpjes bal erop balk ervoor 
B: 	twee van die klein armpjes 
B: 	de bal erop zeggen je 
A: 	ja de bal erbovenop en zo'n balk ervoor 
B: 	ja 
B: 	dat zijn J 
A: 	en dan staan die twee goed stap naar rechts en in het midden 
B: 	hoeveel plaat zullen je er nog naast kunnen bijzetten 
A: 	anderhalf 
A: 	deze zijn vrij breed 
A: 	ja anderhalf 
B: 	als je zeggen maar die hebben met die blokkentoren en met die twee wcborstel zullen die er ongeveer precies naast kunnen nog 
A: 	ja zullen er naast 
A: 	kunnen maar zullen zullen wel iets overblijven 
B: 	iets als in 
A: 	centimeter of twee drie misschien 
B: 	ja bij mij weinig denken ik 
B: 	maar dit zijn weer zo'n priegelwerk 
A: 	ver staan die bij mij zo staan die exact midden misschien een millimeter omhoog 
B: 	ja dat hebben ik ook maar ik twijfelen heel erg over wat er nog naast kunnen 
B: 	want als ik deze er zo naast zet 
A: 	ja 
B: 	ja dan een centimeter of twee krap 
B: 	als ik hem er echt tegenaan zetten 
A: 	ja 
A: 	dat zijn wij hebben hetzelfde denken ik 
B: 	ja 
B: 	ik hebben de balle bovenop twee armp en een balk ervoor 
A: 	nummer drie 
B: 	hij staan bij mij bijna helemaal rechts tegen de zijkant aan net iets onder het midden 
A: 	ja 
