B: 	het plaat hebben een rond schijf aan de achterkant 
B: 	en een soort stuk van een kegel bovenkant uitsteken 
B: 	en aan de linkerkant een soort zeshoek 
A: 	oké 
A: 	en aan de onderkant hebben die nog een soort van ding 
B: 	ja 
B: 	ja 
A: 	een 
A: 	ja 
B: 	ja 
B: 	dat 
A: 	oké 
A: 	oké 
A: 	ja ik denken dat ik hem hebben 
A: 	die cirkel die zien je zeggen maar half zo aan de achterkant plakken 
B: 	ja kloppen 
A: 	ja 
A: 	oké 
A: 	bij mij staan die beetje best wel onderaan het scherm 
B: 	ja in het midden 
A: 	ja 
A: 	maar niet het staan zeggen maar heel iets veel naar rechtsonder maar wel bijna in het midden van het scherm 
B: 	ja er staan er past nog een ander plaat onder 
A: 	ja 
B: 	ja 
A: 	en ja 
B: 	ongeveer in het midden van de onderste helft van het scherm 
A: 	ja 
B: 	ongeveer 
A: 	ik denken dat we dezelfde plek hebben dan 
B: 	oké 
A: 	ja 
A: 	dus ik druk op de geel knop 
B: 	ja 
A: 	ik moeten nog het nummer hardop 
B: 	en dan nog een keer 
B: 	en dan 
B: 	ja je moeten het nummer nog zeggen ja 
A: 	oké dertien 
A: 	het nummer zijn dertien 
A: 	en geel knop want op dezelfde plek 
B: 	ja 
A: 	oké 
A: 	deze hebben we ook net al hebben die hebben zeggen maar dat ding zo eronderaan en dat pluimpje rechtsboven uitsteken en die 
A: 	schijf aan de achterkant links tegenaan plakken en die zeshoek link uitsteken 
B: 	ja 
B: 	een schijf die je zo half zien en dat dinge zo aan de onderkant 
A: 	ja 
B: 	die bedoelen je 
B: 	ja 
B: 	oké dat zijn O 
B: 	en hij staan rechtsonder van het midden 
A: 	nee 
A: 	dat zijn helemaal niet dezelfde plek nee 
B: 	oké 
A: 	ik denken het niet 
A: 	nee 
A: 	bij mij staan die zo rechtsboven van het midden 
B: 	oké 
B: 	dit zijn die met een uitsteeksel aan de bovenkant en een schijf die je half zien aan de achterkant 
A: 	ja 
B: 	en dan links een soort zeshoek die uitsteken en onderaan weer dat ja halfron 
A: 	ding zo 
B: 	ja 
A: 	doen me een beetje denken aan een keukenmachine of zo 
B: 	ja daar lijken het wel een beetje op inderdaad 
A: 	ja ? oké 
A: 	die staan bij mij in zijn één rechtsboven in de hoek 
B: 	ja 
B: 	hebben je het nummer al zeggen 
A: 	acht 
A: 	ik vergeet dat de heel tijd 
A: 	acht 
B: 	ja er past er geen boven en één naast 
A: 	ja net ongeveer ja en er helemaal omheen zitten event niks zeggen maar 
B: 	ja 
A: 	ja 
A: 	oké dat zijn wel dezelfde plek denken ik 
A: 	dit zijn zeggen maar die keukenmachine 
B: 	ja 
A: 	met rechts dat pluimp en links aan de zijkant steken die zeshoek uit en 
A: 	link aan de achterkant zijn die schijf tegenaan plakken en onderaan zitten dat ding zeggen maar 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	en hij staan rechts van het midden past er nog één misschien boven 
A: 	ja hij staan zeggen maar ongeveer op een kwart van rechts bij mij 
A: 	hij staan 
B: 	nee bij mij staan die wel bijna tegen het midden aan 
B: 	staan er nog twee rechts van 
A: 	ja nee dat zijn niet hetzelfde 
B: 	oké 
B: 	dit zijn die keukenmachine 
A: 	even zoeken 
A: 	ja 
A: 	met dat dinge onderaan 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	en die staan bij mij helemaal links in de hoek 
B: 	ja bij mij 
A: 	onderaan 
B: 	nee er staan er nog één link van 
A: 	nee 
A: 	oké dat zijn niet hetzelfde 
A: 	dit zijn zeggen maar die keukenmachine 
B: 	ja 
A: 	met dat ding daaronder en die schijf aan de achterkant plakken 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	en die staan best wel naar rechts en een beetje naar boven 
B: 	staan er nog één of misschien die een ook half rechts van 
A: 	ja maar er er staan niks veel boven 
B: 	één staan Erboven 
B: 	of ja eigenlijk wel veel 
A: 	oké dan zijn dit het niet 
B: 	hij staan net een beetje boven het midden 
A: 	nee hier zullen er echt geen figuur veel boven passen 
B: 	oké dan zijn het hem niet 
A: 	nee 
A: 	nee 
