B: 	oké 
B: 	dit vinden ik één van die figuur die ik wat moeilijk voor mezelf ook vinden om te onthouden 
A: 	ja 
B: 	het lijken of er aan de linkerkant van het kop 
B: 	een soort lampenkap zitten 
A: 	lampenkap 
B: 	ja het zijn een heel compact hij zijn vrij compact alles er zijn geen groot uitsteeksel 
A: 	ja 
A: 	ja 
B: 	aan de rechterkant zitten een soort afvoer en bovenop zitten een recht daar zitten een soort ja langwerpig voorwerp 
B: 	heel klein lampenkap 
B: 	bovenop een langwerpig voorwerp 
B: 	rechts zitten een soort afvoer 
B: 	het zijn heel klein opsteken niet echt uit maar je zien het wel zitten 
A: 	wachten en ze zitten zitten zitten aan beide kant lampenkapjes 
B: 	ja zoiets ja 
A: 	en erbovenop zitten een zitten toch een balk toch 
B: 	ja 
B: 	ja 
A: 	ja oké dan weten ik het 
A: 	dat zijn acht 
A: 	waar staan die 
B: 	hij zitten eigenlijk precies in het midden van het scherm 
B: 	heel ietsje link daarvan 
A: 	ja bij mij ook 
A: 	het zijn een zitten een balk op 
A: 	en die twee van die hoe noemen jij het 
B: 	lampenkap 
A: 	ja van die lampenkapjes naast twee lampenkapjes naast 
B: 	zijn dat dan 
B: 	ja 
B: 	nummer E 
B: 	letter E 
A: 	en hij zitten aan de rechterkant 
A: 	tegen het midden aan 
A: 	hij kunnen op zich nog twee keer naar beneden en heel hij zitten heel ver van de kant van de rechts kant 
B: 	ja tegen het midden aan 
B: 	bij mij zijn het veel boven dan beneden 
A: 	ja hij zitten niet hij zitten ja hij zitten veel naar beneden naar naar beneden van rechts hij kunnen volgens mij twee keer naar beneden nog hij zitten ver weg van de bovenkant dus 
B: 	oké 
B: 	ja bij mij zitten die dichter bij de bovenkant 
A: 	oké 
A: 	oké 
B: 	de lampenkapjes de ja ik weten niet het er liggen een rechthoek recht op 
B: 	er liggen een rechthoek op 
B: 	dat zijn er maar één volgens mij die dat hebben 
B: 	liggen één lang rechthoek op 
A: 	ja 
B: 	en je 
A: 	en dan twee lampenkapjes naast 
B: 	ja twee van die kap of zo 
A: 	en twee een cilinder ervoor in de voorkant volgens mij zijn dat een cilinder 
A: 	ja 
A: 	één zijn dat 
B: 	in het midden hij zitten aan de linkerkant van het scherm maar wel heel erg naar het midden 
A: 	ja 
B: 	en dan vrij hoog ook 
A: 	kunnen je nog 
A: 	vrij hoog kunnen die ook kunnen die ook één keer naar hoog omhoog of kunnen die niet veel naar naar boven 
B: 	nee hij kunnen zeker niet één keer omhoog 
A: 	oké hij kloppen 
A: 	lampenkap balk erop 
B: 	ja ja ja ja ja even zoeken 
B: 	ja 
B: 	dat zijn E 
A: 	en hij zitten aan de linkerkant linksonder 
A: 	en veel in de hoek van links van het linkervakje 
B: 	welk hoek 
A: 	deze hoek zo 
B: 	rechts bovenin vak 
A: 	ja 
A: 	ja 
B: 	ja dat geloven ik ook wel 
B: 	dit zijn die waar een rechthoek op liggen en hij hebben twee van die kap ik noemen het lampenkapjes 
A: 	ja 
A: 	die lampenkap lampenkapjes waar zijn de lampenkapjes 
A: 	ja 
A: 	dat zijn zestien 
A: 	waar liggen zestien 
B: 	rechts onderin 
A: 	ja 
B: 	en hij zitten naast diegene met het hendel 
A: 	ja en kunnen die nog één keer naar beneden of net niet 
B: 	nee 
B: 	half keer misschien 
A: 	ja dat zijn goed 
A: 	lampenkap met de balk erop 
B: 	momen 
B: 	dat zijn O 
A: 	en hij zitten linkerkant helemaal beneden in de hoek en hij kunnen niet veel naar beneden hij kunnen wel nog één keer naar links 
B: 	ja 
B: 	ja 
A: 	ja half keer misschien of zo 
B: 	ja kijken 
