A: 	ja ik vinden dit een beetje lijken op een poppe met zo'n feestmuts zeggen maar 
A: 	gewoon eigenlijk dat noemen je het 
B: 	linksonder hebben die een rond 
A: 	ja hij hebben linksonder zo'n rond ja en ik denken 
B: 	en links in het midden nog een soort van 
A: 	zo'n ja raar uitstulpingding 
B: 	ja dan weten ik het 
B: 	het zijn J 
A: 	en hij staan bij mij rechtsonder 
A: 	in ieder geval het veel 
B: 	ja 
B: 	niet heel erg rechts maar wel helemaal onderaan 
A: 	ja 
B: 	ja 
B: 	deze hebben die feestmuts op zijn hoofd links nog zo'n armp 
A: 	ja ik zien hem 
A: 	nummer zes 
B: 	en hij staan best wel wat naar rechts en ook best wel ver naar onderen maar niet helemaal 
A: 	ja dat zijn bij mij ook 
A: 	dit zijn die met de feestmuts 
B: 	ja dat zijn E 
A: 	en hij staan rechts van het midden stuk en dan wat naar onder 
B: 	ja bij mij ook 
B: 	een klein beetje naar onderen 
A: 	ja 
B: 	ja 
B: 	de feestmuts 
A: 	even zoeken waar die zijn 
A: 	ja nummer tien 
B: 	hij staan bijna helemaal onderaan en redelijk ver naar links bijna helemaal naar links 
A: 	ja bij mij staan die een beetje midden link 
A: 	dat zijn niet hetzelfde 
A: 	het feestmutsje 
B: 	ja G 
A: 	hij staan helemaal linksboven bij mij 
B: 	ja 
B: 	feestmuts 
A: 	even kijken ja nummer tien 
B: 	en die staan redelijk ver naar rechts niet helemaal en heel ietsjes naar onderen 
A: 	ja 
