B: 	okan ja ik vinden het een beetje een soort van 
B: 	wasbak denken ik het zijn zeggen maar zo'n vierkant en er zitten twee van die boog en er zitten een soort van ton in en uit die ton komen van die spira 
A: 	ok 
B: 	het zijn gewoon zeggen maar een vierkant vlak en daarop staan het object 
A: 	ok en zitten die spira eigenlijk een beetje aan de zijkant ? of echt aan de bovenkant 
B: 	ja zijkant 
A: 	en zijn dat zeggen maar drie of ja ok dat zijn vijf 
B: 	ja ja 
B: 	even kijken als je zeggen maar in het midden beginnen dan zijn het iets laag dan het midden en aan de linkerkant 
A: 	ok 
B: 	en er passen aan de linkerkant ervan nog één er ongeveer naast en aan de ander kant ook nog één 
B: 	hebben ik dat goed uitleggen zo ? dus hij zijn iets onder het midden 
A: 	okan ja ik denken dat het niet dezelfde zijn want deze zijn wel echt boven het midden en die van jou zijn wel echt helemaal onder het midden zeggen maar ? of groot gedeelte 
B: 	maar niet niet helemaal onder maar het zijn wel duidelijk onder het midden 
A: 	ok dat zijn niet dezelfde 
B: 	ja ok 
A: 	deze hebben vierkant aan de onderkant zeggen maar dat hij echt het kop staan er op ja dat zijn er eigenlijk nog maar één aan de zijkant zitten ja aan allebei die 
B: 	die spira 
A: 	ja 
B: 	ok dat zijn J 
A: 	en zitten helemaal rechts onderin kunnen niks veel onder of naast 
B: 	ok nee 
B: 	ja dit zijn dan vierkant vlak met dat object erop en dan die spiraal 
A: 	ok zijn elf 
B: 	hij zitten aan de linkerkant heel iets onder het midden er passen links zeker nog één plaat naast 
A: 	zijn niet dezelfde 
B: 	ok 
A: 	hebben het vierkant aan de onderkant en daar staan het kop op 
B: 	ja dat zijn P 
A: 	hij staan rechs van het midden kunnen misschien nog net een plaat boven ja 
B: 	en ernaast nog anderhalf of zo 
A: 	aan de rechterkant 
B: 	ja 
A: 	nee passen er zeker nog twee à drie 
B: 	nee 
B: 	dit zijn dat vierkant vlak waar het dan op staat 
A: 	zijn negen 
B: 	hij zitten in het midden en redelijk tegen de bovenkant aan niet helemaal maar er past ook geen plaat veel boven 
A: 	o nee 
A: 	ja hebben we hetzelfde kop wat op het vierkant vlak staan 
B: 	ja dat zijn L 
A: 	hij staan links van het midden kunnen geen kop veel boven 
B: 	link van het midden 
A: 	ja 
B: 	nee 
