B: 	oké ik hebben een rood vierkant 
A: 	yes 
B: 	ik hebben een poppe waarvan het lijken alsof die ophangen zijn ik weten niet of je dan weten wat ik bedoelen 
A: 	ophangen 
B: 	ja nee dat weten je niet doel 
A: 	nee hoe ? omschrijfen de vorm maar 
B: 	het zijn het zijn een kop met een soort staan ding met één dinge hier een rond dinge aan de voorkant net iets boven 
B: 	het ding van het kop en aan de ander kant eigenlijk schuin aan de voorkant een soort ja lepeltje zullen het dan wel zijn 
A: 	kunnen je nog een keert ? oké jij zeggen dat die ergens aan de onderkant iets hebben zitten 
B: 	ja hij een soort ja een soort standaard hij staan ergens op dat zijn inderdaad wat handig 
A: 	lijken het een trofee 
A: 	of zijn het een vierkant waar die op staat 
B: 	ja het zijn een beetje ovaalvormig zoiets ik weten niet zo goed hoe je zoiets uitleggen maar zoiets staan die op 
A: 	oké ja 
A: 	en het hebben een soort van vierkant een soort van neus erbovenop hebben het een puntmuts op 
B: 	nee nee nee nee nee nee het zijn het het komen een klein rond bovenuit 
A: 	oké 
B: 	en aan de ander kant komen er dan een soort ja lepeltje ik vinden het allemaal kop maar komen een soort lepelt dinge bovenuit 
A: 	oké en zitten er aan de links kant zitten er een soort van ding en aan de onderkant zitten er inderdaad een soort van rechtopding en inderdaad een lepeltje ja zijn 
B: 	ja 
B: 	arm 
B: 	ja 
B: 	ja 
A: 	ik denken dat ik weten welk je bedoelen 
B: 	oké top 
A: 	dat zijn dertien 
B: 	bij mij staan die als die als je helemaal in het midden kijken zowel van boven als van opzij 
B: 	helemaal in het midden één naar beneden 
A: 	ja als we zo'n kruis maken inderdaad 
B: 	ja 
A: 	en dan staan er net een heel klein beetje boven rechts van staat er nog één 
A: 	en een heel klein beetje link eronder staan er ook één zijn dat bij jou hetzelfde geval of bijstaan ze bij jou op ander plek 
B: 	ik denken dat ze op ander plek zullen staan maar ik hebben er wel degeen er rechts van dat zijn heel moeilijk want het staan tegenover elkaar 
A: 	om te nakijken hoe de oriëntatie zijn 
A: 	ja er zullen onder de onder degeen die we nu hebben zullen er nog één passen zeggen maar maximaal 
B: 	ja 
B: 	ja precies 
B: 	ja 
A: 	en ver zitten die ongeveer in het midden ja dan denken ik dat we dezelfde plek hebben 
B: 	ze staan inderdaad helemaal niet op dezelfde hoogte en zo 
B: 	zien ik nu net 
A: 	ja 
B: 	ja nee dan denken ik dat ook 
A: 	dan hebben we denken ik dezelfde dezelfde plek dat zijn geel geloven ik hè ? ja 
B: 	ja 
A: 	oké dit zijn die een wat jij waar we in het begin even wat moeite mee hebben dat er een lepeltje in staan maar dat er een soort van koekje in hing of zo 
A: 	of net als bij een cocktail dat je weleens zo'n citroen hebben die over het glas over die rand van het glas zo erin zitten 
A: 	met aan de zijkant dat stok 
B: 	waarvan ik denken dat het ophangen zijn 
A: 	met die raar 
