A: 	dit zijn ook volgens mij één die ik in ieder geval het één hebben dat zijn een kop en daar komen er dan een driehoek bovenuit met de punt naar boven 
A: 	en er zitten nog een blok voor een blok onder een blok aan de zijkant 
B: 	ja ik weten welk je bedoelen 
B: 	J 
A: 	yes 
A: 	hij zitten bij mij aan de linkerkant of aan aan de rechterkant zitten die onderaan in het midden 
B: 	ja 
B: 	dat zijn echt een heel vag 
B: 	soort van soort van driehoek bovenop 
B: 	en een blok dat aan de voorkant eruit steken en een 
A: 	zijn dat 
A: 	ja zijn dat met die punt 
B: 	ja 
A: 	ja 
A: 	dat zijn zes 
B: 	en dan rechts net niet helemaal onderaan in het midden 
A: 	ja bij mij zitten die in het midden inderdaad van de helft en er zitten nog twee dinge onder maar daarna zijn hij de laag 
B: 	ja eens 
A: 	ja 
A: 	dit zijn degeen met de vierkant met de punt omhoog en dan die blok nog voor en achter ook nog wat ding beneden 
B: 	even opnieuw zoeken 
A: 	snapen je welk ik bedoelen 
B: 	vierkant met de punt omhoog 
A: 	ja 
A: 	de driehoek 
A: 	of de Driekhoek bedoelen ik zo ja 
B: 	met die ding die ding eruit steken en dan 
A: 	ja 
A: 	de driehoek met de punt omhoog daar komen boven het koppie uit dan hebben je nog een soort raar blok aan de voorkant je hebben nog 
B: 	die 
A: 	ja 
B: 	ja oké met een soort van piramide bovenop 
B: 	E 
B: 	bij mij rechts in het midden onderaan 
A: 	ja naast de scheidslijn 
B: 	nee zeggen maar in het midden van de rechterhelft en dan onderaan 
A: 	oké nee dan dan dan kloppen die 
B: 	dit zijn weer met met die dat driehoek die eruit steken die punt 
A: 	ja 
B: 	en één of ander raar blok aan de voorkant en 
A: 	ja 
B: 	ja 
A: 	dat zijn tien 
B: 	die zitten bij mij linksonder in de hoek 
A: 	bij mij zitten die wel links onderin maar niet in de hoek 
B: 	oké 
A: 	dit zijn degeen met punt de driehoek die 
B: 	ja met die raar blok 
A: 	ja 
B: 	G 
B: 	helemaal linksboven in de hoek 
A: 	ja 
B: 	de de punt die eruit opsteken met zo'n raar blok dat aan de voorkant uit komen 
A: 	ja ja ja ja 
B: 	en de twee ander dinget 
A: 	ja 
A: 	dit zijn tien 
B: 	ongeveer in aan de rechterhelft ongeveer het midden en dan een beetje naar beneden 
A: 	ja 
