B: 	ja 
A: 	ja 
A: 	dit figuur hebben even kijken aan de bovenkant een soort hoed op met een plat dak aan de bovenkant 
A: 	en aan de rechterkant staan een soort istek 
A: 	en aan de linkerkant een minne 
A: 	en dan hebben die aan de Linkeronderkant hebben die nog een soort komma staart 
B: 	ja 
B: 	dat zijn I 
B: 	of zijn dat een L 
B: 	nee dat zijn een I 
B: 	I 
A: 	dan staan deze net iets link van het midden en dan 
A: 	vrijwel bovenaan daar zullen nog één figuurtje boven passen bij mij 
A: 	maar dat staan er niet 
A: 	en aan de linkerkant denken ik dat er nog ruimte zijn voor drie figuur ernaast 
A: 	dus hij staan praktisch in het midden 
B: 	ja dat zijn bij mij ook wel zo 
B: 	ja 
A: 	ja 
A: 	oké 
B: 	alright dit zijn het kop met een heuvelt bovenop en het minne en het isteken 
B: 	het minne aan de linkerkant en dan de zijn aan de rechterkant 
A: 	ja 
A: 	nummer twee 
B: 	en hij staan twee vanaf links of daar toepassen twee tussen ongeveer link 
B: 	en dan twee onder ook 
B: 	dus op een kwart vanaf links en dan ook ongeveer op een kwart vanaf onder 
A: 	oké bij mij zijn er niet zoveel ruimte aan allebei de kant 
A: 	past er net één denken ik 
A: 	dus dat zijn niet dezelfde plek 
A: 	dit zijn dat plaat met dat heuvel aan de bovenkant en aan de een kant het is en aan de ander kant het minteken 
B: 	ja 
B: 	M 
A: 	en hij staan bijna linksonder in de hoek 
A: 	er past nog wel één plaat naast aan de linkerkant 
A: 	en aan de onderkant misschien een half plaat of zo 
B: 	ja 
B: 	daar staan die bij mij ook 
B: 	oké dit zijn die met het minne en het isteken en de heuvel bovenop 
A: 	ja nummer negen 
B: 	en hij staat ongeveer op een kwart vanaf nou iets ver dan een kwart vanaf links en dan past er nog één plaat boven 
B: 	ongeveer dus hij zullen hij zitten op anderhalf plaat vanaf het midden 
A: 	ja zelfde plek 
A: 	en dit zijn die met het isteken rechts en het minne link 
B: 	dat zijn F 
A: 	en hij staan bijna helemaal onderaan er zullen misschien een heel klein figuurtje onder passen en dan net rechts van het midden 
B: 	ja 
B: 	dit zijn die met het minne en het isteken 
A: 	nummer zes 
B: 	hij staan qua hoogte op het midden en link van het midden 
B: 	één plaat ongeveer 
A: 	ja op dezelfde plek 
