A: 	deze ik vinden hem zelf een beetje lijken op een op een waterpomp 
A: 	ik noemen hem zelf de waterleiding want er gaan zo'n leidinkje in en die komen dan aan de ander kant lijken die er ook weer uit te aankomen 
A: 	en er staan zo'n blok voor 
B: 	ik noemen het de olifantenslurf met arm 
A: 	ja 
B: 	zitten een rond bolletje erop 
A: 	ja 
B: 	ja en twee armp of twee stijfjes inderdaad die zo zitten en dan 
A: 	ja ja ja ja 
A: 	ja 
B: 	ja 
A: 	ja die 
B: 	dan zijn het geel 
A: 	moeten je wel eerst zeggen welk nummer 
B: 	D zijn het 
B: 	excuus d nu dit 
B: 	ik denken dat ik hem moeten indrukken sorry 
A: 	en hij staan bij mij in het midden eigenlijk 
A: 	aan de linkerkant 
A: 	eigenlijk als je wat jij net ook zeggen bij het beeldscherm als je de B naar boven trekken zullen die bij mij net 
B: 	onderaan staat die 
A: 	ja 
B: 	bij mij ook 
A: 	als je bij mij de B naar als je de B hebben als je die naar boven trekken dan komen je net bij het begin van dat ding bij mij uit 
B: 	het begin of het einde want 
A: 	het einde als je ja het einde 
B: 	je hebben de afbeelding en als links het begin zijn en rechts het einde komen de bij mij zijn de B bij het einde 
A: 	als links het begin zijn en rechts het einde 
B: 	ja 
A: 	ja dan zijn het ja dan zijn B bij het einde 
B: 	oké 
A: 	dus dan zijn het dezelfde 
B: 	zelfde plek 
A: 	ja 
B: 	staan op dezelfde plek dus geel 
B: 	nou zijn ze allemaal weer veranderen dit worden leuk 
A: 	ja 
B: 	we hebben het hier over zeggen maar jou loodgieter jouw 
B: 	waterboiler zeggen maar dus dat er iets in gaan en aan de ander kant er weer uit en een soort van tap aan de onderkant ik noemen het de olifant met de slurf en gek armp er zitten een bolle erbovenop 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik weten welk je bedoelen 
B: 	ja 
A: 	met met zo'n raar met zo'n met dat blok ervoor 
B: 	ja helemaal ja 
A: 	ja 
A: 	dat zijn Numero vijftien 
B: 	bij mij staan die echt helemaal rechts onderin 
A: 	bij mij staan die rechts 
A: 	maar er er zijn nog wel er zitten nog wel ding naast 
B: 	bij mij niks 
A: 	oké dan staan die niet op dezelfde plek 
B: 	helemaal niks 
A: 	dit dit zijn zijn met die waterleiding mijn pomp 
B: 	ja 
B: 	mijn olifant toch ? met dat rond erbovenop 
A: 	ja 
B: 	dan gaan het om L 
A: 	hij staan bij mij aan de linkerkant 
A: 	er kunnen er denken ik net niet één boven 
B: 	nee bij mij ook net niet 
A: 	en ja hij staat niet in het midden van het midden als je laten maar zeggen de midden van de linkerkant zullen doen zullen die aan de rechterkant vallen 
B: 	ja bij mij ook 
A: 	oké 
B: 	denken dat die vrijwel op dezelfde plek staan dan 
A: 	ja dat denken ik ook 
B: 	dit zijn de boiler zeggen maar met de pijp en de tap 
A: 	ja ik gaan hem even opzoeken 
B: 	ik noemen het de olifant 
A: 	dat zijn Numero zes 
B: 	aan de rechterkant 
A: 	ja 
B: 	zeggen maar als je de rood pin doortreken naar rechts dan raken die net het bolle het hoofd 
A: 	nee bij mij staan die daar helemaal niet 
A: 	dus hij staat niet op dezelfde plek 
A: 	ja mij mijn waterding 
A: 	mijn waterleiding 
B: 	ja dat worden dan J 
A: 	pomp 
A: 	hij staan bij mij zijn echt irritanen dit 
B: 	zoals je net zeggen maar de rood pin hebben waar die bij mij zeggen maar met die met die band er net op vallen zeggen maar 
A: 	ja 
A: 	ja maar ik zitten een beetje 
A: 	ja 
B: 	zullen deze net de pin zullen net het bolle van van dat ding eraf tikken 
A: 	ja 
A: 	aan de ja aan de rechterkant 
B: 	ja 
A: 	een beetje in het midden kunnen er nog één naast 
B: 	in het midden 
B: 	ja 
A: 	en en een paar aan de zijkant 
B: 	ja zeker 
A: 	zullen die dezelfde plek staan denken ik 
B: 	dit gaan om de waterpijp met de slurf 
B: 	en het gek bolle Erboven 
A: 	je bedoelen ja ja de waterleiding ja 
B: 	de waterboiler zeggen maar ja 
A: 	Numero drie 
B: 	hij vallen bij mij aan de rechterkant en er kunnen niks veel aan de rechterkant 
A: 	rechterkant bij aan de onderste kant zullen er nog twee bij mij kunnen 
B: 	onder twee boven twee 
A: 	ja 
B: 	als je de rood pin trekken dan vallen die met één vingerlengte vallen die eronder 
A: 	eronder ja 
A: 	zelfde plek 
