A: 	deze hebben een een piramide als dak 
A: 	een een paardenstaar 
A: 	en een rond aan de en een heel groot neus 
B: 	en 
A: 	en een rond aan de onderkant 
B: 	ja J 
A: 	en bij mij staan die home alone rechts in de hoek 
B: 	ja bij mij ook 
B: 	deze hebben die dat hoed op zijn hoofd die piramidehoed 
A: 	met dat die groot neus 
B: 	ja 
A: 	ja 
A: 	zes 
B: 	en die staan rechts 
B: 	onderin en er staan nog twee onder 
A: 	ja 
A: 	zijn die met dat piramide en die groot neus en dat armp en 
B: 	ah E 
B: 	ja staan 
A: 	ja hij staan rechts 
A: 	ja eigenlijk net rechts van de middellijn 
A: 	en er staan nog staan er nog twee naast hem 
B: 	nee 
B: 	bij mij niet 
B: 	deze zijn met dat piramidehoed 
B: 	en dat klein 
A: 	ja en die groot neus 
B: 	en die groot neus 
A: 	ja 
B: 	ja 
A: 	tien 
B: 	en die zitten helemaal linksonder in de hoek 
A: 	nee 
A: 	het met de groot neus en het driehoek en 
B: 	groot neus 
B: 	ja 
B: 	G 
A: 	en hij staan helemaal alleen links bovenin 
B: 	ja 
B: 	met de drie met het driehoek op zijn hoofd met die dik neus 
A: 	ja 
A: 	tien 
B: 	hij zitten rechts 
B: 	beetje in het midden van het rechterscherm en daaronder zitten niks veel 
A: 	ja 
