A: 	precies diezelfde 
A: 	volgens mij als degeen die ik nu moeten omschrijven 
B: 	oké 
B: 	dus weer met die schijf erachter en dat ding erdoorheen 
A: 	met de schijf erdoor ja door het rond heen en dan een soort van ja veer of lepeltje Erboven 
B: 	ja 
B: 	oké 
B: 	G 
A: 	en hij staat ook op diezelfde plek die ik net hebben proberen te omschrijven 
B: 	ja bij mij ook dus dat zijn weer iets ander 
B: 	dit zijn de neus met de piercing 
A: 	ja even kijken waar die in principe ja dat zijn vijf 
B: 	die zitten bij mij ja beetje bovenaan links in het midden 
A: 	nou bij mij zitten die net langs de scheidslijn wel het veel boven 
B: 	nee net langs de scheidslijn zijn bij mij niet dus dan zijn het anders 
A: 	oké dan huppakee 
A: 	dit zijn degeen met de piercing erdoorheen 
B: 	oké 
B: 	A 
A: 	bij mij zitten die aan de linkerkant 
B: 	hij zitten links dan zijn we al klaar 
A: 	of rechterkant bedoelen rechterkant dan sorry 
A: 	hij zitten eigenlijk in het midden maar dan iets naar beneden 
B: 	zijn het gewoon een soort van de middel daar 
B: 	denken ik 
B: 	aan de rechterkant 
B: 	bij jou misschien niet 
A: 	ja nou zeggen maar hij zitten iets naar beneden maar in de lengte in de of in de breedte zitten die wel in het midden maar in de lengte zitten die iets naar beneden dan 
B: 	oké dan hebben je een ander blijk bij mij zitten die echt in het midden 
A: 	oké 
B: 	de piercing 
A: 	de piercing 
B: 	neus met de piercing 
A: 	vijf 
A: 	hij zitten ongeveer bij mij in het midden gewoon van de rechterkant 
A: 	het midden van het midden 
B: 	oké hij zitten denken ik bij mij iets links en iets omhoog van het midden hij zitten niet mooi in het midden 
A: 	oké dan dan zijn het hem niet 
B: 	dan zijn die ander denken ik 
A: 	dit zijn met de piercing 
B: 	H 
B: 	helemaal onderaan ongeveer op de scheidslijn 
A: 	ja maar hij zijn niet ja ja hij zijn wel laag inderdaad op de scheidslijn ongeveer aan de 
B: 	net iets rechts 
A: 	ja ja 
B: 	maar wel oké ja 
B: 	een neus met de piercing 
A: 	ja 
A: 	vijftien 
B: 	zitten bij mij ongeveer in het midden van de rechterhelft en dan een beetje bovenaan 
A: 	ja bij mij zitten die bijna in het midden van het midden maar dan iets veel naar links toe dus ik denken niet dat dat dan 
B: 	nee 
