A: 	deze hebben een dinge aan de onderkant met een knik erin 
B: 	hebben die bovenop een soort ja of vierkant maar dan kantelen 
A: 	met dinge met ding erdoorheen 
B: 	ja met die blok weer in elkaar 
A: 	ja 
A: 	ja ja 
B: 	oké dan zijn het M 
A: 	en ik hebben er hij zitten bij mij best wel aan de linkerkant 
A: 	en helemaal links hebben je er drie op een rij 
B: 	ja 
A: 	en hij zitten rechts onder de middel 
B: 	nee dan zitten die in een ander plek bij mij zitten op de middel 
A: 	op de middel 
B: 	ja nee zijn het de middel zeggen maar 
A: 	zijn het de middel nee die zijn het die zijn het niet denken ik 
B: 	deze hebben zo'n dinge daaronder met een knik 
B: 	en ja zo'n vierkant dat een beetje 
A: 	ja alleen het dinge met knik ver niks aan de onderkant toch 
B: 	nee ja kloppen 
A: 	oké dat zijn bij mij negen 
B: 	en hij zitten op de onderste zijn drie 
A: 	ja 
B: 	en dan de veel links 
A: 	ja dat zijn dezelfde plek 
A: 	deze hebben dat onderkan met die knik erin 
B: 	even zoeken 
B: 	dat zijn bij mij H 
A: 	en je hebben links die rij van drie 
B: 	ja 
A: 	dan zitten die tussen de bovenste en de middel in iets naar rechts 
B: 	tussen de bovenste en de middel iets naar rechts ja dat zijn dezelfde plek 
B: 	deze zijn weer met dat dinge eronder zo 
A: 	met het dinge eronder ja dat zijn bij mij elf 
B: 	bij mij zijn die het veel Linksboven 
A: 	bij mij ook 
A: 	dit zijn die met het dinge eronder met zo'n knik erin 
B: 	dat zijn bij mij d 
A: 	en je hebben er linksonder helemaal één zitten 
B: 	dat zijn hem bij mij 
A: 	en daar rechts van zijn hem bij mij dus dat zijn niet hetzelfde 
B: 	met dat knik onderaan 
A: 	met het knik onderaan 
A: 	ja dat zijn nummer veertien 
B: 	de veel link in het midden 
A: 	de veel nee nee nee dat zijn hem niet 
