B: 	oké deze het rond dinge staan op een soort plateau helemaal laag 
B: 	en links en rechts zijn allemaal een soort van kraalt ernaast 
A: 	ja 
B: 	oké 
A: 	oké 
A: 	ja ik weten welk 
A: 	nummer vijf 
B: 	even kijken dan staan die zeggen maar halverwege tussen helemaal links en het midden 
B: 	en dan heel ietsjes onder het midden als je zo kijken 
A: 	daaronder of 
B: 	ja iets eronder 
B: 	iets onder het midden 
B: 	als je van verticaal zeggen maar 
A: 	bij mij staan hij er volgens mij iets boven 
B: 	dan zijn het niet hetzelfde 
A: 	oké 
A: 	dan moeten ik rood hè ? ja 
B: 	ja 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraal 
B: 	ja ik hebben hem 
A: 	en dat rond ding voorop 
B: 	dat zijn J 
A: 	en die staan helemaal rechtsonder in de hoek bij mij 
B: 	bij mij wel onderin maar niet helemaal rechtsonder 
B: 	dit zijn met die hoe noemen je het ook alweer 
B: 	parelt of zo en aan beide kant drie 
A: 	die kraalt ja 
B: 	hij staan op zo'n platform 
B: 	een kraal zijn dat ja 
A: 	ja 
A: 	nummer elf 
B: 	hij staan heel iets onder het midden qua lengte en halverwege link 
A: 	bij mij staan die veel naar boven 
B: 	oké 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraal 
B: 	dat zijn P 
A: 	en hij staan rechts van het midden en dan wat naar boven niet helemaal boven maar wel stuk omhoog 
B: 	ja 
B: 	die hoe heten dat nou ? kraalt aan allebei de kant 
A: 	ja 
A: 	nummer negen 
B: 	hij staan iets redelijk ver omhoog maar wel echt precies in het midden 
A: 	precies in het midden 
B: 	heel heel ietsjes naar rechts heel klein beetje 
A: 	hij zijn bij mij naar links trouwens dus 
A: 	dat poppe met die twee kralendinge 
B: 	ja L 
A: 	en hij staan links 
B: 	bij mij iets naar rechts 
A: 	naar boven 
