B: 	oké dit zijn een soort van ja kop met twee handvaat denken ik 
B: 	staan boven op één of een vierkant ding 
B: 	zitten een rood rond plaat aan de voorkant 
A: 	ja ja een ja een soort staart zijn het haast 
B: 	ja precies ja 
A: 	ja 
A: 	vijf 
B: 	ja die staan bij mij ongeveer in het midden links 
B: 	als je hem in twee zoals je net zeggen in twee splitsen en dan in het midden 
A: 	ja bij mij staan die inderdaad linkerkant staan die ongeveer in het midden misschien iets naar boven toe 
B: 	naar boven toe bij jou 
B: 	oké 
A: 	nou ja zeggen maar als je ze opsplitsen staan die ongeveer in het midden van de linkerkant maar hij zitten dan hij zitten niet precies in het centrum zeggen maar hij zullen misschien iets naar boven en ietsje link zitten 
B: 	dan zitten die op een ander plek 
A: 	ander plek oké 
A: 	dit zijn dat kop op dat bord met ook een bord van voren en die soort staart 
B: 	met die spriet 
B: 	ja 
A: 	ja 
B: 	J 
B: 	zitten bij mij helemaal onderaan 
A: 	bij mij zitten die helemaal in de rechterhoek 
A: 	onder 
B: 	oké dat zijn anders dan 
B: 	ja de ding met die sprie aan de zijkant die op een op een vierkant plateau staan 
A: 	die ja precies dat zijn elf 
B: 	helemaal in het midden links 
A: 	nee hij zitten bij mij bijna naast de scheidslijn zitten die 
B: 	oké nee dat zijn anders 
A: 	dit zijn diegene met het platform en bord voor en de spriet 
B: 	ja 
A: 	aan al twee de kant 
B: 	P 
B: 	hij zitten bij mij rechts in het midden en dan bovenaan 
A: 	even kijken 
A: 	je hebben bij mij zitten die echt naast de scheidslijn en dan bovenaan 
B: 	oké dan zijn die anders 
A: 	ja 
A: 	oké 
B: 	dit zijn weer die op een op een plateau staan met met die sprie aan de zijkant sorry 
A: 	ja ja ja ja 
A: 	negen 
A: 	zitten eigenlijk gewoon in het midden maar dan iets naar boven 
B: 	en bij mij zitten die wel echt helemaal bovenaan 
A: 	oké ja dan dan dan zijn het hem niet 
B: 	zijn anders 
A: 	dit zijn op het platformp met 
B: 	met die spriet 
A: 	ja en het bord voor 
B: 	L 
A: 	hij zitten iets link van de scheidslijn en dan best wel wat naar boven 
B: 	nee dat zijn hem niet 
