B: 	goed 
B: 	oké dit zijn een soort robot weten je een beetje soort WALLE 
B: 	hebben twee van die armp en een antenne op zijn hoofd 
B: 	en een plaat aan de zijkant 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	oké ja WALLE staan helemaal onderaan 
B: 	beetje op de helft van het midden 
B: 	of nou ja hoe zeggen je dat op een kwart van links 
B: 	I Guess en helemaal onderaan en er past niet een plaat veel onder 
B: 	lang niet 
A: 	oké 
B: 	best wel weinig ruimte 
A: 	dan staan die bij mij heel erg op een ander plek 
A: 	dit zijn jou robot 
A: 	met zijn armp en zijn 
B: 	ja 
B: 	dat zijn G 
A: 	en hij staan bij mij als je echt in het midden omhooggaan dan komen je dan snijd je hem 
A: 	hij staan net iets link van het midden wel 
A: 	en er passen denken ik anderhalf plaat onder en drie plaat boven of zo 
B: 	drie boven 
A: 	ja er staan best groot plaat bij mij boven misschien drie en een half 
A: 	maar er past zeker ja er passen echt anderhalf onder net geen twee denken ik 
B: 	ja 
A: 	hij staan net echt net iets link van het midden maar hij raken het midden wel 
B: 	ja daar staan die bij mij ook wel 
A: 	oké 
B: 	WALLE 
B: 	de robot 
A: 	even zoeken hoor 
A: 	nummer negen 
B: 	hij staan bijna precies in het midden 
B: 	zo met dus links en rechts 
B: 	en dan één plaat omhoog geshift vanaf de onderkant 
A: 	ja waar staan staan die net iets veel naar links 
B: 	net iets veel naar links 
A: 	oké 
A: 	dan staan die op dezelfde plek 
A: 	en dit zijn het robo 
B: 	ah 
B: 	d 
A: 	en hij staan net iets link van het midden 
A: 	en er net iets ook boven het midden er zullen denken ik nog twee plaat boven passen tot de rand 
A: 	en aan de onderkant nog drie denken ik 
B: 	ik denken dat die wel op dezelfde plek staan 
B: 	WALLE 
B: 	de robot 
A: 	kijken waar die staan 
A: 	ja nummer één 
B: 	net iets rechts van het midden 
B: 	en wel precies op de helft qua hoogte 
A: 	oké niet dezelfde plek 
A: 	dit zijn WALLE 
B: 	WALLE waar zijn je ? B 
A: 	en hij staan bijna helemaal onderaan 
A: 	net iets rechts van het midden 
A: 	en er past nog een half plaat misschien net een heel klein plaat onder 
B: 	ja dat zijn hetzelfde 
