A: 	ja hier deze staat volgens mij als enig op een krom blok 
A: 	en die hebben eigenlijk aan de zijkant hebben hij twee ja een cilinder vormige en nog een kubusachtig hand zullen ik maar zeggen zo zeg en 
B: 	krom 
B: 	hebben hebben hij bovenin een soort driehoek waar dat ding doorheen opsteken 
A: 	een ding dat doorheen gaan ja ja 
B: 	ja ok dan zijn het M 
A: 	ok als je beetje link van het scherm kijken kunnen je een driehoek er uit halen beetje echt in het midden van link 
B: 	even kijken 
A: 	beetje een schuiner driehoek 
B: 	als je gewoon zeggen maar in het midden verdeellen zitten er één net links van en de ander 
B: 	zeggen maar de één zitten net linksboven van het midden van het midden en de ander rechtsonder van het midden van het midden 
A: 	ja 
A: 	ja of we doen even zo je hebben er drie beneden 
B: 	ja 
A: 	en je hebben veel links van beneden van de onderste rij ? en dan de recht er boven dat zijn hier 
B: 	ja 
B: 	rechter boven nee dat zijn niet dezelfde niet dezelfde plek 
B: 	ja dit zijn weer diegene die zo'n hoek van negentig graad aanhangsel hebben onderin zeggen maar en die zitten er dan ook nog een keer aan de zijkant 
B: 	dan hebben je nog die staaf die uitsteken en bovenin hebben je die diamant of zo of die die ruit waar dat 
A: 	en die ruit waar zo'n ding doorheen 
B: 	waar dat ding doorheen gaan ja 
A: 	ja dat zijn dan nummer negen 
B: 	en dat zijn voor mij als je kijjken naar de linker helft de veel onderste dus als je onderin een rij van drie zullen pakken dan veel links 
A: 	ok ja trekken en dan veel links 
A: 	ja dezelfde plek 
A: 	ja dit zijn dan eigenlijk die steunen weer op iets dus op zo'n op zo'n zo'n knik knikken 
A: 	kubus achtig en die hebben hij ook dan aan de zijkant zitten en dan plus met nog een ander soort toet toet er bij er bovenop hebben hij eigenlijk een soort van ruit met zo'n doorboren 
B: 	die 
B: 	o ja 
B: 	die ruit waar die blok 
A: 	ja wat doorheen komen 
B: 	ja doorheen gaan dan zijn dat H 
A: 	ok 
A: 	je hebben de één rij zijn drie zeggen maar aan de linker kant dan pak je de twee rij en dan de veel bovenste van de drie 
B: 	ja 
B: 	wachten even hoor 
A: 	dus je je hebben je hebben die rij van links dan hebben je één twee drie 
B: 	ja hebben je hebben je één twee drie 
A: 	dan sla je er één dan gaan je één rij naar rechts toe daar hebben je er ook ook drie zitt 
B: 	ja 
A: 	en dan de bovenste van die drie 
B: 	ja dus eigenlijk tussen de twee veel links in 
A: 	ja ja 
B: 	ja dus dat als je die één en twee van Linksboven pakken dan zitten hij daar 
A: 	zitten hij daar precies tussenin ja ja 
B: 	ja dan zijn dat dezelfde plek 
B: 	deze hebben bovenop die ruit die doorboren worden en dan aan de zijkant hebben je nog van die ding in zo'n hoek en aan de onderkant ook en dan nog zo'n staaf erbij 
A: 	ja 
A: 	zijn nummer elf 
B: 	ja 
B: 	en als je dan dat die driehoek links bovenin pakken bekendstaan hij bij mij helemaal links bovenin 
A: 	ja bij mij ook 
A: 	ja dit zijn die die ruit die er er bovenop worden gedoorboord door zo'n kubus en dan hebben je onderin hebben je één houder zo'n kromme houder ja 
B: 	ja dat zijn dan D 
A: 	link onderin hebben je een driehoek en dan de veel rechts daarvan 
B: 	link onderin een driehoek en de veel rechts daarvan 
A: 	rechts ja ja rechts rechterhoek en dan onderin ja 
B: 	ja bij mij staan hij links onderin 
B: 	dit zijn weer diegene met die ruit waar die blok doorheen gaan zo'n uitsteeksel aan de onderkant dezelfde zitten aan de zijkant en een soort staaf die uitsteken 
A: 	jajaja ja dat zijn weer die ja diezelfde staaf van onder zitten ook aan de zijkant ja dat zijn dan nummer veertien 
B: 	ja 
B: 	en die it bij mij links in het midden zeggen maar hebben je zo drie onder elkaar en dan de middel 
A: 	nee bij mij niet 
