A: 	deze hebben een uitsteeksel links en dat zijn een eigenlijk een omgedraaien pion en die die opsteken naar Linksboven 
A: 	die zitten niet aan de aan het komme zelf vast die zitten aan het uitsteeksel vast 
A: 	en dat zijn gewoon een omgedraaide pion 
A: 	hij hebben rechts ook nog een een uitsteeksel dat zijn een een rond plateau 
B: 	aan de 
A: 	in het midden 
A: 	en Linksboven opsteken er iets uit en dat zijn een eigenlijk een omgedraaide pion 
B: 	ja en die omgedraaide zijn dat bedoelen je dan met die omgedraaide pion dat daar ook één dat die pion al uit een soort uitsteeksel komen 
A: 	ja ja 
B: 	en dan rechts nog een soort plateau 
A: 	een ronde 
B: 	een rond ja 
A: 	ja 
B: 	oké dat zijn L 
A: 	en hij zitten bij mij op de onderste rij zitten de drie figuur en dat zijn de veel links 
B: 	nee dat zijn hem niet 
B: 	oké 
B: 	dit zijn die waar je het net over hebben met die pion 
B: 	en met dat rond aan de rechterkant 
A: 	die pion Linksboven 
B: 	ja met de pion Linksboven en dan het rond rechts 
A: 	ja 
A: 	zijn nummer zeven 
B: 	oké 
B: 	en dan je zullen het je zullen het twee bovenste kunnen noemen denken ik 
B: 	één de één helemaal rechts en één die links best wel duidelijk bovenaan staan 
B: 	en dat zijn hem bij mij 
A: 	nee bij mij niet bij mij zitten die eronder dus dat zijn rood 
A: 	dit zijn met de pion Linksboven die uitsteken 
B: 	pion 
B: 	ja ja ik moeten hem weer even zoeken hoor 
B: 	ja 
B: 	ja en dat dan weer dat rond aan de rechterkant 
A: 	ja 
A: 	ja 
B: 	C 
A: 	en als ik de bovenste rij zien zien je helemaal links een figuur in het midden en rechts 
A: 	dus de bovenste rij 
B: 	ja ik zijn heel ver weg van de bovenste rij dus bij mij zitten die ergens onderin dus 
A: 	nee bij mij zitten die vlak onder de oké nee dan zijn die helemaal anders 
B: 	oké dan zijn het rood 
B: 	dit zijn dat pionne dat eruit opsteken met het rond aan de rechterkant 
A: 	even kijken 
A: 	ja 
A: 	dat zijn nummer één 
B: 	en hij staan ja het veel link 
A: 	in het midden 
B: 	ja in het midden inderdaad 
A: 	ja 
A: 	bij 
B: 	hij komen het veel links zeggen maar 
A: 	ja bij mij ook 
A: 	dit zijn die pion die aan de linkerkant helemaal eruit steken 
A: 	naar linksboven toe 
B: 	ja ja dat zijn A 
A: 	ja en dan zijn die zeggen maar de links rij van boven naar beneden zitten er twee 
B: 	ja 
A: 	Linksboven linksonder een figuur 
B: 	ja 
A: 	en dan degeen daar rechts van in het midden 
A: 	dus niet die rij maar die daarnaast 
B: 	dus wachten nog 
A: 	wachten even er zitten Linksboven zitten een figuur 
B: 	ja 
A: 	linksonder zitten een figuur 
B: 	ja en dan die daar in het midden 
A: 	die daarnaast in het midden ja 
B: 	ja 
B: 	pion die eruit opsteken aan de linkerkant met het rond die er rechts aan zitten 
A: 	ja nummer dertien 
B: 	en hij zitten niet helemaal linksonder maar daar rechts boven 
A: 	bij mij zitten die links in het midden van het scherm helemaal 
B: 	nee dat zijn hem niet 
A: 	nee dat kloppen dus niet 
