A: 	oké dus je hebben dat bakkie en dan bovenop en aan de zijkant zitten de twee zelfde soort 
A: 	vormig ovaalt 
A: 	en een beetje maar aan de achterkant zitten nog een klein raar koomarp 
A: 	en aan de ander kant daarvan zeggen maar zitten een soort vierkant allemaal blok naast elkaar 
B: 	ja een soort doos of of cakedoos of zoiets in die richting ja ja 
A: 	ja alsof je het stapelmen hebben maar dan zeggen maar zijwaarts 
B: 	oké letter E 
A: 	bij mij staan die aan de rechterhelft van het scherm 
A: 	en er staan ver niks veel rechts van 
B: 	bij mij wel 
A: 	maar er zitten nog wel wat ruimte tussen de rand 
B: 	nee 
B: 	bij mij staan die nog iets rechts van 
A: 	oké 
B: 	deze hebben jij net voor mij doen het zijn een beker 
B: 	aan de achterkant komen nog een beetje zo'n wormp uit of zo 
B: 	aan de voorkant komen die dos erin steken vliegen 
B: 	en hij hebben precies in het midden aan de bovenkant nog een zoiets zitten een een een staaf zitten 
A: 	ja 
B: 	en aan de voorkant hebben die ook nog een staaf erin zitten of een cirkel 
A: 	ja dat zijn de twee zelfde vormp 
B: 	ja 
A: 	ja 
A: 	nummer elf 
B: 	hij staan als je zo het midden hebben of het midden hebben bij jou hier ongeveer 
B: 	dus bij mij zijn bij mij zijn die links boven van het midden maar wel net links en net boven 
A: 	wachten je wijzen naar onder 
A: 	ja dat hebben ik ook 
B: 	oké 
A: 	dit zijn die een raar met die twee dezelfde vorm uitstulpsel een soort druppelachtig vormp 
B: 	die 
A: 	en aan de achterkant zitten nog dat staart en aan de voorkant zitten weer die vierkant tegen elkaar aan zeggen maar de enig drukken 
B: 	kunnen je nog een keer uitleggen 
A: 	een soort komme 
B: 	ja 
A: 	en dan aan de voorkant of ja dus een beetje hier die richting 
A: 	hebben je dus die vierkant die er zo in steken zijn 
A: 	en dan aan de zijkant en aan de bovenkant dezelfde vorm zo'n soort druppel een soort handva 
B: 	ja 
B: 	ja ja en staart 
A: 	en nog dat dinge aan de achterkant 
B: 	oké ja 
B: 	worden het letter J 
A: 	hij staan als je het midden hebben en dan de rechterhelft en dan het midden en dan zeggen maar daarop 
B: 	ja mee eens 
B: 	dus een klein voor jou een klein beetje rechts van het midden en wel een beetje boven het midden ja nou een beetje het midden van het midden daarvan 
A: 	ja ja 
B: 	ja 
B: 	deze zijn vervelend hij hebben een staart een soort van wormp wat uit hem komen en dan van die gek handvat dus één hier en één boven hem 
B: 	en er komen zo'n dozenvierkan in 
A: 	ja 
A: 	yes 
A: 	nummer negen 
B: 	hij staan in het midden van de rechterkant 
B: 	en hij staan net een beetje onder de het midden ja de rand van het midden 
A: 	onder de rand van het midden zeggen je 
B: 	ja hij staan net een beetje 
A: 	nee bij mij staan die boven de rand van het midden 
B: 	oké 
A: 	dit zijn die raar met het staart aan de achterkant en dan zeggen maar daartegenover die vierkant die erin steken worden 
B: 	ja 
A: 	en dan die twee gelijkvormig hendel 
B: 	ja ja 
B: 	letter B 
A: 	en die staan als je zeggen maar de rechtsonder dat vierkant blok zeggen maar dat kwart nemen van het scherm 
A: 	ongeveer in het midden daarvan 
B: 	bij mij staan die heel erg rechts aan de rand 
A: 	dus echt centraal 
A: 	nee ik hebben er nog echt duidelijk één nog voor de rand 
B: 	hij staan hij staan zeggen maar in het midden van het midden qua hoog en laag 
A: 	nee dat hebben ik ook niet ik hebben hem echt wel in daaronder 
B: 	nee ja oké 
B: 	hij hebben dat stom staart en hij hebben een handvat op en een handvat links en hij hebben van die dos die in hem steken 
B: 	die vierkant 
A: 	zijn ik 
A: 	ja maar ja 
A: 	nummer vier 
B: 	Linksboven in de hoek 
A: 	ja 
B: 	en dan zo'n stuk van de bovenrand en een heel klein stuk groot van de linkerrand af 
A: 	ja vinden ik wel 
B: 	oké 
A: 	ja 
