B: 	oken ik hebben deze ik zitten heel erg te twijfelen tussen of als fabriek of als vierkant dwarslaesie 
B: 	het zijn een soort schijf dwars een vierkant schijf dwars door het midden van de beker 
A: 	o 
A: 	met dat met die met die glijbaan 
B: 	met met 
B: 	ja met die glijbaan ja precies ik zitten er ook over te nadenken zullen ik hem omschrijven als glijbaan en die soort twee twee klein heel klein antennet bovenop 
A: 	lijken of een ja 
A: 	ja ja ja die die kennen ik wel ja 
B: 	ja 
A: 	dat zijn mijn favoriet 
B: 	ok 
A: 	nee o ik zullen het zeggen ja zes 
B: 	jij moeten dan zeggen 
B: 	ok hij zitten bij mij rechts ja dus inderdaad als je het in vier vak opdeelen in het rechtsboven vak 
B: 	en een beetje net net iets rechts van het verticaal midden 
A: 	ok 
B: 	maar hij zitten wel echt bovenin 
A: 	dus zeggen maar op bij mij zitten hij zeggen maar op zes tien van het scherm als je zeggen maar als je snpen wat ik bedoelen tenminste 
A: 	als je zeggen maar bij de aller links kant zijn nul en rechts zijn tien 
B: 	horizontaal zien 
B: 	ja en dan en dan horizontaal zien zitten hij dan op zes 
B: 	of verticaal 
A: 	verticaal ja 
A: 	ja en dan helemaal boven aan het scherm toch ? als in er passen 
B: 	o dus dus hij zitten hij zitten ja hij zitten dus helemaal bovenin en dan 
A: 	zeggen maar als het één als het één hoe heten hoe heten zo'n ding bij wiskunde ? zo'n x zo'n grafiek weten je wel zo'n x as en y as dan lijken hij 
B: 	zeggen maar je hebben x as y as 
A: 	ja als het ja dat zijn ook moeilijk uitleggen in ieder geval hij staan hij staan één twee ja van links naar rechts als het één 
B: 	ja 
B: 	maar 
B: 	ja 
A: 	nul tot tien zullen zijn staan hij ongeveer op zes en van beneden naar boven staan hij bijna ja ongeveer bovenaan maar past niks veel boven tussen 
B: 	zitten er nou nee er boven past niks veel tussen en naar rechts staan er nog twee 
A: 	ja ok dan 
A: 	ja ja ja ok 
B: 	okan dan zitten hij denken ik op dezelfde plek ja 
A: 	op dezelfde plek ja 
A: 	o die een met die glijbaan die jij een fabriek noemen 
B: 	met het platvorm in de midden ja C 
A: 	met dat platvorm er recht doorheen ja 
A: 	en de rechts bovenste vak bovenin in het midden 
B: 	ja helemaal bovenin toch ? als hoog van al ding 
A: 	ja als hoog van allemaal daar komen die 
B: 	ja 
B: 	ik hebben de fabriek of de glijbaan 
A: 	ja 
A: 	dertien 
B: 	link bovenin 
B: 	helemaal links bovenin 
A: 	nee 
A: 	nee bij mij niet 
A: 	die glijbaan fabriek 
B: 	zitten hem even te zoeken 
A: 	bij mij zitten hij in ieder geval onderin 
B: 	ja J 
B: 	midden onderin 
A: 	en dan gewoon 
A: 	ja midden onderin inderdaad 
B: 	fabriek glijbaan 
A: 	ok 
A: 	ja o negen 
B: 	helemaal rechts bovenste vak rechts aan de aan de rechterkant 
A: 	nee 
A: 	nee bij mij niet bij mij zitten hij rechtsonder vak helemaal bovenin zeggen maar in het midden 
B: 	ok 
A: 	nee dus dan nee 
A: 	die glijbaan fabriek 
A: 	of stofzuiger of zo 
A: 	hebben je wel eens zo'n Henry Stofzuiger zien 
B: 	zo wat 
A: 	zo'n Henry Stofzuiger 
B: 	ik weten het niet 
A: 	nee laten maar dan kennen je hem niet nee 
B: 	o ok nee dit 
A: 	hij lijken er heel veel op 
B: 	ok zijn dat zo'n zo'n zwevend stofzuiger ding 
A: 	nee nee niet per se 
B: 	o nee ok 
B: 	nee inderdaad maar die fabriek N 
B: 	even kijken die zitten rechts boven in het midden 
A: 	nee bij mij zitten hij echt in het midden helemaal bovenin 
B: 	of wacht wachten even nee sorry inderdaad helemaal bovenin het midden ja zo zullen ik hem ook omschrijven 
A: 	ja ja 
B: 	ok zelfde plek o 
A: 	o dat moeten jij doen ja 
