A: 	oké deze hebben heel duidelijk een één de enig een piramide bovenop 
B: 	ja J 
A: 	en hij staan bij mij helemaal rechtsonder 
B: 	ja kloppen ook 
B: 	oké dit zijn met de piramide bovenop 
B: 	en een een soort 
A: 	de enig met een heel piramide 
B: 	ja en een kogel soort kogel aan de linkerkant 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	oké 
B: 	en dan hebben je de twee die twee helemaal rechtsonder 
B: 	en dan staan er als je daar een driehoek van uitmaken één recht boven 
A: 	ja 
B: 	dat zijn hem 
A: 	ja bij mij ook 
A: 	dus eigenlijk een ook een piramide en daar zijn het de bovenste van 
B: 	yes 
A: 	dus dat zijn nummer zes 
A: 	en naar naar die plek ja dat kloppen 
B: 	ja geel 
A: 	ja 
A: 	deze zijn met de piramide bovenop 
A: 	de heel piramide 
B: 	dat zijn E 
A: 	en het zijn de twee van rechtsonder 
A: 	naar midden toe 
B: 	twee van rechtsonder 
A: 	ja je hebben er zeggen maar drie aan de rechterkant hebben je drie symboal 
B: 	ja hij zitten bij mij helemaal rechtsonder dus 
A: 	oké 
A: 	ja dat zijn makkelijk ja 
B: 	ja oké 
B: 	piramide bovenop 
A: 	ja nummer tien 
B: 	en helemaal linksonder 
A: 	nee bij mij zitten die daarnaast 
B: 	oké 
A: 	deze zijn met de piramide erbovenop 
B: 	ja 
A: 	en die zitten helemaal Linksboven 
B: 	ja 
B: 	piramide bovenop 
A: 	piramide bovenop 
A: 	ja nummer tien 
B: 	en als je zeggen maar van rechtsonder die drie figuur zullen hebben 
B: 	die zo in een soort boog staan dan de middel daarvan 
A: 	ja bij mij ook 
