B: 	oken ik hebben een plaat met een lepeltje rechts nou ik noemen het een lepel en dan links 
A: 	ja 
B: 	opsteken er iets uit een beetje zesvormig drievormig weten niet 
B: 	en aan de achterkant zitten nog een rond en de onderkant hebben een ja soort standaard nog 
A: 	o ja er zitten aan de linkerkant een soort buisachtig dinge dan aan de achterkant een rond en dan er in naar de rechterkant steken een soort 
A: 	zo'n omgekeerde druppel uit 
B: 	ja 
A: 	okan ja 
A: 	dat zijn nummer dertien bij mij 
A: 	en daar onder zo'n soort standaard 
B: 	ja 
A: 	nog ja nummer dertien 
B: 	moeten jij drukken 
A: 	o 
B: 	op geel 
A: 	op geel 
A: 	maar hoe hoe weten ze o dat horen zij welk nummer ik zeggen ok dertien 
B: 	ja 
B: 	en dan nu de plek bij mij staan hij midden op het scherm en dan beetje onderaan 
A: 	ja 
A: 	ja 
A: 	veel rechts van het midden of veel link van het midden 
B: 	echt midden midden 
A: 	midden midden 
B: 	ja 
A: 	en dan hebben je er zegmaar zitten er nog ding onder ? of zitten hij helemaal 
B: 	ja linksonder zitten nog een plaat en daar rechts van zitten nog een plaat 
A: 	en linksonder één plaat of twee plaat 
B: 	twee 
A: 	ja ik weten niet of hij helemaal in het midden midden zitten bij mij maar hij zitten wel in het midden met twee plaat link één 
A: 	rechts iets erboven ernaast en iets ver rechts daaronder ernaast nog één 
B: 	ja 
A: 	dus dan denken ik dat we hem wel op dezelfde plek hebben 
B: 	wel op dezelfde plek 
A: 	ja denken ik wel 
B: 	ok 
A: 	als je zegmaar gewoon het beeldscherm in zo'n kruis verdeelen zitten hij ja wel ongeveer in het midden en dan net iets onder de horizontaal middenlijn 
B: 	ja 
A: 	ja ok dus dan zullen het weer geel zijn 
B: 	ja 
A: 	ja dit dit zijn volgens mij de één die we hebben hebben die vinden ik op een drinkbeker lijken met zo'n 
A: 	zo'n standaard er onder met zo'n 
B: 	lepeltje 
A: 	ja zo'n lepel zo'n dinge naar de zijkant en zo'n rond die er half achter zitten 
B: 	ja dat zijn de O 
A: 	ja 
A: 	en die zitten rechtsboven maar dan helemaal in de linksonderhoek 
A: 	dus zeggen eigenlijk net op het kruis van het midden maar dan de 
B: 	ok 
B: 	nou bij mij zitten hij juist in het rechtsonder en dan Linksboven dus dan zijn mijn denken ik iets laag 
A: 	ja te ver naar veel naar jaja 
B: 	die van jou zitten hoog dan 
A: 	als je naar het midden willen dan zullen je zeggen maar omhoog en naar rechts moeten of naar rechts en omhoog 
B: 	ik zullen naar omhoog en naar links moeten en jij zullen naar beneden en naar links moeten 
A: 	ik moeten naar beneden en naar links ja dan moeten jij naar boven en naar rechts naar links 
B: 	link 
B: 	ja want ik zitten wel aan dezelfde kant als jou maar qua hoogte 
A: 	o ok jaja maar jij zitten in daar ondergren daarvan ja ok dus dan zitten hij niet of dezelfde ja 
B: 	dus dat zijn ander plek dus dat zijn rood 
B: 	ok dit zijn de één die we hebben hebben met die standaard dat lepel dat rond achterop en dat uitsteeksel 
A: 	ja ja ja dat zijn 
A: 	ja dat zijn nummer acht 
B: 	en hij liggen rechtsboven in het vak 
B: 	en dan ook best wel rechtsboven weer maar rechts van hem zullen nog wel iets passen net wel 
A: 	ja 
A: 	ja 
A: 	maar Erboven niet 
B: 	Erboven niet 
A: 	nee dan zitten hij wel op dezelfde plek 
A: 	dit zijn die eerst die we hebben hebben met dat onderstel en dat lepel met dat rond op de achtergrond 
B: 	dat zijn voor mij C 
A: 	en hij liggen rechtsboven ? en dan eigenlijk 
A: 	in het in het midden van die vier klein vak misschien iets link 
B: 	rechtsboven en dan in het midden 
A: 	ja 
B: 	bij mij liggen hij wel echt duidelijk links dus dat zijn dan rood 
A: 	okan ja 
B: 	dit zijn de één die we hebben met die standaard een lepel een rond aan de achterkant en een 
A: 	dat zijn nummer zeven 
B: 	en hij liggen linksonder ? en dan eigenlijk in het midden en er onder past er net wel één denken ik 
A: 	ja 
A: 	ja 
A: 	en links daarvan ongeveer evenveel ruimte als er onder zitten 
B: 	link zitten wel veel ruimte dan onder 
A: 	ok nee die van mij zitten wel echt zitten evenveel ruimte links als rechts er onder 
B: 	ok 
B: 	dan zijn het hem niet 
A: 	dit zijn die één die we hebben met die standaard het lepel erin rond op de achtergrond 
B: 	ja dat zijn voor mij C 
A: 	en hij liggen rechtsboven en dan weer rechtsboven maar dan beetje aan de linkerkant van het klein vak 
B: 	rechtsbof rechtsboven nee 
