B: 	dus nou mogen we praten toch 
B: 	ok het zijn er zeggen maar één met een schijf achter het koje en link steken een staaf uit 
A: 	een schijf achter het kop 
B: 	ja niet echt een bol zeggen maar maar veel een gewoon een rond vlak en je zien hem maar voor de helft hij zitten er zeggen maar achter verstpen 
B: 	en er steken rechtboven ook nog iets uit 
A: 	ok wat voor figuur hebben je er allemaal in 
B: 	hoe bedoelen je er in 
A: 	als in zien je een vierkantje of een rond 
B: 	ja je zien aan de linkerkant van het soort van kop iets uitsteken 
A: 	ja 
B: 	en achter het kop zien je zeggen maar een half half rond 
A: 	ja 
B: 	en rechtsboven in het kop zullen je kunnen zeggen opsteken nog iets uit een soort van ja leeg ballon 
A: 	ja 
A: 	okan en dan aan de onderkant zitten een soort van 
B: 	ja op soort van blok iets in die richting 
A: 	een beetje rondig 
B: 	ja 
A: 	ok nou moeten ik het nummer zeggen toch 
B: 	ja 
A: 	dertien ? en dan de geel knop 
A: 	ok waar staan hij bij jou 
B: 	in het midden en dan redelijk onderaan het scherm 
A: 	ja bij mij ook en dan aan de rechterkant nog een ander figuur 
B: 	ja en linksonder twee 
A: 	en linksonder ja 
B: 	en helemaal rechts dan nog één iets ver weg 
A: 	ja drie op de onderste rij zeggen maar 
B: 	ja 
A: 	ok en dan zijn het geel toch 
B: 	ja 
B: 	ja 
A: 	ok deze hebben een ballonne er in en zo'n een rond schijf maar die zitten er maar voor de helft die zijn maar voor de helft zichtbaar ja die een ja 
B: 	die verstopt ja 
B: 	en dan zo'n uitstekend dinge link 
A: 	ja en dat blok onderin wat niet echt een blok zijn 
B: 	ja zijn O 
A: 	beetje in het midden en dan bovenin daar boven zitten zegmaar niks boven mijn figuur 
B: 	nee ok bij mij ja je hebben er zeggen maar eigenlijk zes helemaal rechts zullen je kunnen zeggen ? en dan 
A: 	één twee drie vier vijf ja 
B: 	twee veel naar het binnen die boven elkaar staan 
A: 	ja 
B: 	en dan zijn het bij jou die onderste 
A: 	nee de boven 
B: 	ja dan zijn het dus niet dezelfde bij mij zijn het de onder 
A: 	nou zijn het weer anders 
B: 	het zijn veranderen ja 
B: 	het zijn zegmaar die met zo'n ballonne eruit en weer zo'n half schijf er achter die er achter verstpen zitten en link steken een dinge uit aan de onderkant zitten dat gek blok 
A: 	dat blok achten 
A: 	bij mij helemaal rechtsboven 
B: 	ja echt helemaal rechtboven niks er omheen ja 
A: 	ballonne er bovenin en dan dat half schijf en daar onderin dat blok en een rond wat er uit opsteken zo'n lang 
B: 	aan de linkerkant 
A: 	ja 
B: 	C 
B: 	drie van de één rij 
A: 	vier van de één rij 
B: 	zegmaar ballonne er uit een blok links en half schijf aan de achterkant en dan onder zo'n gek blok waar hij op staat 
A: 	ballonne er uit 
A: 	nog een keer 
B: 	en dan zo'n schijfje wat je half inzien aan de achterkant en link opsteken er weer zo'n rond blok uit 
A: 	gewoon het gek blok aan de onderkant 
B: 	ja met dat gek blok aan de onderkant 
A: 	zeven 
A: 	helemaal linksonder 
B: 	nee bij mij twee onderaan dus niet hetzelfde 
A: 	nee 
A: 	die met dat gek blok aan de onderkant ballonne er in half cirkel en dat dinge wat er uit opsteken 
B: 	aan de linkerkant ja C 
B: 	zes rij de twee 
A: 	zes rij de één 
