B: 	ja 
B: 	deze zijn helemaal onderin zijn een soort vierkant plaat en daar staan het geheel op 
A: 	ja die lijken een beetje op Pippi Langkous vinden ik zelf met die ding aan de zijkant van het hoofd 
B: 	ja ja 
B: 	ik hebben het noemen als een varkensneus maar varkensneus met gek oor 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer vijf 
B: 	yes 
B: 	hij staan bij mij aan de linkerkant 
B: 	en net iets onder het midden 
A: 	bij mij staan die net iets boven het midden eigenlijk 
B: 	dat zijn al fout ja 
A: 	dus denken niet helemaal hetzelfde staan 
A: 	deze hebben ik weer die op het platform staan met twee staart aan de zijkant 
B: 	ja 
B: 	J 
A: 	en die staan bij mij helemaal rechts onderin 
B: 	nee bij mij niet er kunnen er nog twee naast 
A: 	oké 
B: 	Pippi Langkous 
A: 	ja dat zijn elf 
B: 	hij staan bij mij precies of ja ongeveer in het midden en 
B: 	ja er zullen denken ik nog twee figuurt naast kunnen 
B: 	smal 
A: 	tussen 
B: 	tussen de rand zeggen maar 
A: 	ja bij mij zijn het er echt wel drie 
A: 	volgens mij zijn elf en zeven hier omgewisselen 
A: 	dus ik gaan voor nee 
A: 	ja die Pippi Langkous 
A: 	dat zijn waar we voor gaan 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	staan die bij mij iets naar echt wel één goed naar boven en klein naar rechts 
A: 	van het midden zien 
B: 	klein naar rechts 
B: 	hoeveel figuurt passen er nog naast tot aan de rand 
A: 	drie echt wel 
A: 	zeker drie 
B: 	en als je de middellijn hebben zeggen maar die Q van BenQ 
B: 	past daar er nog één tussen of niet 
A: 	nou net niet denken ik 
B: 	oké nee bij mij passen er wel echt één tussen 
B: 	dus dan staan die niet op dezelfde plek 
B: 	ik hebben Pippi Langkous 
A: 	nummer negen 
B: 	hij staan exact in het midden en er kunnen ja niet echt iets veel boven 
B: 	net net niet 
A: 	nee 
A: 	ik hebben Pippi Langkous 
B: 	ja dat zijn bij mij L 
A: 	bij mij staan die een goed stap naar links van het midden en zo'n twee stap omhoog anderhalf stap 
B: 	nee 
A: 	oké 
B: 	hij staan net iets rechts van het midden 
