B: 	ja ik zullen het weer in koffiebekert omschrijven 
B: 	dus ik hebben het omschrijven als een koffiekopje met een ei ervoor 
B: 	zonder iets door dat ei heen 
A: 	ja 
B: 	het hebben ver twee lepelt in het koffiekopje 
B: 	en er zitten weer een klein ja een beetje driehoekig uitsteeksel aan 
A: 	ja 
A: 	en de ding die erin hangen één zijn een beetje staafachtig en de ander een beetje een penseel kwastachtig ding 
B: 	ja 
B: 	dat zijn hem 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	ja bij mij staan die in ieder geval in het rechtsonderkwadrant 
A: 	ja 
B: 	en dan staan die iets onder het midden van de horizontaal lijn en 
B: 	zeggen maar het dichtstbijzijnd bij het midden van de verticaal lijn 
A: 	ja staan 
A: 	staan die naast het koffiekoekje 
B: 	ja 
A: 	kijken aan 
A: 	dan zijn dat dezelfde plek 
A: 	dan hebben ik de koffiebeker met de ei zonder iets erdoorheen aan de voorkant 
A: 	en link steken een een driehoek iets uit 
B: 	met twee lepelt 
A: 	met de staaf en de penseel Erbovenin 
B: 	ja 
B: 	ja dat zijn letter N 
A: 	zijn er een plaat bij jou wat in het kwadrant linksboven maar ook in het totaal het veel links staan 
B: 	nee hij staan in het midden van dat kwadrant 
B: 	en echt in in de middellijn horizon 
A: 	ja maar ook helemaal aan de linkerkant van het scherm 
B: 	bij de horizon 
B: 	nee er past nog een er staan zelfs nog een plaat langs 
A: 	nee nou ja bij mij niet 
B: 	nee 
A: 	en die past ook niet 
B: 	het koffiekopje met een een penseel uitstekend een staaf een ei vooraan 
A: 	dat ei hebben een staaf erdoorheen 
B: 	nee 
A: 	oké die twee aan de bovenkant en de driehoek link 
B: 	dat ander 
B: 	met die twee aan de bovenkant 
B: 	ja 
B: 	driehoek link 
A: 	oké 
A: 	het ei 
A: 	dat zijn nummer negen 
B: 	hij staan iets boven van de horizontaal middellijn 
A: 	bij mij staan die helemaal links bovenin 
B: 	nee dan 
A: 	nee nee 
B: 	nee 
B: 	nee 
A: 	ei aan de voorkant 
A: 	twee ding erin om te roeren 
A: 	en nog een driehoek aan de zijkant 
B: 	ja dat zijn letter G 
A: 	en die zullen bij het kwadrant linksonder horen 
A: 	maar staan vrij dicht naar het midden van het midden 
A: 	daar staan die redelijk dicht tegenaan 
B: 	ja vooral naar de verticaal middellijn 
A: 	ja 
B: 	horizontaal 
A: 	want daar past nog wel iets mogen je nog iets opschuiven 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	dat geloven ik wel 
B: 	dat kop met de ei als neus een penseel als roerstaafje en een ander staaf erbij en een driehoek 
B: 	aan de linkerkant 
A: 	ja hebbes 
A: 	nummer vijf 
B: 	hij staan rechtsboven het kwadrant 
A: 	ja 
B: 	en dan staan die niet echt in het midden maar een beetje linksonder van het midden daarvan 
A: 	bij mij staan die vrij rechts in het scherm 
B: 	rechts in het scherm 
A: 	ja 
B: 	van dat kwadrant 
A: 	ja en dus ook het heel scherm 
B: 	en überhaupt in het scherm 
B: 	nee dan zijn het toch een ander plek 
A: 	oké 
A: 	ei aan de voorkant iets rechts 
A: 	driehoekig aanhangsel en twee ding van bovenaf erin 
B: 	door het ei heen 
A: 	nee 
A: 	niks door het ei heen 
A: 	en twee ding aan de bovenkant erin een staaf en penseel 
B: 	weer die 
B: 	die hebben we vaak hebben 
B: 	met dat driehoek aan de linkerkant 
A: 	ja 
B: 	ja 
A: 	we hebben ze allemaal even vaak hebben als het goed zijn 
B: 	ja waarschijnlijk wel 
B: 	letter J 
B: 	sommig blijven hangen denken ik 
A: 	kwadrant rechtsboven 
A: 	ongeveer 
B: 	twijfel 
A: 	bij mij zijn het het midden van het kwadrant rechtsboven 
B: 	maar bij mij staan die echt op de horizontaal lijn 
A: 	nee 
A: 	nee nee dan zullen we niet 
B: 	nee 
A: 	nee 
