B: 	ik hebben er nou één dat ja je kunnen het een beetje eigenlijk als een verrekijker zien of zo dat aan de 
B: 	linkerkant hebben je dan twee van die ja met vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenop hebben je dan nog een soort van antenne zitten of zo lijken het wel 
A: 	en daarvoor zo'n vierkant plaat 
B: 	ja 
A: 	ja 
B: 	die 
A: 	dat zijn bij mij nummer twee 
B: 	en bij mij staan die dan ja zeggen maar onder in het scherm helemaal onder in het scherm en dan 
B: 	aan de linkerkant ook zeggen maar op één vier dus 
A: 	nee bij mij staan die kunnen er nog een plaat onder 
B: 	nee bij mij niet veel 
A: 	oké 
B: 	dus dan zijn het niet 
A: 	dan staan die niet op dezelfde plek 
A: 	ik hebben nu de een mat met die antenne en dat vierkant of ja die plaat ervoor zeggen maar en die twee vierkant uitstekend ding 
B: 	ja 
B: 	dat zijn bij mij G 
A: 	bij mij staan die zeggen maar echt net links van het midden 
A: 	en ook net onder het midden van het scherm 
B: 	onder 
B: 	ja dat zijn bij mij ook 
B: 	we hebben nou weer die een met dat vierkant aan de voorkant en dan weer met die vierkant die telkens groot worden dan die twee naast elkaar en die antenne inderdaad 
A: 	en die antenne erop 
A: 	ja 
A: 	nummer negen bij mij 
B: 	en bij mij staan die zeggen maar van de middellijn dan weer net iets aan de linkerkant en 
B: 	als je dan weer qua hoogte dan ook weer net iets ja ongeveer op 
A: 	drie vier 
B: 	drie vier denken ik ja er kunnen nog er staan nog een plaat onder 
A: 	er zitten bij mij nog een plaat onder ja 
B: 	ja 
A: 	oké 
A: 	ja dan denken ik dat die wel op dezelfde plek zitten net iets link van het midden en er zitten één plaat onder 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	ik hebben nu die een met die antenne erop die plaat ervoor en die vierkant aan de linkerkant 
B: 	ja 
B: 	dat zijn bij mij d 
A: 	hij liggen net iets boven het midden 
A: 	en heel net iets link van het midden zullen je kunnen zeggen 
A: 	ja 
B: 	ja daar liggen die bij mij ook 
B: 	die een weer met dat vierkant aan de voorkant en die antenne aan de bovenkant en die vierkant die telkens groot worden 
A: 	ja 
A: 	nummer één zijn dat bij mij 
B: 	bij mij staan die ja eigenlijk wel echt precies op het midden qua hoogte en dan net iets 
A: 	nee bij mij staan die Erboven 
B: 	ja bij mij zijn die dan net iets aan de rechterkant ook 
A: 	ja bij mij staan die wel echt duidelijk boven het midden 
B: 	nee bij mij zijn het echt ongeveer het midden dus 
A: 	oké 
A: 	dan staan die niet op dezelfde plek 
B: 	nee 
A: 	ik hebben die met die antenne staan bij mij onderin een beetje in het midden 
A: 	met zo'n vierkant plaat er voor en die vierkant die groot worden 
B: 	ja 
B: 	bij mij zijn dat B 
A: 	ja bij mij staan die zeggen maar wel net iets rechts van de middellijn en helemaal onderaan eigenlijk wel 
B: 	helemaal onderaan inderdaad 
A: 	oké 
B: 	ja en echt net iets rechts van de middellijn of echt gewoon wel een stuk rechts zeker 
A: 	ja zeggen maar als je de middellijn pakken dan staan die er wel gewoon echt net naast maar niet heel veel ernaast 
B: 	ja 
B: 	ja oké dan staan die denken ik wel op dezelfde plek 
