A: 	dit zijn die een met van die twee handvat een beetje uit zo'n fiets 
A: 	met een fietsmand 
A: 	en dan zo'n balk erachter 
A: 	dus het zijn gewoon dat kop met twee van die ding aan de zijkant er zitten een bal op 
B: 	er zitten een bal op 
A: 	er liggen een bal op 
B: 	oké 
A: 	en dan een balk 
B: 	die 
B: 	ja ja D 
A: 	en dan staan die bij mij helemaal onderaan 
A: 	en dan net iets veel naar links dan het midden 
B: 	ja bij mij ook 
A: 	ja 
B: 	ha heel tijd hetzelfde 
B: 	ik verwachten eigenlijk dat er toch iets 
A: 	iets in ieder geval ja komen vanzelf wel 
B: 	zitten zijn er één aan de linkerkant één aan de rechterkant 
A: 	ja 
A: 	ik hebben daar ja 
B: 	oké 
B: 	ja dan zijn het hetzelfde 
B: 	volgens mij zijn dit degeen die jij net 
B: 	fietsmand noemen 
B: 	met een bal erop 
A: 	en twee van die 
B: 	ja ja dun handvat 
A: 	ja precies 
B: 	en een balk 
A: 	en een balk die er zo zullen ik maar zeggen tegenaan 
B: 	ja een verticaal balk 
A: 	dat zijn vijftien 
B: 	helemaal rechts onderaan 
B: 	echt helemaal rechts helemaal onderaan 
A: 	nee nou ja zijn bij mij wel rechts maar in het midden 
B: 	nee dan 
A: 	van onderen 
A: 	dat zijn dat fietsmand weer met die bal erop en die twee 
B: 	ja 
B: 	L 
A: 	en die staan iets naar boven van het midden ik denken op het midden van naar boven gaan 
B: 	oké 
A: 	en dan iets dicht bij het midden dan het midden van het midden wel dan want 
B: 	nou hij staan bij mij iets dicht bij de bovenkant dan het midden 
B: 	dat zijn denken ik anders en hij staan een beetje naar links 
A: 	nee bij mij zitten die wat veel naar rechts 
B: 	het fietsmand 
B: 	met de bal 
A: 	even kijken waar staan 
A: 	dat zijn zes 
B: 	bij mij staan die helemaal of ja best wel in het midden en naar rechts 
A: 	even kijken nee bij mij staan die echt wel rechts 
B: 	ja ja best wel ver naar rechts ook 
B: 	dichter naar bij rechts dan bij het midden 
A: 	dichter bij rechts dan bij het midden en dan in het midden ook van 
B: 	ja 
B: 	ja in het midden van hoogte 
A: 	ja en dan dus maar echt daar ja 
A: 	ja dat hebben ik ook 
B: 	oké 
B: 	dan zijn het denken ik hetzelfde zullen nog één rechts kunnen 
A: 	ja 
B: 	ja 
A: 	dat fietsmand weer 
B: 	fietsmand 
B: 	J 
B: 	met de bal erin 
A: 	ja 
A: 	en dan op de helft van rechts misschien iets veel naar rechts toe maar wel gewoon op het midden qua hoogte 
B: 	ja 
B: 	ik denken dat dat hetzelfde zijn 
B: 	het fietsmand met de bal 
A: 	nummer drie 
B: 	helemaal naar rechts 
B: 	en iets naar beneden 
A: 	ja passen niks veel tussen maar 
B: 	aan de rechterkant past niks veel tussen maar naar onderen wel 
A: 	nee precies 
A: 	ja ja 
