A: 	inhaal 
A: 	ok nou ja alles zijn een mok maar er zitten ook een bol op en er zitten door die bol zitten iets wat op een spijker lijken 
B: 	ja ja neuspiercing 
A: 	er er boven het lijken 
A: 	ja dat denken ik ook daar denken ik ook aan ja het lijken of iemand een neuspiercing en zo'n staart er achterop 
B: 	ja inderdaad zo'n dinge 
A: 	ja dat zijn nou dan zijn we al snel er uit 
B: 	ok F 
A: 	en hij staan in zullen zeggen horizontaal in het midden maar wel 
B: 	ja 
A: 	naar o wachten ik zullen niks uitbeelden misschien maar in ieder geval naar rechts je zullen kunnen zeggen 
B: 	mochten toch communiceren hoe we willen ? maar nou ja 
A: 	als het als het als het scherm zullen zijn opdelen in twee vak zeggen maar links en rechts dan zitten hij in het rechter vak in het midden 
B: 	ok bij mij zitten hij echt inderdaad precies echt op op de middenlijn maar echt helemaal aan de rechterkant 
A: 	ja 
A: 	nee hij zitten niet tegen de rand aan of zo hij zitten zeggen maar als het scherm honderd procent zullen zijn zitten hij op vijfenzeventig procent 
B: 	er ja zitten denken ik 
A: 	naar rechts 
B: 	okan maar er maar er zitten daarna nog hij zullen zitten er eigenlijk net genoeg genoeg ruimte tussen om nog één zo'n mok eigenlijk te hebben 
A: 	nee bij mij staan er nog zo'n mok naast zeggen maar dus 
B: 	o ok nee dan nee er staan bij mij niks rechts veel van 
A: 	nee er er zijn wel ruimte zijn daar voor en nog extra zelfs dus ja 
B: 	dus niet op dezelfde plek 
A: 	nee 
B: 	ok 
A: 	taak één 
B: 	de indiaan met neuspiercing 
A: 	o we hebben wel mooi naam bedenken 
B: 	met zijn ding ja 
A: 	vijf 
B: 	link bovenin in het midden 
B: 	nou 
A: 	ja dus als in links bovenste vak en dan aan de rechterkant 
A: 	o nee o ik snapen wat je bedoelen bij mij zitten hij zeggen maar links bovenste vak en dan best wel dicht bij de yas 
B: 	nee 
A: 	bij jou zitten hij echt links bovenste vak en dan in het midden daarvan 
B: 	nou zijn ja links bovenste vak en dan net net iets hij zitten zeggen maar net iets onder de pacman arm 
A: 	o bij mij 
B: 	o wachten ja nee maar ja o maar wachten zo op die manier kunnen we het niet goed vergelijken denken ik 
A: 	nee dat bij mij zitten die pacman arm links onder 
A: 	ja ja nee 
B: 	maar hij zitten hij zitten 
A: 	ik denken niet dat hij in dezelfde plek zitten want bij mij zitten hij komen best wel in de buurt van het midden van het heel scherm zeggen maar 
B: 	o ok nee nee 
A: 	als in maar wel bovenin maar wel zeggen maar als je naar de x kijken 
B: 	nee dus bij jou zitten hij zitten hij zeggen maar in het midden maar dan linksboven zeggen maar hij zitten van het links boven vak helemaal rechts onderin 
A: 	jaja 
A: 	ja niet helemaal rechts onderin maar wel rechts helemaal 
B: 	of niet 
A: 	Linksboven vak en dan zitten hij helemaal rechts maar wel in het midden ja als je naar het links bovenste vak kijken rechts in het midden 
B: 	volgens mij hebben we er dan één hebben we hebben we er één fout doen dan maar 
A: 	ja 
B: 	nou ik weten niet deze zitten in ieder geval niet op dezelfde plek denken ik 
A: 	ok 
B: 	ja er er zitten zeggen maar nog rechts boven nog één één ding 
A: 	ja daar bij mij zitten rechtsboven niks maar ik weten niet of dat dat uitmaken of dat we helemaal hetzelfde plaat hebben of dat hij gewoon om 
B: 	nou volgens mij wel en Linksboven zitten sowieso helemaal niks maar dat zijn bij dat zijn sowieso 
A: 	ja dat kloppen dat kloppen 
B: 	ik denken dat dat hij op dezelfde plek zitten 
B: 	hij zitten veel 
A: 	zeggen even zeggen even gewoon simpel met die vak zoals we de heel 
B: 	ja ok dus ja dus er inderdaad dan links bovenin en dan zullen ik hem links bovenste vak en dan onder in het midden 
A: 	een 
A: 	nee niet onder het midden 
A: 	niet in het midden van het links bovenste vak 
B: 	nee naar de rechts ja er rechts onder niet niet er helemaal horizontaal rechts van het van van het midden van dat vak 
A: 	nee ik denken ik denken dat ik denken dat hij niet op dezelfde plek staan 
B: 	nee denken het ook niet 
A: 	ja 
B: 	ok 
A: 	even nadenken het beginnen allemaal 
B: 	ja rooie zijn het 
A: 	nou zijn die met met piercing 
B: 	o ja ok A 
A: 	o en hij zitten rechts onderste vak helemaal in het midden 
B: 	rechts onderste vak nee ik zullen hem zeggen maar omschrijven als rechterkant van het scherm en dan midden 
A: 	wachten 
B: 	volgens mij zitten mijn boven jouw 
A: 	je nee bij mij zitten hij echt rechts onderste vak en dan in het midden van dat vak 
B: 	hij zitten eigenlijk zeggen maar het verst rechtsonder van al ding 
A: 	jaja kloppen 
B: 	ok nee dan zitten ze dus niet op dezelfde plek 
B: 	ok 
B: 	even kijken de indiaan met piercing 
A: 	ja vijf 
B: 	rechts bovenste vak links onderin 
A: 	nee dat zijn niet hetzelfde 
B: 	waar zitten hij bij jou trouwens 
A: 	gewoon rechts bovenste vak rechts onderin dus gewoon best wel aan de rechterkant van het scherm in het midden 
B: 	of wachten ik zeggen weer ik wissellen weer links en rechts om of niet 
B: 	rechts bovenste vak links onderin 
A: 	nee bij mij zitten hij zeggen maar bij jou zitten hij een beetje dichtbij het midden dan 
B: 	ja 
A: 	nee bij mij niet 
B: 	ok 
A: 	piercing indiaan 
B: 	ik zitten hem even te zoeken 
A: 	onderin bij mij in ieder geval in het midden 
B: 	ja 
B: 	bij mij ook H 
B: 	dus even kijken 
A: 	gewoon in het midden van het scherm onderin bij mij in ieder geval 
B: 	midden midden helemaal onderin 
A: 	ja 
B: 	of ja ja kloppen 
A: 	of ja niet helemaal maar ongeveer in het midden van de onderste helft ja 
B: 	ja ja onderste helft in het midden ja kloppen o wachten dan moeten ik klikken ja 
A: 	jaja ja 
B: 	indiaan met piercing 
A: 	o ik zien hem al vijftien 
A: 	bij mij zitten hij net wat rechts van het midden 
B: 	bij mij zitten hij rechts bovenste vak in het midden 
A: 	nee 
A: 	met piercing zeggen je 
B: 	ja met piercing 
A: 	nee nee 
