B: 	dit lijken een beetje op een soort WALLErobo 
B: 	met een balk staan erbovenop 
B: 	en het lijken net alsof die zo iets vasthouden 
B: 	met een heel lang cilindertje erop 
A: 	ja ja ja ja ja 
A: 	ja 
A: 	acht 
B: 	en deze staan ja in het midden 
B: 	en dan net iets naar links 
A: 	ja 
A: 	dan zijn het dezelfde plek 
A: 	dus rood 
B: 	ja 
A: 	dat zijn dit dat WALLEpoppe met dat hand met een buisje erop en zo'n blok bovenop 
A: 	twee van die ja soort van armp of zo aan de links rechts 
B: 	met het 
B: 	bedoelen je met het vierkant vlak erachter op een standaard 
A: 	nee niet op de Standaard 
A: 	nee met zo'n heel klein buisje die op een klein armp staan 
B: 	ja zeggen maar de de beker 
A: 	de beker 
B: 	ja dat zeggen maar als je hebben winnen zo'n trofee 
A: 	nee nee nee niet nee niet de beker 
A: 	nee dit zijn die jij zeggen WALLEpoppetje vinden ik een heel goed 
A: 	hij zijn best wel klein 
A: 	er opsteken niet zoveel uit eigenlijk 
B: 	en hebben die zo zo'n hand zo met een cilinder erop 
A: 	ja 
A: 	precies 
A: 	die ja 
B: 	oké ja 
B: 	dat zijn E 
A: 	en hij staan midden 
A: 	beetje naar rechts beetje naar beneden 
A: 	heel klein beetje 
B: 	een beetje naar rechts beetje naar 
B: 	nee 
A: 	ja 
B: 	bij mij staan die een beetje omhoog 
B: 	dus dat kloppen niet dat zijn geel 
A: 	nee 
A: 	ja 
B: 	ja 
B: 	dit zijn de serveerster die zo met 
A: 	ja 
A: 	vijftien met de Eiffeltoren 
B: 	nee 
B: 	maar volgens mij hebben ik ook een keer WALLErobotpoppe zeggen 
B: 	bij deze bovenop een 
A: 	ja met met het cilindertje bedoelen je 
B: 	ja met een cilindertje en bovenop een ja een lang hoe heten dat ? een rechthoek zo'n lang vlak 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	oké zullen we die vanaf nu WALLE noemen 
B: 	ja noemen we die WALLE als codetaal 
A: 	en dan zijn de ander 
A: 	en dan zijn de ander de Eiffeltoren 
B: 	ja 
A: 	oké één 
B: 	en dit poppet staan in het midden en dan helemaal omhoog 
A: 	ja 
A: 	kloppen 
A: 	rood 
A: 	WALLE 
B: 	WALLE 
A: 	met het cilindertje 
B: 	even kijken waar zijn WALLE 
B: 	ja 
B: 	E 
A: 	en hij staan links een heel klein beetje naar beneden en midden link 
B: 	naar links en klein beetje naar beneden 
A: 	heel klein beetje 
B: 	passen echt aan de ander kant aan de linkerkant passen echt nog wel twee figuur 
A: 	ja 
B: 	oké dan zijn het de goed plek dus rood 
A: 	gaan weer bijna fout 
B: 	ja 
B: 	dit zijn volgens mij hebben we deze WALLE noemen zo met hand 
A: 	ja 
A: 	zestien 
A: 	onderin 
B: 	WALLE staan helemaal onderin 
B: 	en dan vanaf de midden het midden wel een stuk naar de rechterkant 
A: 	zijn die zijn het het veel rechts van die drie onderste figuur die een beetje bij 
B: 	ja 
A: 	ja 
A: 	oké we hebben volgens mij wel echt elk keer dezelfde 
A: 	rood 
B: 	ja 
A: 	dezelfde ze staan op dezelfde plek alleen sommig zijn verwisseld denken ik af en toe 
B: 	ja 
A: 	WALLE 
B: 	WALLE zijn staan die bij jou ook links onderin 
A: 	ja helemaal linksonder 
A: 	ja 
B: 	en helemaal links onderin 
A: 	ja 
B: 	dus dan zijn het rood 
A: 	rood 
