B: 	dit zijn ook wel een grappig figuur 
B: 	aan de linkerkant staan twee dezelfde soort torent wat jij die vier blok op elkaar noemen 
A: 	ja een soort verrekijker 
B: 	ja ja en daarbovenop een antenne en aan de rechterkant een plat vierkant 
A: 	ja vinden ik wel 
A: 	ja dat zijn nummer twee 
B: 	en hij zitten helemaal onderin 
B: 	en daar pasn ja anderhalf figuur tussen twee 
A: 	ik hebben hem helemaal links en onderin past er nog wel anderhalf 
B: 	ja 
B: 	nee dan 
A: 	volgens mij zijn dat ander 
B: 	ja 
A: 	ik hebben nu die weer met die verrekijkert vierkant aan de zijkant en een antenne bovenop 
B: 	ja dat zijn G 
A: 	en die staan bij mij net iets naar links en net iets naar onderen 
B: 	ja 
B: 	dit zijn zeggen maar die twee verrekijkert met de antenne en het plat vierkant 
A: 	ja nummer negen 
B: 	en hij staan één stap link van het midden en één stap onder het midden 
B: 	of zijn je het daar niet mee eens 
A: 	bij mij zijn die veel twee stap naar onderen hoeveel passen er nog onder bij jou tussen de rand van het scherm 
B: 	één 
A: 	ja daar hebben ik die ook wel 
A: 	ik hebben die met twee verrekijker vierkant aan de zijkant Antenne erbovenop 
B: 	d 
A: 	staan die bij mij iets naar boven en iets naar links van het midden heel klein beetje 
B: 	ja 
B: 	ik hebben met die twee verrekijker en die antenne en dat vierkant 
A: 	nummer één 
B: 	en hij staan net een tikkel naar rechts maar wel helemaal in het midden 
A: 	nee 
A: 	ik hebben die met verrekijker 
B: 	dat zijn bij mij B 
A: 	en die staan een tikkelt rechts van het midden en past nog een half eronder 
B: 	bedoelen je met een tikkel dat de verrekijker bijna de Q raken als je een lijn naar boven zullen trekken 
A: 	hebben jij die Q bovenaan je scherm staan 
A: 	ja nou 
B: 	nou bij mij staan BenQ onderaan het scherm 
B: 	en als je vanuit de Q een lijn omhoog zullen trekken raken de verrekijker de Q net niet 
A: 	oeh bij mij zitten er wel iets misschien staan de BenQ ergens ander maar bij mij net niet hij staat ongeveer één figuur naar rechts wel 
B: 	ja 
B: 	ja dat denken ik wel 
B: 	één rechts vanuit het midden 
A: 	ja 
B: 	en een half figuur eronder 
A: 	ja 
A: 	ik zullen het 
B: 	ja ik ik zijn met je eens 
A: 	ik zullen het doen 
