A: 	deze hebben een staaf aan de achterkant 
A: 	en een vierkantje ook aan de achterkant 
A: 	alsof je een kop hebben met twee van die alsof het een deegroller ja aan de achterkant hebben die een deegroller 
A: 	en één en een handvat lijken het wel aan de achterkant 
B: 	hebben die zo'n ding op zijn hoofd liggen 
A: 	nee nee 
B: 	nee 
B: 	een vierkant 
A: 	hij hebben een staaf aan de achterkant 
B: 	even kijken 
B: 	staaf aan de achter 
A: 	ja 
A: 	en hij zijn hij lijken zeshoekig die staaf 
A: 	ja duidelijk 
A: 	het zijn het zitten allemaal aan de achterkant van de beker 
B: 	hebben die zo'n 
B: 	ja hebben die zo'n langwerpig ding nog aan de achterkant er 
A: 	ja 
A: 	ja de een zijn lang dan de ander 
B: 	zijn het met zo'n statiefje wat erachter staan met zo'n vierkantje 
A: 	ja 
B: 	ja K 
A: 	en bij mij staan die alleen links in een hoek 
B: 	ja 
A: 	dus 
B: 	daar staan er één onder ook toch 
A: 	ja er zitten er nog maar ver zitten in die hoek niks 
B: 	nee nee oké 
B: 	ja dan zijn het dezelfde 
A: 	oké 
B: 	even kijken dit zijn die weer met die rond balk met twee bollet aan de uiteinde aan de achterkant ja met dat 
A: 	waar wij zo lang over ja die deegroller 
B: 	ja die deegroller ja 
A: 	ja ja 
A: 	negen 
B: 	en die staan rechts 
B: 	een beetje bovenin van het midden 
A: 	zitten er nog iets boven en iets 
B: 	ja één zitten er één boven 
A: 	ja 
A: 	ja en niks aan de rechterkant daarvan 
B: 	nee 
A: 	nee dan zijn het hetzelfde 
A: 	en deze zijn weer die deegroller 
B: 	ja F 
A: 	en hij staan links 
A: 	in het midden en hij worden wel omringen door ander 
A: 	maar veel aan de bovenkant dan aan de onderkant 
B: 	echt in het 
B: 	zo als je als je de middellijn hebben staan die dan wel iets veel naar de middellijn toe dan naar 
A: 	nee ja hij staan rechts van de van de middenmiddellijn 
B: 	nee 
B: 	nee bij mij niet 
B: 	dit zijn die deegroller 
A: 	die 
B: 	deegroller 
A: 	waar zijn die nou 
A: 	ja 
A: 	drie 
B: 	en hij staan van de linkerkant van het scherm onderin en er staan er nog één naast 
A: 	ja aan de rechterkant 
A: 	van hem 
B: 	nee maar dan nee ja dan hebben jij die ander nee dat zijn anders bij jou 
A: 	nee 
A: 	dit zijn de deegroller weer 
B: 	L 
A: 	en hij staan hij zullen het midden zijn van een cirkel 
A: 	hij worden omringen door 
B: 	nee 
B: 	nee 
B: 	nee 
A: 	oké 
B: 	dat zijn dan zijn die een beetje bijna in het midden die jij wat jij bedoelen 
A: 	ja 
B: 	nee dat zijn deze niet 
B: 	deegroller 
A: 	ja 
A: 	waar zijn jij ? vijf 
B: 	hij staan in het midden onderin en dan zitten er nog schuin aan de rechterkant nog één naast 
A: 	rechts 
A: 	ja 
