A: 	bij mij zijn het één het kop dan zeggen maar met aan de en dan rondkomen er eigenlijk een soort van twee staf uit maar die zijn een beetje 
A: 	die zijn niet perfect rond en er zitten twee bobbel aan het uiteinde ik hebben het een beetje zien alsof dat een soort van als je één zullen zien alsof het een kanon zijn eigenlijk wat wat kunnen gaan schieten 
A: 	dan hebben die ook een soort van kennen je zo'n ouderwets wastobbe zeggen maar met waar je over zo'n ding heen kunnen ratsen zeggen maar 
B: 	ja 
A: 	het lijken een beetje alsof die er zo half in staat 
B: 	die ja 
A: 	en aan de zijkant hebben die dus twee van die ja van die staven met van die bobbel eraan zitten 
B: 	ja 
B: 	en een soort plaat erbovenop waar een soort dit 
A: 	ja 
A: 	ja 
A: 	ja inderdaad een beetje zo'n zo'n zo'n inderdaad een soort van scherm wat erin lijken te hangen of zo met een soort van staafje er nog eens achter zeggen maar ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	oké dat zijn K 
A: 	nu staan die bij mij in het Linksbovenkwadrant 
B: 	ja 
A: 	en er zullen links daarvan zullen er nog precies een kuntje kunnen en één daarboven zullen ook precies nog één kunnen 
B: 	ja dan staan die op dezelfde plek 
A: 	ja 
B: 	ik zijn ook in de war dit zijn waarvan jij zeggen met dat wasbord 
A: 	ja met die twee ding die eruit komen ja 
B: 	met die twee 
B: 	ja die ja 
A: 	negen zijn dat bij mij 
B: 	staan bij mij in het rechtsbovenkwadrant 
B: 	ja en dan eigenlijk in het midden 
A: 	niet iets veel naar rechts nog 
B: 	ja iets veel naar rechts inderdaad 
A: 	ietsepietsie zullen zullen er nog goed anderhalf à één zullen er nog naast kunnen aan de rechts kant 
B: 	ja en dan ook boven 
A: 	en boven ook nog één 
B: 	ja 
A: 	ja dan denken ik dat we dezelfde plek hebben 
A: 	dit zijn die een met die twee kanon met dat kanon eruit met dat wasbord 
A: 	wat erin hangen 
B: 	ja 
A: 	met die twee staven zeggen maar met die bollen er aan het uiteinde 
B: 	ja 
B: 	ik weten het 
B: 	ik zoeken hem 
B: 	ja nee 
B: 	wachten 
B: 	daar ja 
A: 	ja 
B: 	met dat plaat weer van alsof we hier op kijken 
A: 	ja ja ja ja ja ik noemen het het wasbord zo zeggen maar dat wastobbeidee 
B: 	ja 
B: 	oké 
B: 	ja 
B: 	kloppen 
B: 	ja 
B: 	F 
A: 	die zitten bij mij rechtsonderkwadrant maar hij zitten echt tegen de middellijn aan 
B: 	nee nee nee nee nee nee nee nee 
A: 	dus hij zitten net een klein beetje rechts van het midden zitten die 
A: 	ja 
B: 	dit zijn de het wasbord 
A: 	waar staan die 
B: 	en de kanon volgens 
A: 	nummer drie 
B: 	hij zitten in het linksonderkwadrant er kunnen net nog een heel klein stuk onder en dan staan die ver in het midden 
A: 	ja nou nou niet in het midden hoor ik denken dat er nog twee minstens aan de rechts kant kunnen en één aan de links kant 
B: 	nee hij zitten wel dan iets veel naar rechts dus dan kloppen het niet 
A: 	oké nee dan kloppen die niet 
A: 	die een met het wasbord en die twee kanon die eruit komen 
B: 	yes 
B: 	waar zijn ze als ik ze nodig hebben 
A: 	staan bij mij rechtsonder in het kwadrant 
B: 	ja bij mij ook wat handig 
B: 	L 
A: 	en hij staan echt tegen de middellijn en tegen de allebei de middellijn in zeggen maar hij zitten bijna in het midden van het totaal scherm 
B: 	dat dat staan die bij mij dan weer net niet 
B: 	dit zijn het wasbord 
A: 	nummer vijf 
B: 	staan 
A: 	op de middellijn 
B: 	ja en dan iets naar boven 
A: 	link onderin veel 
B: 	nee hij staan ja hij op de middellijn en iets naar boven 
A: 	iets link van de middellijn 
B: 	ja heel klein stuk 
A: 	ja 
A: 	en ongeveer halverwege het onderste deel van de middellijn zeggen maar 
B: 	ja kunnen er nog één onder 
A: 	denken wel veel bij mij 
A: 	als je zeggen maar de als je zeggen maar de linksonderkwadrant pakken zeggen maar en dan de rechts lijn daarvan dan zitten die ongeveer halverwege 
B: 	ja 
A: 	ja halverwege ongeveer 
B: 	bij mij wel iets naar beneden 
A: 	oeh 
A: 	als je het formaat van het ding zelf pakken zeggen maar en je kijken echt tot onderaan de rand van het scherm 
B: 	maar ik denken 
B: 	er kunnen er nog één boven en één onder 
A: 	dan zullen er bij mij ja bij mij zullen er zeker ook nog wel één boven kunnen maar aan de onderkant denken ik echt wel anderhalf 
B: 	ja het zullen ja misschien ook wel 
A: 	ja 
B: 	ik denken ja ze zullen toch niet zo dicht op elkaar 
A: 	dan doen we hetzelfde 
A: 	ja weten ik niet zijn misschien ja 
B: 	ik weten het ook niet 
