B: 	ja dit vinden ik echt hier snapte ik niks van 
B: 	dit zijn 
B: 	nou ja je hebben dat dat kopvormpje dus en dan staan daarbovenop een soort rechthoekig vormp een soort gebouw of zo of ja zo zullen je het kunnen zien 
A: 	ja 
B: 	en dan hebben die aan de linkerkant een 
A: 	een soort van half lampenkap 
B: 	ja half ja inderdaad en aan aan de ander kant een soort ja verschillend steeksel en zo 
A: 	ja 
A: 	oké dat zijn acht 
B: 	oké 
B: 	en hij staan net niet in het midden maar link helemaal in het midden midden midden van alles zeggen maar 
B: 	en dan iets naar links afwijken 
A: 	ook heel iets boven afwijken 
A: 	als het zijn 
B: 	ja denken ik wel 
A: 	voor mijn gevoel 
A: 	zeggen maar de onderkant zijn wel echt op de middellijn denken ik maar de 
B: 	ja ja ja ja 
A: 	oké dan zijn het hetzelfde 
A: 	hier kunnen we niet zoveel van maken dat zijn die met dat huis rechthoekig ding bovenop 
B: 	ja 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn E bij mij 
A: 	en die staan dan van de middel vier rechtsonder 
B: 	dat zijn anders 
B: 	dat zijn die raar met dat gebouw bovenop 
A: 	even zoeken dat zijn één 
B: 	en die staan helemaal in de bovenste rij in het midden 
A: 	ja in het midden van het scherm ongeveer 
B: 	ja middel van het scherm 
A: 	oké dat zijn gelijk 
A: 	oké dit zijn die stom met dat huis bovenop of dat gebouw bovenop 
B: 	ja 
B: 	E 
A: 	die staan dan niet de veel linkerrij maar één daarnaast en dan de twee van onder 
B: 	de twee van onder 
B: 	ja dat zijn hetzelfde 
B: 	dit zijn die raar met het gebouw 
A: 	zestien 
B: 	en die staan op de ja dat zijn de veel onderste 
A: 	ja dat zijn gelijk 
A: 	dit zijn die met het gek gebouw 
B: 	dat zijn O 
A: 	die staan bij mij linksonder in de hoek 
B: 	ja 
