B: 	deze lijken alsof die een soort van half tafel aan de voorkant hebben dwars doorheen 
A: 	ja 
B: 	met twee poot 
B: 	en dan daarop staan één ja een nee ja piramidevorm eigenlijk op zijn kop 
A: 	maar dan op zijn kop 
A: 	ja 
B: 	en aan de achterkant nog een soort van staart 
A: 	ja 
A: 	dat zijn zestien 
B: 	bij mij staan die zeggen maar rechterhelft 
B: 	en dan daar eigenlijk weer de helft van 
B: 	op die lijn 
B: 	en dan zo misschien net iets onder het midden of precies het midden 
A: 	oké nou bij mij staan die in de rechterbovenhoek 
B: 	dat zijn sowieso niet 
A: 	gewoon best wel heel erg rechts en best wel heel erg boven 
B: 	oké 
A: 	ja dit zijn dat kop met dat ja tafel met die twee poot 
A: 	en die omgekeerd piramide erop 
B: 	ja 
A: 	en achterin nog dat haak 
B: 	ja 
B: 	dat zijn P 
A: 	hij staan ja best wel in het midden van de rechterhelft 
A: 	en best wel in het midden 
A: 	op de middellijn denken ik van boven en onder 
B: 	bij mij ook 
B: 	bij mij zitten er nog zo'n stuk rechts naast 
A: 	ja 
A: 	bij mij ook 
B: 	ik denken dat het wel dezelfde plek zijn 
A: 	ja 
B: 	dit zijn die met die soort tafel met twee poot en omgekeerde piramide 
A: 	even zoeken 
A: 	ik kunnen hem niet vinden 
A: 	ja ja 
A: 	ja dat zijn veertien 
B: 	bij mij staan die op de onderste rij 
B: 	bijna precies in het midden 
A: 	net iets links of niet 
B: 	ja net iets link 
A: 	ja daar staan de mijne ook 
B: 	oké 
A: 	ja dit zijn die met die met dat tafel 
A: 	die twee poot en de omgekeerde piramide erop 
B: 	ja 
B: 	dat zijn N 
A: 	en hij staan als je de linkerhelft hebben op het midden van de linkerhelft en ja middellijn net iets boven de middellijn 
B: 	bij mij ook 
B: 	dit zijn die met die soort tafel met twee poot erdoorheen 
B: 	en die piramide op zijn kop 
A: 	ja 
A: 	dat zijn tien 
B: 	hij staan bijna precies in het midden 
B: 	daar net links van 
B: 	en dan iets boven dit midden 
B: 	ja 
A: 	link van het midden zeggen je 
B: 	iets echt één centimeter of zo 
B: 	of nou ja 
A: 	nou die van mij zitten 
B: 	zeggen maar het rechterpoo die zijn wel in precies in het midden 
A: 	nou bij mij zitten die veel midden veel rechts 
A: 	ja echt echt precies het midden 
A: 	het midden van het kop zitten ook in het midden 
B: 	nee dat zijn niet zo bij mij 
A: 	en hij zitten ook wel een stuk hoog denken ik 
A: 	bij mij zitten die zo'n stuk boven 
B: 	nee dat zijn niet hetzelfde 
B: 	nee 
A: 	dit zijn die met dat tafel met de poot en de omgekeerd piramide 
B: 	even kijken waar die zijn ja dat zijn D 
A: 	hij staan best wel aan de rechterkant nog ver dan de helft van de rechterhelft 
A: 	en net iets boven de middellijn 
B: 	bij mij staan die wel bijna tegen de bovenkant aan 
B: 	zo'n stuk nog Erboven 
A: 	nee 
B: 	oké 
