A: 	oké dit zijn een een een kop met een soort hoed en dan aan de linkerkant twee pilaart onder elkaar die niet zo lang zijn wel dezelfde lengte 
A: 	en aan de ander kant zitten ook nog een haak en een ander uitsteeksel 
B: 	oké wachten het haak zitten aan de onderkant 
A: 	er zitten een haak aan de onderkant aan de linkerkant en nog een ander uitsteeksel 
B: 	kloppen dat 
B: 	ja 
B: 	en dan twee blok rechts en een soort van hoed 
A: 	aan de ander kant 
A: 	ja 
A: 	en een soort van hoed ja 
B: 	I 
A: 	bij mij als je hem kijken in het midden zitten die aan de linkerkant en dan iets veel naar boven 
B: 	bij mij bovenaan maar wel net links naast het midden 
A: 	ja net links naast het midden en dan wat veel richting boven 
B: 	even kijken 
B: 	maar het zijn niet de bovenste bij jou 
A: 	jawel jawel maar hij nou ja wel aan die kant laten ik het zo zeggen 
B: 	ja nee oké 
B: 	aan de linkerkant zijn het de bovenste die net naast het midden zitten 
A: 	ja 
B: 	kloppen dat 
B: 	ja 
A: 	ja 
B: 	oké 
B: 	dat zijn dezelfde 
A: 	zijn ook weer minpunt 
B: 	dit zijn weer dat ding met een soort van hoed aan bovenop en dan twee blok rechts 
B: 	en zo'n ja buis ding link 
B: 	onderaan 
A: 	even kijken ja ja ja ja dat zijn twee 
B: 	ja die zitten een beetje link in het midden 
B: 	net iets onder het midden 
A: 	ja dat hebben ik ook 
A: 	dit zijn diegene met dat hoed en die twee gelijk balkjes aan de rechterkant 
B: 	rechterkant en twee ding link 
A: 	ja 
B: 	M 
A: 	mij zitten die als je de linkerkant hebben zitten die onderin 
A: 	in het midden een beetje 
B: 	nee bij mij zitten die echt onder in de hoek dus 
A: 	ja 
B: 	dit zijn weer met die twee blok aan de rechterkant diezelfde grootte en dan zo'n hoed bovenop 
A: 	ja 
B: 	en twee dinget link 
A: 	ik hebben hem 
A: 	negen 
B: 	en die zitten bij mij ja bovenaan links en dan net iets rechts van het midden van link 
A: 	ja ja 
A: 	ik ja ik hebben het ook 
A: 	dit zijn diegene met dat hoed en die twee gelijk balkjes aan de rechterkant 
B: 	ja 
B: 	F 
A: 	hij zitten als je de scheidslijn hebben zitten die flink wat naar beneden en aan de rechterkant 
B: 	ja oké daar zitten er bij mij drie 
A: 	ja dat kloppen bij mij ook 
B: 	de middel daarvan 
A: 	ja 
B: 	oké 
B: 	dit zijn weer die met dat soort van hoed en die twee blok rechts en twee dinget link 
A: 	yes waar hangen die ja dat zijn zes 
B: 	en die zitten net iets naast de scheidslijn links en dan ongeveer het midden qua hoogte 
A: 	ja 
