A: 	oké 
A: 	deze hebben eigenlijk een soort van Pinokkioneus 
A: 	en daarboven ja ik vinden het een beetje een soort van helikopterachtig weten je wel ? van die zwaaiding lijken 
B: 	ja 
A: 	en dan hebben die daaronder een been voet en aan de zijkant een voet arm 
B: 	een voet 
B: 	ja 
B: 	zijn dat wat op zijn hoofd zijn een soort ruitje doorboren met iets 
A: 	ja 
B: 	oké 
B: 	dan zijn het M 
A: 	bij mij staan die aan de linkerkant 
A: 	en dan een beetje onder 
A: 	dus je hebben als je van links gaan kijken hebben je eigenlijk ja drie rij dus die helemaal links en dan daarna komen er ja nog een rij 
B: 	ja 
A: 	en daar staan die niet onderaan maar een beetje in het midden 
A: 	snapan je dan wat ik bedoelen 
B: 	oké 
B: 	staan die onder precies onder een ander nog 
A: 	nee niet onder een ander 
B: 	of dat niet 
A: 	daaronder bekendstaan wel nog een ander 
B: 	ja hij staan bij mij echt in de twee rij zeggen maar 
B: 	van hoe ver je kunnen 
B: 	van link 
A: 	ja dus hier hebben je een rij 
B: 	ja 
A: 	en hier hebben je een rij 
A: 	en die rij daar staan die dus hier zijn inderdaad nog een rij 
B: 	ja 
B: 	en hoe ver vanuit het midden naar boven 
A: 	hij zitten zo inderdaad zoals we net ook hebben zo'n als je zo streep en zo streep doen dus hebben je daaronder een vak vlak 
B: 	ja 
A: 	dan zitten die echt net tegen die lijn aan in het midden 
B: 	maar hij zitten wel boven die streep 
A: 	nee net onder denken ik 
B: 	dan staan die niet op dezelfde plek want bij mij zitten die zeggen maar zo zit die erbof 
A: 	hij staan bij jou rechts 
B: 	nee nee links sorry ik moeten hem even voor jou zo doen maar 
A: 	ah 
B: 	ons beeldscherm zijn natuurlijk omgedraaien 
A: 	ja ja 
B: 	dus voor mij zitten die erboven boven de middellijn 
A: 	oké 
A: 	nee 
B: 	bij jou niet 
A: 	nee nee 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn die een met die helikopter op zijn op zijn hoofd 
A: 	ah ja 
A: 	even even kijken waar die staan 
A: 	ah nummer negen 
B: 	en hij staan in het linkervlak onderin 
B: 	kunnen niks ver naar onder 
A: 	ja 
B: 	maar hij staan wel veel richting de middellijn dan tegen helemaal links aan 
A: 	deze middellijn toch 
B: 	ja deze middellijn 
A: 	ja oké 
B: 	ja 
A: 	dan staan die op dezelfde plek 
A: 	oké dit zijn met dat helikopterdinge 
B: 	ja 
B: 	dat zijn H 
A: 	bij mij zitten die in het vlak Linksboven 
A: 	en dan eigenlijk gewoon echt een beetje in het midden 
B: 	midden 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn met de helikopter 
A: 	even kijken 
A: 	ah zijn nummer elf 
B: 	hij staan in het vlak Linksboven 
B: 	en er past er in principe nog één link naast 
B: 	en Erboven net niet veel maar hij staan niet helemaal het uiterst naar boven maar 
A: 	oké 
A: 	oké dan staan die denken ik op dezelfde plek 
A: 	dat zijn met dat helikopterding 
B: 	ja even kijken dat zijn D 
A: 	bij mij staan die in het vlak linksonder 
A: 	en daar kunnen ja in dat vlak als je als je als je alleen naar het vlak linksonder kijken bekendstaan er 
B: 	ja 
A: 	alleen helemaal link nog iets onder ver rest niks 
B: 	je bedoelen dat met het helikopterdinge of 
A: 	ja 
B: 	die staan helemaal links onderin in het hoek 
A: 	nee nee nee die staan in het vlak 
B: 	er staan er nog één ergens tussen 
A: 	ja staan in het vlak linksonder 
B: 	ja 
A: 	eigenlijk een beetje in het midden van het vak vlak linksonder 
B: 	oké 
B: 	nee dan staan die niet op dezelfde plek 
B: 	dit zijn weer met dat helikopterdinge 
A: 	even kijken ah nummer veertien 
A: 	die zitten in het vlak linksonder 
A: 	en dan 
B: 	bij mij zitten die op de middellijn 
A: 	ja 
B: 	ongeveer 
B: 	en dan wel het veel links 
A: 	nee dan niet 
B: 	oké 
