A: 	even kijken ik hebben nou ook een mok met een soort van lepeltje erin alleen lijken het lepeltje aan de achterkant te zitten 
A: 	en aan de voorkant zien je zo'n bol met zo'n staaf erdoorheen 
A: 	en aan de aan de rechterkant nog een soort van muntstuk 
B: 	ja 
A: 	aan eraan vast 
B: 	dat zijn bij mij F 
A: 	oké 
A: 	nou hij zitten bij mij ongeveer midden hoog en dan aan de rechterkant 
B: 	midden hoog rechts 
B: 	ja ik denken niet dat we dezelfde plek hebben 
A: 	oké 
B: 	dit vinden ik de indiaan die een neusring hebben zeggen maar zo'n die hebben zo'n bot door zijn neus heen dat zijn dan dat ei hier 
B: 	zitten zo'n klein klep op aan de zijkant en die hebben een klein veer wat uit zijn tooi komen 
A: 	oké ja 
A: 	dat zijn dus dat ei met die balk erdoorheen en dan nog aan de rechterkant zo'n soort van muntje 
B: 	ja 
B: 	ik vinden het een soort van indiaan 
A: 	ja 
B: 	met een met een veer op zijn tooi zeggen maar ook nog 
A: 	oké nou dan zijn dat de indiaan vanaf nu 
A: 	dat zijn nummer vijf 
B: 	en die zitten bij mij in het linkervlak 
B: 	als je het linkervlak ook weer in het midden delen dan net iets veel naar rechts en dan onder 
A: 	aan de onderkant 
B: 	ja 
A: 	nee bij mij zitten die Linksboven 
A: 	ja wel tegen de middellijn aan maar wel echt bovenin 
B: 	nee bij mij zitten die echt in het linkervlak zitten die een beetje richting het kruis zeggen maar 
A: 	ja dan hebben je zeggen maar het vak al in vier verdeelen dus dan hebben je het linkerbovenvlak 
A: 	en dan zitten die tegen de middellijn aan verticaal 
B: 	tegen de middellijn aan de onderkant ja 
B: 	tegen de horizontaal middellijn ja 
A: 	bij mij zitten die daar wel iets boven 
A: 	wel vrij iets boven 
B: 	ja bij mij zitten die er wel redelijk tegenaan 
A: 	nee dan zijn het een ander plek want dat zijn bij mij echt echt duidelijk niet 
B: 	oké 
A: 	moeten ik drukken ? ja 
B: 	ja 
A: 	dit zijn die ik net bedoelen dit zijn ook met een ei aan de voorkant met een balk erdoorheen 
B: 	dit zijn de indiaan zeggen maar met dat ding door de neus 
A: 	ja 
B: 	en zo'n klein veer 
A: 	ja en dan nog dat rondig 
B: 	zo'n plaat ertegenaan 
A: 	plaat ja dat 
B: 	ja dat zijn bij mij A 
A: 	oké de indiaan 
A: 	ja 
A: 	zitten bij mij rechtsonder 
A: 	dus in het vlak rechtsonder en dan zitten die bijna tegen de horizontaal lijn aan iets daaronder 
B: 	hij zitten wel rechts bij je 
A: 	hij zitten hij zitten rechts van de verticaal lijn 
A: 	en van de horizontaal lijn zitten die iets onder het midden 
B: 	hij lopen er niet duidelijk doorheen zeggen maar hij zullen er niet doorheen 
A: 	nee hij zitten echt onder het midden 
B: 	nee dan zijn het niet dezelfde plek 
B: 	dit zijn de indiaan met het veer ei met dat neusring en dan dat plaat 
A: 	ja 
A: 	nummer vijf 
B: 	en die zitten bij mij rechts 
B: 	en dan in het rechterbovenvlak 
B: 	en dan misschien zo net klein zitten wel tegen de horizontaal lijn aan 
A: 	ja 
B: 	klein stuk van de verticaal lijn af 
A: 	ja 
A: 	vrij naar rechts van de verticaal lijn en eigenlijk staan die op de horizontaal lijn 
B: 	ja 
B: 	ja exact 
A: 	maar het zijn er wel twee 
A: 	zullen je echt zeggen van de verticaal lijn dat die er klein beetje rechts van zitten of ver rechts 
A: 	bij mij zitten die echt vrij rechts namelijk 
B: 	nou ik hebben een figuur waar die linkerlijn door de verticaal lijn doorheen lopen 
A: 	ja 
B: 	en waar de 
A: 	zijn dat de robot 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	en dan lopen die echt zitten die precies op de verticaal lijn 
B: 	horizontaal lijn sorry 
A: 	ja 
A: 	en zitten die naast het robotfiguur of zitten er nog één tussen 
B: 	er zitten nog ruimte tussen de robot en de indiaan 
A: 	bij mij zitten er ook nog een figuur tussen 
B: 	nee bij mij niet 
A: 	oké dan zijn het een ander plek 
B: 	nee 
A: 	dit zijn volgens mij noemen jij hem de indiaan 
B: 	indiaan 
A: 	met dat lepel bovenin dat ei aan de voorkant balk door dat ei heen 
B: 	ja ja 
B: 	dat zijn bij mij H 
A: 	en hij zitten denken of hij kruisen hem net of hij zitten aan de rechterkant van de verticaal lijn 
A: 	en dan zitten die als je de horizontaal lijn hebben iets daaronder 
A: 	ongeveer de 
B: 	richting het kruis of een beetje in het midden van het rechtsondervlak 
A: 	een beetje in het midden van het rechtsondervlak 
B: 	en dan tegen de verticaal lijn aan wel 
A: 	wel iets iets 
A: 	ja 
A: 	ja 
B: 	ja dat zijn dezelfde plek denken ik 
B: 	dit zijn de indiaan 
A: 	de indiaan 
B: 	in dat driehoek zijn die staan bij mij in dat driehoek 
A: 	nee bij mij niet 
A: 	indiaan bedoelen jij dat lepel erin en dan die ei aan de voorkant 
B: 	doorboren met dat ding ja 
A: 	doorboren ja 
A: 	hij zijn bij mij niet het bij mij hebben je dat driehoek ik zullen eerst zeggen zijn nummer vijftien 
A: 	dan hebben je dat driehoek en bij mij zijn het die er nog in figuur wat onder daar onder dat driehoek vallen 
B: 	oké 
B: 	die die zeggen maar zo'n zo'n cirkel maken met zijn drie zeggen maar 
B: 	en die zitten bij jou de onder 
A: 	ja 
B: 	zo'n half cirkel 
B: 	ja nee bij mij zijn het echt de middel van die cirkel 
A: 	nee 
B: 	nee zijn ander plek 
A: 	dan zijn het een ander plek 
