B: 	oké ik vinden deze een beetje op een robot lijken hij hebben een soort antenne en dan aan de linkerkant hebben die twee twee van die 
B: 	ja een soort tegenstellen toren ertegenaan zitten 
A: 	ja met een vierkant ervoor 
B: 	precies 
A: 	ja dat zijn nummer twee 
B: 	ja en helemaal linksonder zijn het leeg 
B: 	en als je dan vanaf helemaal linksond één naar rechts gaan dan zitten die daar dus je hebben drie object helemaal onder als je dan dan gewoon de links 
A: 	nee bij mij zitten die de rij daarboven 
B: 	oké 
A: 	dus dat kloppen niet 
A: 	deze hebben aan de linkerkant twee toren op de die ertegenaan staan zeggen maar met een vierkant plateau nog ervoor 
B: 	ja en een soort antenne erbovenop 
A: 	ja 
B: 	ja dat zijn G 
A: 	en als je dan weer die vier figuur in het midden uitzien als vierkantje 
B: 	ja 
A: 	dan zijn het de veel linksonder 
B: 	ja 
B: 	oké dit zijn weer die twee omgekeeren toren die aan de linkerkant ertegen zitten antennetje bovenop en vierkantje 
A: 	plateau aan de voorkant 
B: 	ja 
A: 	ja 
A: 	nummer negen 
B: 	en dan hebben je de drie onderste en daarboven hebben je er weer drie 
B: 	en dan de links van die drie die daar een stuk boven zitten 
A: 	ja dus de onderste rij zijn het de de veel rechts en die daarboven de veel links 
B: 	hij 
B: 	ja 
B: 	ja 
B: 	ja en dan de boven 
A: 	en dan zijn het de boven 
A: 	ja dan zitten die op de juist plek 
B: 	ja 
A: 	dit zijn degeen met de twee toren die aan de linkerkant uitsteken met het recht plateau ervoor en het spijkert erbovenop 
B: 	twee 
A: 	maar twee toren links zijn denken ik het makkelijkst om 
B: 	twee ja dat zijn D 
A: 	ja 
A: 	en hij zitten eigenlijk nou bijna wel heel mooi in het midden 
B: 	ja 
B: 	ja je hebben die twee in het twee die je best wel in het midden zullen doen en dan zijn het de boven 
A: 	ja 
B: 	ja 
B: 	de de Antennetje bovenop en de twee toren aan de linkerkant 
A: 	ja met het plateau ervoor de vierkant 
A: 	ja dat zijn nummer één 
B: 	oké 
B: 	als je een driehoek zullen maken van die drie duidelijk in het midden 
B: 	dan zijn het de rechts 
A: 	nee bij mij zitten die nog rechts daarvan 
B: 	oké 
A: 	dus dat zijn rood 
A: 	dit zijn de figuur met de twee toren die aan de linkerkant uitsteken met het spijkertje erop 
A: 	en een vierkantje plateau ervoor 
B: 	ja 
B: 	B 
A: 	en als je in het midden van het scherm hebben je eigenlijk onderin twee figuur 
A: 	waarvan het die rechtsonder zijn 
B: 	ja dus het veel onderste 
A: 	ja 
