B: 	dit zijn die met die vierkant plaat aan de voorkant plakken 
B: 	en dan links zitten twee van die soort schroef die met die vierkantjes die steeds groot worden 
A: 	ja 
A: 	en daarbovenop zo'n schoorsteen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	en hij staan bij mij links maar dan één stap naar rechts zullen ik maar zeggen en helemaal onderaan 
A: 	nee hij staan bij mij zijn die de veel links 
A: 	en zitten die zeggen maar halverwege 
B: 	nee dan zijn het hem niet 
A: 	nee dan zijn hij niet hetzelfde 
B: 	nee 
A: 	dit zijn die dat beker met vierkantje erop plakken 
A: 	aan de linkerkant die vierkant die steeds groot worden en het schoorsteen 
B: 	ja 
B: 	dat zijn G 
A: 	en hij staan zeggen maar als je het middelpunt hebben linksonder daarvan 
A: 	link echt zeggen maar bijna in het midden 
A: 	maar dan onder de middellijn en iets link van van 
B: 	ja 
B: 	ja dan staan ze op dezelfde plek 
A: 	oké 
B: 	dit zijn weer dat ding met dat vierkant aan de voorkant 
B: 	en dan dat paddenstoele en die twee schroef link die met die vierkant die steeds 
A: 	ja dat zijn nummer negen 
B: 	en hij staan de middellijn en dan iets naar links 
B: 	en ik denken de twee rij van onder 
A: 	even kijken middellijn ja bij mij staan die praktisch op de middellijn maar wel de twee van onder dus ik denken dat het gewoon hetzelfde zijn eigenlijk 
B: 	oké 
A: 	dus dat zijn geel 
A: 	schoorsteen vierkantje aan de voorkant de vierkant die steeds groot worden aan de linkerkant 
A: 	en hij staan bij mij echt praktisch in het midden iets linksboven van het midden 
B: 	wachten ik doen eerst dat zijn D 
A: 	ja 
A: 	sorry 
B: 	en hij staan inderdaad iets boven het midden 
A: 	ja en ietsje link 
B: 	ja 
A: 	ja 
B: 	dit zijn die weer met het schoorsteen met de vierkant aan de voorkant 
A: 	en de 
B: 	twee schroef link 
A: 	die steeds groot worden 
B: 	ja 
A: 	nummer één 
B: 	en hij staan op de middellijn van links naar rechts maar dan wel iets naar rechts toe 
A: 	nee nee daar staan die bij mij niet 
B: 	oké 
A: 	het schoorsteen vierkantje erop en de twee groot worden vierkant 
B: 	ja 
B: 	dat zijn B 
A: 	en hij staan de rij van vier aan de onderkant de veel rechts dus dan staan die iets rechts van het midden onderaan 
B: 	ja dat kloppen ook 
