B: 	oké 
B: 	zijn een beetje robotachtig hij hebben van die aan de linkerkant zitten er weer wat soort van verrekijker wat jij net noemen 
B: 	en aan de voorkant zitten een vierkant plateau 
A: 	ja 
B: 	en bovenop 
A: 	en een soort paddenstoelachtig iets erbovenop 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	oké dan zijn het twee 
B: 	waar staan die ? hij staan linksonder het kwadrant en dan 
B: 	ongeveer in het midden qua breedte en dan ook wat naar onder weer 
A: 	als je van of kijken vanaf het linkeronderkwadrant zeggen maar 
B: 	ja linksonder en dan staan die qua breedte in het midden maar qua lengte zitten die dus wat veel naar onder 
A: 	ja bij mij zitten die in het linkeronderkwadrant zitten die wat veel naar boven toe 
B: 	nee 
A: 	dus dan zijn het niet dezelfde plek 
B: 	nee 
A: 	dit zijn degeen met twee verrekijker en een soort paddenstoel op zijn hoofd 
A: 	en een soort van scherm aan de zijkant 
B: 	G 
A: 	en hij staan bij mij eigenlijk best wel heel erg in het midden 
A: 	je hebben zeggen maar ja ik weten niet of dat bij jou ook zo zijn maar zeggen maar een soort van vier plaat in het midden 
A: 	echt die vorm dan met zijn al echt een beetje het veel midden en dit zijn dan het plaat linksonder 
A: 	dus dan ja als je het linkeronderkwadrant zullen hebben staan die helemaal rechtsboven 
B: 	ja ik hebben dezelfde plek 
A: 	top 
B: 	dit zijn de robotachtig twee verrekijker link voorkant de plaat vierkantje en bovenop die paddenstoel 
A: 	paddenstoel 
B: 	ja 
A: 	ja dat zijn negen 
B: 	en hij staan bij mij op de middellijn 
B: 	maar dan het onderste deel ongeveer in het midden 
A: 	even kijken dus dan zeggen maar van het linkeronderkwadrant 
B: 	helemaal rechts 
A: 	helemaal rechts 
B: 	in het midden 
A: 	ja 
B: 	ongeveer er kunnen nog wel een plaat onder maar niet veel boven 
A: 	ja hebben ik hetzelfde 
B: 	oké 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
B: 	d 
A: 	en die zitten bij mij best wel heel erg in het midden 
A: 	en dan net iets veel Linkerbovenkwadrant 
A: 	maar wel beetje allemaal ja echt best wel heel erg in het midden ver van het scherm 
B: 	midden ja 
B: 	ja ja hebben ik hetzelfde 
B: 	dit zijn de twee verrekijker links met paddenstoel bovenop 
A: 	ja dat zijn één 
B: 	en hij staan bij mij ongeveer in het midden van het scherm alleen dan wat naar rechts 
A: 	oké zullen je hem een een kwadrant geven 
B: 	nee ik denken ongeveer in het midden en als ik zullen moeten kiezen rechts onderin maar ik 
A: 	hebben ik een ander 
B: 	oké 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
B: 	ja B 
A: 	en die staan bij mij een beetje in het midden van het scherm helemaal onderaan 
A: 	en dan past er er passen zeggen maar geen plaat veel onder 
A: 	en er zullen echt ja wel iets van twee en een half plaat nog rechts van kunnen 
B: 	ja 
B: 	staan die wat veel in het rechterkwadrant 
A: 	ja hij staan net iets veel in het rechteronderkwadrant zeggen maar 
B: 	ja dan hebben we dezelfde 
