A: 	dit zijn ook een onderzeeër alleen die hebben twee van die vierkant staafjes aan de achterkant en een dak 
B: 	twee vierkant staafjes aan de achter 
A: 	en aan de voorkant zitten ook een slurf 
A: 	ik vinden het ook echt net een boo 
B: 	zijn die hebben die zo'n vierkant vlak aan de voorkant 
A: 	nee 
A: 	hij hebben hij hebben een een een armp zo 
B: 	nee 
B: 	ja 
A: 	of zo eigenlijk 
A: 	en dan twee vierkant aan de vierkant blok aan de achterkant en iets aan de onderkant 
A: 	het lijken 
B: 	en dan hebben die zo'n dinge op zijn hoofd ja 
A: 	ja 
A: 	ja 
B: 	I 
B: 	waar staan die 
A: 	link 
A: 	stuk een stuk van het midden bovenin 
B: 	ja 
B: 	bij mij ook 
B: 	deze hebben die twee poot op zijn rug en dan zo'n dinge op zijn hoofd 
A: 	ja die ja ja die ander onderzeeër 
B: 	ja ja 
A: 	gaan ik hem even ja 
A: 	ja twee 
B: 	en hij staan links 
B: 	veel onder in de hoek en er staan niks veel onder of naast 
A: 	ja 
A: 	zijn de onderzeeër met het raar het mislukken driehoek 
B: 	onderzeeër met het mislukken driehoek 
A: 	ja die dat bak hebben 
B: 	met die 
B: 	ja met die twee pinnet aan de zijkant en dan nog één en dan zo'n aan de ja 
A: 	ja aan de rechts 
A: 	ja 
A: 	ja 
B: 	M 
A: 	en hij staan links 
A: 	in de hoek en de link van hem zitten helemaal niks veel en rechts nog wel 
B: 	ja 
B: 	bij mij ook 
B: 	dit zijn die onderzeeër ook volgens mij met twee van die dinge aan de 
A: 	ja met dat mislukken driehoek 
B: 	ja 
A: 	ja 
A: 	negen 
B: 	en hij zitten link bovenin en dan staan er link nog één naast 
A: 	ja 
A: 	dit zijn de mislukken driehoek onderzeeër 
B: 	F 
A: 	en hij worden weer bijna rammen door de man met de neuspiercing 
B: 	ja 
B: 	dit zijn die onderzeeër met die twee dinge op zijn rug 
A: 	ja 
B: 	of op zijn zijkant 
A: 	ja die mislukken driehoek 
B: 	ja met die mislukken driehoek ja 
A: 	ja 
A: 	zes 
B: 	hij zitten als je de middellijn hebben link daarvan er zitten daarboven nog één en 
A: 	nee nee 
