B: 	ik hebben er nou degeen die ook weer met een plank zijn doorsneden alleen dan boven het midden 
B: 	met twee van die flubbeltjes aan de plank ook nog 
A: 	ja en er staan zo'n soort bak op of zo 
B: 	ja 
A: 	ja 
A: 	zestien 
B: 	dan staan die bij mij in het rechterveld 
B: 	en dan als je het midden van het rechterveld pakken net iets naar rechts 
B: 	en dan ook in het midden van de hoogte 
A: 	nee bij mij staan die echt helemaal rechtsboven 
B: 	nee 
A: 	volgens mij hebben jij die omschrijven ik ik hebben het omschrijven als de ja dat bak staan erop zeggen maar je hebben toch zo'n gek 
A: 	houten plankhouder zeggen maar met aan de zijkant twee van die poo 
B: 	ja 
B: 	ja 
B: 	met de poo de plank ja 
A: 	ja ik ik noemen dat altijd de plankhouder of zo 
A: 	jij moeten hem doen ja 
B: 	P 
A: 	en hij staan bij mij aan de rechterkant even kijken als je de rechterhelft pakken 
B: 	ja 
A: 	net een klein tikkelt veel naar rechts van het midden denken ik 
B: 	ja ja 
A: 	en qua hoogte ongeveer ook in het midden misschien 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	top 
B: 	dit zijn met het bak bovenop die plank die erdoorheen gaan 
A: 	bak bovenop die plank die erdoorheen gaan en 
B: 	met die flubbeltjes aan de plank 
A: 	ja ja ja ja ja hoe doen ja bakje of plankhouder of zo noemen we die gewoon voortaan ja 
B: 	ja plankhouder zijn goed plankhouder 
A: 	ja prima plankhouder veertien 
B: 	staan die helemaal onderaan en dan iets naar links van het midden 
A: 	ja 
A: 	de boekenplank of bakjeshouderplank of weten je nog welk ik bedoelen 
B: 	met die met die met poo aan de 
A: 	ja ja ja ja 
A: 	het zijn gewoon zo'n recht hoek zeggen maar met twee poot inderdaad en daarbovenop staan een soort bak 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	N 
A: 	en die staan bij mij het linksbovenkwadrant ongeveer qua breedte in het midden 
B: 	ja 
A: 	van het kwadrant 
B: 	ja 
A: 	en qua hoogte net iets boven de middellijn zeggen maar 
B: 	net iets boven de 
B: 	ja ja 
A: 	ja 
B: 	dit zijn de plank met het schaalt boven op de plank 
B: 	die door het kop heen gaan 
A: 	ja 
A: 	dat zijn tien 
B: 	bij mij staan die net iets link van de middellijn over de breedte 
B: 	en 
A: 	iets link van de middellijn 
B: 	net iets link van de middellijn 
A: 	bij mij iets rechts van 
B: 	en dan over de hoogte ook iets naar boven 
A: 	nee bij mij staan die echt rechts van het midden ja 
B: 	nee wel echt link van de middellijn als je het teken van de BenQ hebben dan staan die wel echt aan de net iets aan de linkerkant 
A: 	nee bij mij staan die 
A: 	nee bij mij staan die wel rechts 
B: 	oké 
A: 	dat zijn een handig de teken van de BenQ gebruiken als middellijn 
B: 	ja 
A: 	de of nou de bakjeshouderplank 
B: 	ja ja 
B: 	d 
A: 	die staan bij mij in het rechtsbovenkwadrant wel ja 
B: 	iets veel naar links 
A: 	helemaal nou bijna helemaal tegen de rechterkant aan een klein tikkelt naar links 
B: 	ja 
A: 	daarvan daar staan nog een ander plaat die staan daar in de buurt die staan net iets ver rechts zeggen maar 
A: 	dus hij staan wel bijna helemaal rechts maar een klein stuk nog naar links daarvan en net iets boven de middengren zeggen maar 
B: 	de middengren van het heel scherm 
A: 	ja 
B: 	nee 
B: 	bij mij staan die echt helemaal bovenaan 
A: 	nee nee nee 
