B: 	ja ik zien het een beetje als een soort van ballerina het hebben zeggen maar het zijn een pot met een vierkant plaat om zich heen 
A: 	ja 
A: 	ik hebben dat ook precies zo'n tutu 
B: 	ja zo'n tutuu 
A: 	ja ik weten welk je bedoelen 
B: 	ja 
B: 	oké 
A: 	oké 
A: 	dat zijn dan nummer zes 
B: 	hij staan bij mij als je zo in het midden kijken staan die iets ver naar rechts 
A: 	ja 
A: 	oké 
B: 	dus voor jou deze kant 
A: 	ja 
B: 	en er staan in principe niks boven 
A: 	oké dus op de bovenste rij 
B: 	ja op de bovenste rij 
B: 	hij staan ook iets ver boven één die daar nog naast staat 
A: 	oké dan staan die op dezelfde plek want het zijn het allerhoogsten wat je kunnen staan toch ? er zijn helemaal niks 
B: 	ja 
A: 	oké ja dan staan die op dezelfde plek 
B: 	ja 
A: 	dit zijn die een met die vierkant tutu 
B: 	ja 
B: 	dat zijn C 
A: 	gezondheid 
B: 	danken je wel 
A: 	bij mij staan die helemaal bovenaan eigenlijk 
A: 	rechts bovenaan 
B: 	ja 
B: 	en dan in het midden van het rechtervlak ongeveer 
A: 	dus er kunnen niks 
A: 	ja 
A: 	en er kunnen niks veel boven 
B: 	ja oké dan staan die op dezelfde plek 
B: 	dit zijn weer dat poppe met het tutuu 
A: 	ah ja dat zijn nummer dertien 
B: 	en hij staan helemaal links 
B: 	bovenin 
A: 	oké kunnen niks veel boven 
B: 	dus 
B: 	er kunnen niks veel boven 
A: 	oké dan staan die niet op dezelfde plek 
B: 	en links ook niet echt 
A: 	dit zijn met die tutu 
B: 	oké 
B: 	dat zijn J 
A: 	bij mij staan die twijfel in welk vlak maar in ieder geval helemaal onderaan 
A: 	en dan in het midden eigenlijk 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn weer met het tutuu 
A: 	dat zijn nummer negen 
B: 	en hij staan in het vlak rechtsboven 
B: 	en dan neigen die een beetje tegen deze middellijn aan te aanzitten 
B: 	en dan zijn die niet helemaal uiterst rechts 
A: 	oké nee 
B: 	want er zitten er nog één schuin onder die nog iets ver naar rechts zijn maar 
A: 	nee dan zitten die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn met die tutu 
B: 	ja 
B: 	dat zijn N 
A: 	bij mij staan die eigenlijk helemaal bovenaan en dan een beetje in het midden 
B: 	in het midden zo 
A: 	ja dus dit zijn de middellijn en dan hij zitten eigenlijk een beetje hier dus hij zitten tegen deze lijn aan 
A: 	en dan helemaal bovenin 
A: 	en dan beetje 
B: 	ja aan de aan de rechterkant zeggen maar van die 
A: 	aan de rechterkant 
A: 	ja 
B: 	en dan helemaal bovenin 
A: 	ja 
B: 	ja 
B: 	dan staan die op dezelfde plek 
