A: 	ja dit zijn ook eigenlijk zo'n ovaal ding waar aan de zijkant twee ronde ja staaf achtig gebeuren er uit komen 
A: 	en dan aan de achterkant hebben je nog een vierkant blok wat er tegenaan zitten 
B: 	ja en bovenop zo'n kegel die zeggen maar waarvan de kop er af zijn snijden zo'n plat dat ding wat zo omhoog lopen met een plat bovenkant 
A: 	even kijken 
A: 	ja als in ja je hebben eigenlijk zo'n kegel zeggen maar en dan hebben je aan iets Erboven hebben je zo'n soort vierkant gebeuren en dan lopen er nog iets achterlang 
B: 	o en dan die staaf die er echt zo doorheen zitten 
A: 	staaf er dwars doorheen gaan ja die ja 
B: 	ja ok dan zijn het K 
A: 	die staan helemaal links bovenaan bij mij 
B: 	ja ja o bij mij ook dus dat zijn dezelfde plek 
B: 	ja hier hebben je weer die soort cilinder of zo die er doorheen gaan en dan dat soort plateau met dat ding dat er achter hangen 
A: 	ja ja en dan dat plateau hebben dan nog een hangsel er achter ja 
B: 	ja hangsel dat het net lijken of hij omhoog en omlaag kunnen of zo 
A: 	ah ok ja dit zijn dan Numero negen 
B: 	en die staan bij mij weer redelijk rechts bovenin en dan niet want ja de de rechts 
B: 	zijn niet heel erg dicht tegen rechts aan zeggen maar zitten redelijk op de helft en dan niet de bovenste maar die op plek nummer twee 
A: 	ja 
A: 	ja 
A: 	dat zijn op dezelfde plek 
A: 	ja dit zijn weer die die koker zeggen maar waar er waar er waar zo'n buisje helemaal doorheen gaan en aan de achterkant hebben je dan eigenlijk zo'n inklapbaar klep zeggen maar 
B: 	ja ja ik zijn hem even aan het zoeken ja ja dus die met die met die cilinder waar dan ook van die bollet aan de zijkant zitten ja ja dat zijn dan F 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja 
A: 	als je naar helemaal links lijken dan hebben je in één lijn drie figuurt 
B: 	ja helemaal links zeggen maar die onder elkaar staan een beetje ja 
A: 	ja 
A: 	ja en dan pak je de twee en dan de veel rechts daarvan 
B: 	wachten even 
A: 	en dan beetje schuin rechts omlaag dan misschien als het helpen 
B: 	moeten ik even goed kijken je hebben zeggen maar de de je hebben zeggen maar helemaal links zijn er drie 
B: 	dus zeggen maar die en dan daarnaast hebben je twee keer zo'n rij van drie weer zeggen maar op link 
A: 	drie ja die onderste laag gaan 
A: 	ja 
A: 	ja ja en dan eigenlijk de middel dan twee 
B: 	en dan de middel van de twee rij 
A: 	ja 
B: 	dus als je weer het midden van het midden zullen pakken zitten hij eigenlijk net een beetje link daarvan 
B: 	dus gewoon het beeld compleet zo door het midden verdeellen dan zitten hij eigenlijk net een beetje link daarvan 
A: 	ja 
A: 	ja 
A: 	ja een beetje er ja ja onder ja 
B: 	onder 
A: 	ja je hebben hier dan 
B: 	o ja maar ik zitten ik zitten even te twijfelen wat je bedoelen als ik 
A: 	o ok 
B: 	als ik het gewoon even kijken al helemaal links hebben je dan één twee drie en dan kunnen je eigenlijk ook weer drie rij maken met de ding die erna komen 
A: 	ja 
A: 	helemaal links ja 
A: 	ja 
A: 	ja daar hebben je ook weer één twee drie ja 
B: 	en hebben je zo ernaast hebben je zo één twee drie één twee drie en dan weer zo'n heel rits daaronder en bij mij zitten hij dan eigenlijk op de twee rij op de drie plek vanaf links 
A: 	ja 
A: 	nee 
B: 	nee ok nee dan staan hij niet op dezelfde plek 
A: 	nee nee 
B: 	ja zelfde plek 
A: 	verschuiven 
B: 	ja hier hebben je weer die cilinder die er doorheen gaan met dat pateautje dat lijken alsof het omlaag en omhoog kunnen 
A: 	ja ja ik hebben hem vinden 
B: 	ja ja 
A: 	dat zijn dan nummer drie 
B: 	nou ja en dan hebben je onderin hebben je er drie en er zitten zeggen maar twee bijna link onderin helemaal en dan zijn het de twee vanaf link dus de middel van die drie 
A: 	nee 
A: 	bij mij zijn hij helemaal links 
B: 	ok 
A: 	ja dit zijn die die cilinder die eigenlijk onderin doorgaan met die bobbel er op en die inklapbaar klep of wat wel lijken 
B: 	ja 
B: 	dat zijn dan L 
A: 	en als je die driehoek gaan pakken in de midden staan hij helemaal rechts in de driehoek 
B: 	driehoek in het midden dus ook een omgekeerde dat zijn een omgekeerde driehoek dan of wat 
A: 	ja zijn 
A: 	nee nou 
B: 	nou ja bij mij bij mij staan hij helemaal rechts kunnen je ook een soort scheef vierkant maken 
A: 	staan er 
A: 	ja 
B: 	bij mij staan hij dan links onderin daarvan 
A: 	nee bij mij staan hij echt richting het midden toe al 
B: 	ok nee dan zijn het niet dezelfde 
B: 	ja dit zijn diegene met die cilinder doorheen met dat plateau en met dat aanhangsel waardoor het lijken alsof je hem naar beneden kunnen trekken of zo 
A: 	ja ja 
B: 	ja die cilinder die dan die er doorheen gaan en aan beide kant zitten nog een soort top of bolle of zo er bovenop 
A: 	ja ik zitten hem even te zoeken zeggen maar zeggen maar met die met die die klep zeggen maar bovenop hè ? ja ja 
B: 	ja 
A: 	o daar staan hij nummer vijf 
B: 	en die staan bij mij eigenlijk ja onderin hebben je in het midden hebben je twee bij elkaar en dan daar de links van 
A: 	ja 
