B: 	ja deze lijken echt een beetje op een beker die hebben een 
B: 	driehoek er onder en dan die spiraal zo en daar zitten zeggen maar die kop op vast of die mok 
A: 	net 
B: 	ja je hebben bovenin zitten er twee blok op nog zo'n uitsteeksel en dat ding dat er onderuit komen en dan 
A: 	blok op en dan en nog iets aan de zijkant ja 
A: 	ja ok nee dat zijn dan nummer vier 
B: 	hij zitten bij mij echt helemaal rechts bovenin dus rechts bovenin van dat van dat vierkant 
A: 	nee niet dezelfde plek 
A: 	ja dit zijn eigenlijk die mok die eigenlijk omhoog gaan of zoiets wat je zeggen 
B: 	die die kampioen trofee 
A: 	die kampioen mok achtig weer ja ja ja 
B: 	ja ok dat zijn dan A 
A: 	ok als je eigenlijk dat vierkant pakken 
A: 	en je gaan halverwege dat vierkant zitten en dan helemaal links naartoe hebben je een beetje op dezelfde hooog hoogte staan dan de mok 
B: 	ja 
B: 	bij mij bij mij staan hij echt zeggen maar helemaal solo links daarzo 
A: 	nee dan 
B: 	want je hebben zo dat vierkant en dan hebben je zeggen maar die rij er zo omheen en dan zitten die van mij er nog nog buiten 
A: 	nee nee bij mij zitten in die in die rij van drie dan 
B: 	ok 
B: 	ja nee dat zijn dan niet op dezelfde plek 
A: 	ja 
B: 	ja dit zijn die die op een trofee lijken 
A: 	ja nou dan hebben ik die al vinden dat zijn dan nummer tien 
B: 	ja 
B: 	en hij staan bij mij van de onderste drie dus die staan alledrie zeggen maar links onderin staan hij in het midden 
A: 	ja kloppen 
A: 	bij mij ook 
A: 	dit zijn die trofee 
B: 	ja dat zijn dan L 
A: 	als je hij staan veel rechts bovenin 
B: 	ja in de in de piramide ook ja dus de zelfde plek 
A: 	van piramide ja 
B: 	ja dit zijn die beker 
A: 	o ja 
B: 	ja 
A: 	nummer vier 
B: 	en die zitten bij mij driehoek in het midden link onderin 
A: 	ja dezelfde plek 
A: 	nou ja dit zijn de trofee 
B: 	de trofee dat zijn dan F 
A: 	ja 
A: 	en dit zijn dan als je de bovenste rij weer pakt die vier zeggen maar dan zijn dan zijn dit de drie en dan recht er onder 
B: 	ja 
B: 	ja nee bij mij zitten hij op uhplek nummer twee dus dat zijn dan niet dezelfde 
A: 	nee 
