A: 	oké ik hebben nu een soort van ik noemen het een uitdijen kubus 
B: 	ja 
A: 	aan de rechterkant 
A: 	en aan de achterkant steken een soort van buigen stang uit die je half zien 
A: 	en links en bovenop zitten weer zo'n soort van pluim zeggen maar 
B: 	ja zo'n aan de voorkant zijn zo vierkant die steeds groot worden zeggen maar op elkaar 
A: 	ja 
B: 	oké 
A: 	ja wel echt een kubus zeggen maar niet een plat vierkant maar wel echt een 3Dfiguur 
B: 	ja 
B: 	ja en dan bovenop en links dezelfde figuurt dinge eraan en aan de achterkant 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij E 
B: 	en hij staan 
A: 	ja bij mij staan die helemaal rechts er passen net geen plaat veel rechts ervan en net iets boven het midden van boven en onder zeggen maar 
B: 	oké dan staan ze niet op dezelfde plek want de mijn staan wel ver van de zijkant af 
A: 	oké 
B: 	er toepassen wel twee plaat tussen zeker 
A: 	oké 
B: 	deze hebben boven en links hetzelfde uitsteeksel 
B: 	en dan aan de rechterkant vierkant die groot worden 
B: 	en aan de achterkant nog een soort buigen stang 
A: 	ja 
A: 	oké dat zijn nummer elf 
A: 	en die staan zeggen maar linksboven van het midden 
B: 	ja 
A: 	ja 
A: 	oké dat zijn dan denken ik wel ja hij staan 
B: 	ja er past wel nog iets boven in ieder geval zeker 
A: 	ja hij staan een beetje in een vierkant zeggen maar en dan zijn hij de linksboven van het vierkant 
B: 	ja 
A: 	oké 
A: 	dan doen ik geel 
A: 	deze hebben links en bovenaan weer diezelfde soort van pluim en dan achteraan die buigen buis die uitsteken en 
A: 	rechts die kubus die zo uitdijt 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	en hij staan net rechts van het midden 
B: 	en ongeveer een kwart van de bovenkant af 
A: 	oké dan hebben we denken ik niet dezelfde die van mij staan 
A: 	wel best wel in het midden heel iets aan de bovenkant van het midden en ook nog ik denken op 
A: 	ongeveer een kwart van de rechterkant af 
A: 	misschien net twee drie 
B: 	oké 
B: 	nee dan hebben we niet dezelfde 
A: 	nee oké 
B: 	deze hebben aan de bovenkant en aan de linkerkant hetzelfde uitsteeksel 
B: 	en aan de rechterkant die uitdijen kubus en nog een dinge aan de achterkant 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en dus die staan best wel naar rechts maar er staan dus nog vier figuur die nog veel naar rechts staan dan die 
B: 	bij mij zijn er maar twee die ver naar rechts staan 
A: 	oké dan zijn het niet hetzelfde 
A: 	ik hebben nu die een met rechts die uitdijen kubus en links en bovenop dezelfde pluim zeggen maar en 
A: 	link uit of ja of achter die stang 
B: 	ja 
B: 	dat zijn bij mij B 
B: 	en hij staan helemaal rechts 
A: 	nee er staan nog wel zeggen maar die we zonet hebben die staan er precies boven 
A: 	en er afstaan er dus nog twee figuurt ook rechts ervan 
B: 	nee bij mij zijn het helemaal de rechts 
A: 	nee oké 
B: 	dit zijn met boven en links hetzelfde dinge en dan rechts die uitdijen kubus 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	en die staan bij mij linksboven in de hoek 
B: 	ja 
B: 	staan niks veel boven of link 
A: 	nee 
