A: 	o moeten ik nou weer ? ja ja het hebben een neus een 
B: 	ja 
A: 	niet een rond zeggen maar maar zo'n hexagon en dan een lang staaf en bovenin hebben hij 
A: 	een dubbel vierkantje waar ook ding uitsteken 
A: 	dubbel vierkan wat er schuin in zitten en aan de onderkant hebben je een soort van vierkantje als een soort van glijbaan zijn of zo wat er uit komen 
B: 	o eigenlijk zo'n slurf zo 
A: 	ja er uit en 
B: 	ja en aan de bovenkant een soort van vierkantje inderdaad met aan beide kant iets er uit steken 
A: 	ja ja 
B: 	en link zitten een soort van ja armp ja dat zijn M 
A: 	armp ja 
B: 	dan zitten hij op de twee rij en dan hebben je er één nog boven en dan die staan er onder en verderest staan er onder in die rij eigenlijk niks 
A: 	nee bij mij links helemaal bijna ja 
B: 	helemaal links en dan laag dan die twee in de volgen rij 
A: 	of ja als je zeggen maar helemaal naar links gaan dan zijn het bij mij twee 
A: 	in de linkerhoek en dan nog één nog iets veel naar links 
B: 	ja 
A: 	wel hetzelfde denken je 
B: 	zijn die het bij jou zeggen maar 
A: 	ja als in 
B: 	nee bij mij zijn het zeggen maar die twee linksbovenhoek zegmaar 
A: 	ok dus niet 
B: 	niet die helemaal links 
A: 	ok wachten als je helemaal naar links gaan 
B: 	hebben je één met zo'n soort van spijker 
B: 	o dat zijn bij jou natuurlijk een ander trouwens 
A: 	ja ik weten niet of die figuur ook dan op ander zeggen maar ook op dezelfde plek staan maar 
B: 	ja weten ik ook niet 
B: 	maar het zijn zeggen maar niet helemaal de links bij mij 
A: 	nee maar soort van op de twee rij 
B: 	ja 
A: 	maar daarboven zitten helemaal niks 
B: 	daarboven zitten bij mij nog wel iets 
A: 	ja er zitten wel wat maar niet boven dat figuur zelf 
B: 	bij mij staan boven het figuur dat het zijn zeggen maar nog een figuur 
A: 	okan dan zijn het niet 
A: 	waarom zijn het nou opeens allemaal hetzelfde dan 
B: 	ja weten niet maken het wel makkelijk 
B: 	het zijn zegmaar die met zo'n vierkantje bovenop die aan beide kant doorboren zijn aan de onderkant zitten weer zo'n gek 
B: 	glijbaan waar je het net over hebben en hij hebben een heel lang neus bij wijze van spreken 
A: 	ja negen 
A: 	helemaal onderin en dan als je dat vierkantje in het midden hebben dan links 
B: 	linksonderin 
A: 	ja 
B: 	ja hetzelfde 
A: 	deze hebben dat vierkantje wat schuin zitten waar ding uitkomen en dat glijbaan aan de onderkant 
B: 	ja en met die neus ja H 
A: 	ja 
A: 	twee rij de één 
B: 	ja 
B: 	dat glijbaan onderin en bovenin zo'n vierkant wat doorboren zijn aan beide kant 
A: 	elf 
A: 	de één van de één rij 
B: 	ja 
B: 	o jij mogen 
A: 	die met dat vierkantje wat zo schuin staan en twee ding er uit steken en dat gleufje en die arm 
B: 	even kijken 
B: 	even kijken met die arm 
A: 	ja aan de zijkant steken een armpie uit 
A: 	en aan de voorkant zo'n lang 
B: 	dat bovenste vierkan wat doorboren zijn aan beide kant 
A: 	ja 
A: 	ja 
B: 	o ja dat ja sorry D 
A: 	twee rij onder 
B: 	één rij onder 
B: 	dat glijbaan onderaan en doorbooren vierkant aan beide kant bovenaan 
A: 	veertien 
A: 	dat één die een in de enig rij in zijn één 
B: 	nee bij mij zijn het de twee van de één rij 
