B: 	oké dit zijn een een kop met een een lepel erin lijken wel 
B: 	en een een rond neus 
A: 	oké zitten daar nog twee ander dinge aan 
B: 	ja 
A: 	nog één zo'n dinge erachter en één die zo 
B: 	ja ja 
A: 	oké 
A: 	dat zijn nummer veertien 
B: 	oké hij staan rechts 
B: 	niet helemaal rechts dichter bij het midden dan aan de rechterkant 
B: 	en in de onderste helft maar dichter bij het midden dan aan de onderkant van het scherm 
A: 	ja dat hebben ik ook 
B: 	oké dan zijn het hetzelfde denken ik 
A: 	ja dat kloppen 
A: 	je zeggen rechts 
B: 	ja rechts 
A: 	ja oké 
A: 	die met dat ei op zijn voorkant waar jij zeggen van een lepel erin zitten 
B: 	ja 
A: 	met een 
B: 	met een driehoekig dinge 
A: 	ja precies 
B: 	ja 
B: 	N 
A: 	deze staat heel erg ver naar links 
A: 	en net iets boven het midden van de deze 
B: 	hij staan bij mij staan die wel echt op het midden van nee niet naar boven niet naar onder 
B: 	maar ook ver naar links 
A: 	bij mij staan die echt niet niet in het midden 
B: 	oké dan zijn die anders 
B: 	dat zijn die een met de rond neus 
A: 	ja 
B: 	en een driehoekig uitsteeksel aan de rechterkant linkerkant 
B: 	en een lepeltje 
A: 	met dat lepel erin en zo ja 
B: 	ja 
A: 	dat zijn negen 
B: 	ja hij staan heel ver naar links 
B: 	er kunnen er nog één ver naar links 
B: 	en een beetje veel naar boven dan het midden 
A: 	bij mij staan die ook heel erg naar links met één die er toch nog tussen kunnen 
A: 	maar er kunnen niks veel boven dat zijn wel echt het allerdichtste tegen 
B: 	oké 
B: 	nee dan zijn het echt anders 
A: 	dit zijn dat kop met dat lepel erin met dat neusding aan de voorkant 
A: 	met die driehoek zo aan de zijkant 
B: 	ja ja 
A: 	de driehoekbak 
B: 	die een beetje lijken op die zuignap maar niet zonder zuignap 
A: 	ja precies zonder zuignap ja 
B: 	ja 
B: 	G 
A: 	en dan staan die net iets onder en link van het midden ruim baan 
B: 	ja 
B: 	maar dicht bij het midden 
A: 	ja 
B: 	ja die met de zuignap maar dan niet met de zuignap 
A: 	ja met dat lepel erin 
B: 	ja 
A: 	dat zijn nummer vijf 
B: 	en hij staan naar rechts in het in het midden van rechts iets veel naar het midden toe 
B: 	en naar boven 
B: 	zullen er nog wel één of twee misschien wel twee maar net niet twee denken ik boven kunnen 
A: 	nee bij mij passen er echt maar één 
A: 	dat zullen al krap zijn om die erlangs te krijgen 
B: 	oké dan zijn het anders 
A: 	niet die 
A: 	dat kop met lepeltje en die neus 
B: 	oké en de zuignap zonder zuignap 
A: 	ja precies 
B: 	oké dat zijn J 
A: 	en dan staan die als je maar zeggen de linksboven pakken recht in het midden 
B: 	oké bij mij staan die aan de rechterkant 
A: 	nee 
