B: 	aan de voorkant zijn een heel groot vierkant vlak 
B: 	en aan de linkerkant twee soort blokkendoes die erin gaan 
A: 	ja 
A: 	ik vinden het een soort ruimteschip 
B: 	ja 
A: 	hij hebben ook nog een antenne 
B: 	ja ja 
A: 	ja 
B: 	iets futuristisch 
A: 	dan zijn het 
A: 	ja precies dan zijn het twee 
B: 	en dit figuurtje staan helemaal onderaan 
B: 	en dan twee stap naar links ongeveer 
A: 	nee hij staan bij mij beetje midden dus geel 
B: 	nee 
A: 	check 
A: 	dit zijn dat ruimteschip 
A: 	met die twee torent blokkentorent erin een antenne en een ja en een soort tv of zo gewoon een vierkantje aan de voorkant 
A: 	een een vlak 
B: 	ja met twee twee blokkentoren aan de linkerkant 
A: 	ja 
A: 	ja 
B: 	dat zijn G 
A: 	en hij staan bijna helemaal in het midden een beetje naar beneden een beetje naar links 
B: 	ja 
B: 	dus dat zijn rood 
A: 	ja 
B: 	even checken 
B: 	dit zijn dat poppe met aan de linkerkant twee blokkentoren die het hoofd ingaan aan de voorkant een groot vierkant vak vlak 
A: 	ja 
A: 	dat zijn een ruimteschip 
B: 	ja zoiets 
A: 	negen 
B: 	en staan midden 
B: 	en dan een tik naar links 
A: 	ja 
B: 	en naar onder 
A: 	ja 
A: 	maar niet helemaal onder 
B: 	niet helemaal onder 
A: 	ja 
A: 	dan zijn het hetzelfde rood 
A: 	het ruimteschip met de antenne bovenop en de twee blokkentoren die erin steken aan de linkerkant 
B: 	ja dat zijn D 
A: 	en hij staan nou bijna helemaal midden een heel klein beetje naar boven heel klein beetje naar links 
B: 	ja kloppen 
B: 	dan zijn het rood 
A: 	ja 
B: 	ja 
B: 	dit zijn met ja het volgens mij noemen we het ruimteschip met de twee blokkending die erin gaan 
A: 	ja 
A: 	één 
A: 	oehlen ik zeggen het bijna niet 
B: 	die staan in het midden 
B: 	en dan een stuk naar rechts 
B: 	dus op gemiddeld hoogte en dan een stuk naar rechts 
A: 	nee hij staan bij mij wel een stuk hoog 
B: 	nee 
A: 	geel 
A: 	ruimteschip 
B: 	met voor een vierkant vlak 
A: 	ja 
B: 	dat zijn B 
A: 	en hij staan helemaal omlaag klein tik naar rechts 
B: 	zijn er nog een figuurt op het scherm wat nog iets laag staan 
A: 	nee 
A: 	ja helemaal links onderin maar 
B: 	ja 
B: 	nee dan kloppen het dan zijn het goed dus dan zijn het rood 
A: 	ja 
A: 	ja 
