B: 	yes 
B: 	ik hebben een het enig object met een draai erin en een voe en het voe zijn of driehoekig 
B: 	in principe hebben die een 
A: 	ja 
A: 	nummer vier 
B: 	ja 
B: 	en bij mij staan die in de bovenste kwart van de rechterkant 
B: 	en het zijn dan het veel het object wat het veel aan de rand liggen 
B: 	van het scherm 
A: 	ja 
A: 	en een beetje in het midden ? lijken die te liggen van de 
B: 	nou het zijn wel echt echt degeen die het veel van al object in de in de hoek van het scherm zitten dus er staan geen ander object behalve aan 
B: 	de linkerkant geen ander object naast 
A: 	oké 
A: 	nou dan zijn die wel hetzelfde 
A: 	nou dit zijn de wat jij eerder zeggen de enig kop met een soort van draaikolk aan de onderkant 
B: 	ja 
A: 	die eindigen op een driehoek 
B: 	dat zijn bij mij nummer A 
A: 	superhandig 
B: 	ja 
B: 	tenminste één 
A: 	en hij zitten als je het scherm weer in vier stuk verdeelen hier eigenlijk op die middellijn 
A: 	dus in het midden van de blok één en twee zeggen maar als je dat 
B: 	zeggen maar de horizontaal lijn de middellijn die zitten dan horizontaal en dan zitten die veel aan de linkerbovenkant 
A: 	ja 
A: 	ja 
A: 	ja linksmidden eigenlijk wel echt zeggen maar 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	oké dat zijn wel hetzelfde 
B: 	ik hebben degeen met de draai erin die op een driehoekig voe staan 
A: 	ja 
A: 	nummer tien 
B: 	en bij mij staan die dan linkerkant 
B: 	onderste kwart en dan lijken die een soort van aan de in het midden te plaatsen te zijn veel 
A: 	ja 
A: 	hier ook 
A: 	nou dit zijn het enig plaat met een draaikolk 
B: 	ah 
A: 	die op een driehoek uitkomen 
B: 	ja dat zijn L 
A: 	en hij staan helemaal rechts bovenin 
B: 	ja bij mij ook 
B: 	ik hebben degeen met een draai erin 
B: 	met een balk 
B: 	dus de de met een draaivoet en dan een vierkantje boven vierkantje in het midden en dan een soort van trapezium 
A: 	ja 
A: 	nummer vier zijn dat 
B: 	yes en hij staan richting het kruis denken van het scherm aan de linkerkant 
A: 	ja 
A: 	hier ook 
A: 	dit zijn de mok met de draaikolk die op een driehoek uitkomen 
B: 	ja 
B: 	F 
A: 	en die zitten net boven de kruising dus eigenlijk de verticaal lijn 
B: 	ja 
A: 	en daar net iets boven 
B: 	en zitten die dan aan de linkerkant of aan de rechterkant 
A: 	nou aardig in het midden maar ja scheellen niet 
B: 	ja bij mij zitten die er echt link 
A: 	oké 
B: 	dan gaan ik voor iets ander 
A: 	nee dat zijn hier niet 
