B: 	dit zijn een mok met een zweven ei Erboven het ei wat er of aan de voorkant staan iets veel naar rechts 
B: 	hij worden niet ondersteunen door iets 
B: 	aan de linkerkant opsteken er een een hoe zeggen je dat ? een zo'n zo'n zo'n driehoekding uit zeggen maar zo'n staaf 
A: 	ja 
B: 	er zitten een bijzonder lepel in die zo lopen en dan een rechthoekig dinge in het midden 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	die staan bij mij als je het vlak in het midden zullen verdelen onder het midden en dan links of sorry rechts 
B: 	in het rechtervlak en dan weer helemaal aan de linkerkant 
B: 	van het rechtervlak zeggen maar 
A: 	ja dus als je het rechteronderhoek van het scherm hebben zitten die in de linkerbovenkant 
A: 	als je het scherm eerst in vier verdeellen 
B: 	je gaan hem nog eens in vier verdelen ja ja ja 
A: 	dan hebben je het en dan zitten die Linksboven 
B: 	ja 
B: 	ja 
B: 	als je hem zo hebben dan zitten die hier zeggen maar 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	dezelfde plek dan 
A: 	dit zijn er één waar twee uitsteeksel bovenin staan één balk en één zo'n raar figuurtje 
A: 	komen er aan de linkerkant een armp uit en aan de voorkant zitten een ei 
B: 	ja 
B: 	en dat dat ding lopen zo zo en dan weer zo 
A: 	ja 
B: 	zeggen maar wat erin zitten en dan die die 
A: 	ja en dan daarnaast staan een recht balk 
B: 	ja 
B: 	dat zijn bij mij N 
A: 	hij zitten bij mij helemaal links het veel links figuur 
A: 	en dan net iets boven het midden 
B: 	nee bij mij zitten er nog een figuur linkser dan dat 
A: 	oké 
B: 	niet dezelfde plek 
B: 	dit zijn het zweven ei aan de voorkant een zitten een lineaal in 
B: 	er zitten die gek lepel in 
B: 	en een klein driehoek die er aan de linkerkant uit opsteken 
A: 	even kijken denken dat ik hem hebben maar dan er zitten geen driehoek die eruit steken 
B: 	ja niet een driehoek maar zo'n driehoekig balk 
A: 	er zitten een ei aan de voorkant 
B: 	er zitten een ei aan de voorkant een 
A: 	er lopen een balk door dat ei heen 
B: 	nee dat nee nee nee 
A: 	oké dan zijn het een ander even kijken ei 
B: 	nee 
A: 	ja 
A: 	alleen zitten twee figuurt die daarbovenuit steken 
B: 	die 
