B: 	oké 
A: 	ah 
B: 	ik hebben het vierkantje 
A: 	cool 
B: 	dus dan moeten ik hem aan jou omschrijven denken ik 
A: 	ja 
A: 	ja 
B: 	ja het zijn gewoon dat emmer zeggen maar 
A: 	ja 
B: 	met ja zo'n soort roerstaafje erin die een beetje zo ovaal zijn 
A: 	ja 
B: 	en aan de onderkant komen er zo'n ja hoe noemen je dat zo'n afronden staaf zeggen maar uit 
B: 	dus hij staan zeggen maar op een soort poo 
A: 	hij staan op een poo 
B: 	en dan zitten er zo'n stok soort van in als een kop 
A: 	ja 
B: 	en er komen één zo'n buis uit aan de linkerkant 
A: 	aan de linkerkant 
B: 	ja 
A: 	en hij staan op een ja ja ja 
B: 	en aan de zijkant zitten zo'n rond schijf tegenaan 
A: 	alleen een rond schijf niet zo'n uitsteeksel zeggen maar 
B: 	dus je hebben aan de linkerkant zo'n uitsteeksel van het beker 
A: 	bummer 
B: 	hij staan op een soort poo 
A: 	ah ja en een rond schijf aan de achterkant inderdaad 
B: 	ja 
B: 	ja 
A: 	ja oké 
A: 	dan moeten ik op de knop drukken nummer dertien 
B: 	dan moeten jij 
A: 	en dan op de geel knop 
B: 	oké en dan moeten we nu kijken of die bij ons op dezelfde plek staan 
A: 	waar die staan 
B: 	bij mij staan die zeggen maar in het midden van het scherm 
A: 	ja hebben ik ook 
B: 	en dan bijna helemaal onderaan 
A: 	ja twee onderaan 
B: 	dus als je één 
B: 	ja 
A: 	of nou ja twee er liggen ja er zitten 
B: 	ja een soort van er zitten er nog één soort van schuin onder maar die zitten niet helemaal in het midden 
A: 	ja daar zijn ik het mee eens 
B: 	ja dus ik denken dat die op dezelfde plek staan 
A: 	denken je dat je het ook moeten vergelijken met de rest 
A: 	nee de de plek zijn hetzelfde toch ? dus dan 
B: 	ja weten ik niet 
B: 	ja toch 
B: 	denken het wel 
B: 	dus dan 
A: 	oké dus dan moeten ik op de rood knop drukken als die hetzelfde zijn 
B: 	ik denken geel eigenlijk 
A: 	op de geel knop 
B: 	ik denken rood zijn niet goed dus ik denken geel maar dat weten ik eigenlijk niet zeker 
B: 	wat zullen we doen 
B: 	ja jij moeten drukken sowieso toch 
A: 	ja ik moeten drukken 
B: 	ik denken geel maar 
A: 	geel knop als die hetzelfde zijn 
B: 	ja dat denken ik 
A: 	ja 
B: 	maar dat zijn wel weer andersom dan 
A: 	ja maar dit zijn gewoon omdat het links zijn 
B: 	ja ze zijn helemaal zo 
A: 	en links zijn niet correct 
A: 	even ze komen er denken ik aan 
B: 	volgens mij 
A: 	wat erg 
A: 	geel oké 
B: 	oké 
A: 	oké geel knop zijn zelfde plek ja 
B: 	ja 
B: 	dus dan zijn het net andersom inderdaad 
A: 	het zijn degeen die die die staan op een op een balk 
A: 	met één spatel erin en een Pinokkioneus 
B: 	ja 
B: 	ja dat zijn bij mij O 
A: 	sorry ja 
B: 	ja maken niet uit 
A: 	die staat staan rechts bovenin in de hoek naar het midden toe 
B: 	oké bij mij staan die rechtsonder dus dat zijn dan rood 
A: 	oké 
B: 	oké 
B: 	ja hoe hebben we deze het zijn weer verplaatsen 
A: 	ja 
B: 	het zijn die met één zo'n roerstaafje erin en die staan op zo'n soort van ovaal pilaar 
A: 	ja 
B: 	en die hebben zo aan de zijkant zo'n rond schijf aan de achterkant zeggen maar 
A: 	ja rond schijf en een Pinokkioneus 
B: 	en dan zo'n pinokkioding ja 
A: 	ja oké 
B: 	ja 
A: 	nummer acht 
B: 	en die staan bij mij rechtsboven 
A: 	ja 
B: 	eigenlijk als enig want daaromheen zitten helemaal niks hij zitten een beetje ongeveer als enig in dat kwart ook bijna 
A: 	ja the same 
A: 	ja 
B: 	ja een stuk van de ander maar 
A: 	ja 
B: 	ja 
A: 	maar goed hij staan hij staan veel naar rechts dan naar links neigen die 
B: 	er kunnen niet veel een heel boven 
B: 	ja 
A: 	en hij staan zeggen maar met de horizontaal lijn evenveel boven en onder bijna 
A: 	misschien net iets veel onder dan boven wel 
B: 	ja net iets veel onder dan boven maar wel er zijn nog wel ruimte zeggen maar 
A: 	oké staan die hetzelfde 
A: 	de de Pinokkio 
A: 	met één lepel en een schijf aan de achterkant 
B: 	ja 
B: 	ja dat zijn bij mij C 
B: 	en volgens mij zijn die omdraaien met dat dat Pippi Langkousding bij ons toch 
A: 	ja dus hij staan niet de bij mij staan die niet tegen de verticaal lijn aan 
B: 	nee bij mij wel 
B: 	ja 
A: 	oké 
B: 	ja dit zijn met die Pinokkioneus 
A: 	ja 
A: 	even zoeken 
A: 	daar 
A: 	met de met de rond schijf aan de achterkant 
B: 	ja en dan dat één zo'n roerstaafje 
A: 	ja 
A: 	dit zijn nummer zeven 
B: 	die staan bij mij linksonder 
A: 	ja 
A: 	niks veel ernaast of er zoiets van 
B: 	ja er staan er bij mij wel nog één link van 
A: 	nee dan kloppen het bij mij niet 
B: 	met die rui 
A: 	nee die staan dan omgedraaien inderdaad 
B: 	die staan er nog links van 
B: 	nee oké 
A: 	dus het kloppen niet 
A: 	de Pinokkio neus 
A: 	met de rond schijf 
B: 	even kijken waar die zijn 
A: 	op de achterkant 
A: 	staan rechtsboven bij mij 
B: 	ja 
A: 	maar die staan draaien met de picknicktafel 
B: 	ja bij mij staan de picknicktafel helemaal rechtsboven maar C dat zijn die waar we het nu over hebben 
B: 	en die staan dan rood want die staan niet op dezelfde plek 
A: 	ja 
