A: 	aan de rechterkant hebben het twee balk die eruit opsteken maar als je je hoofd kantellen naar links vinden ik dat het een varken zijn en dan zien je hem waarschijnlijk meteen maar 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	met aan de linkerkant ook nog twee uitsteekselt en aan de bovenkant zo'n 
A: 	ja ja ja 
A: 	en aan de ja 
B: 	ja dat zijn I 
A: 	hij zitten aan de linkerkant van het scherm vrij bovenin 
A: 	en aan de linkerkant van het scherm weer vrij naar rechts 
B: 	ja dat zijn denken ik hetzelfde 
B: 	dit zijn de hoe noemen jij het ? varken 
A: 	ja 
A: 	dan zijn dat twee 
B: 	en die hij staan op de linkerschermhelft 
B: 	en dan net iets naar links 
A: 	ja 
B: 	en ongeveer in het midden van de onderste schermhelft denken ik 
A: 	ja oké 
A: 	dit zijn dat dat varken 
B: 	ja dat zijn N 
A: 	en die staan aan de linkerkant en dan verticaal in het midden 
A: 	maar wel helemaal onderin 
B: 	echt in het midden van 
A: 	ja iets veel naar link denken ik 
B: 	oké dan denken ik dat het hetzelfde zijn 
B: 	dit zijn weer het varken 
A: 	waar staan die 
A: 	negen 
B: 	even kijken aan de linkerschermhelft 
B: 	en dan verticaal zien net aan de rechterkant 
B: 	en aan de bovenkant van de horizontaal lijn 
A: 	echt goed Erboven 
B: 	ja ja 
B: 	ja 
A: 	oké 
A: 	dit zijn het varken 
B: 	dat zijn F 
A: 	en als je je scherm door twee delen dan zitten die aan de rechterkant 
A: 	verticaal niet in het midden maar veel ja naar links maar dat ja 
B: 	op de rechterkant 
A: 	en vrij ver onderin ook 
B: 	ja 
B: 	dit zijn weer het varken 
A: 	zes 
B: 	en deze staan op de linkerschermhelft 
B: 	en als je die dan weer in twee zullen verdelen zullen die in het midden van de rechterlinkerschermhelft zitten 
A: 	wachten even 
A: 	als je je linkerschermhelfen in twee zullen verdelen dan 
B: 	dan zitten die aan de rechterkant 
A: 	ja 
B: 	en horizontaal zien bijna in het midden 
A: 	maar net eronder 
B: 	ja 
