B: 	deze hebben soort van paddenstoel aan de bovenkant 
B: 	klein 
B: 	en dan zo'n vierkant aan de voorkant en dan links hebben die twee van die het lijken net oog of zo 
A: 	ja 
B: 	zeggen maar die klein worden zeggen maar naar het kop toe 
A: 	ja die 
A: 	ja 
B: 	dat zijn het eigenlijk 
A: 	ja dat zijn twee 
B: 	bij mij staan die op de onderste rij 
B: 	en dan links linkerhelft en dan als je daar weer het midden van pakken eigenlijk precies die lijn 
A: 	ja bij mij staan die veel veel naar links en ook hoog 
A: 	dus dat ja hij staan bij ja half bijna op het midden 
B: 	nee 
B: 	nee dat zijn niet hetzelfde 
A: 	dus 
A: 	dit zijn ja het kop met bovenop de de paddenstoel 
A: 	en het vierkantje aan de Rechtervoorkant en die twee kubus die klein worden 
B: 	ja 
B: 	dat zijn G 
A: 	en hij staan ja net iets link van het midden 
A: 	en net iets onder het midden 
B: 	ja bij mij ook 
A: 	ja 
B: 	denken dat het wel hetzelfde zijn 
B: 	dit zijn die met die paddenstoel 
A: 	ja 
A: 	en dat plaat en die 
B: 	die oog 
A: 	ja 
A: 	dat zijn negen 
B: 	hij staan net links van het midden 
B: 	en dan midden van de onderste helft zeggen maar 
A: 	onder 
A: 	ja 
A: 	ja dat hebben ik ook 
B: 	oké 
A: 	ja dit zijn die met de paddenstoel 
A: 	en de oog en het vierkant 
B: 	oké 
B: 	dat zijn D 
A: 	en hij staan best wel in het midden 
A: 	en ook zo best wel in het midden net iets Erboven 
B: 	bij mij ook 
B: 	bij mij ook 
A: 	wel veel richting boven laten ik maar zeggen 
A: 	best wel in het midden 
B: 	ja 
B: 	en iets link van dit midden 
A: 	ja ja net iets link 
B: 	ja 
B: 	zelfde 
B: 	dit zijn die met die paddenstoel 
A: 	paddenstoel 
A: 	ja dat zijn één 
B: 	hij staan net wat rechts van het midden 
B: 	en dan zo bijna precies het midden eigenlijk 
A: 	maar dan ja veel boven het midden of niet 
B: 	welk midden 
B: 	eigenlijk precies het midden 
A: 	nee bij mij staan die er wel boven en ook veel naar rechts denken ik 
B: 	ja bij mij staan die er net rechts van verticaal midden 
A: 	nee bij mij staan die wel ongeveer een kwart van rechts 
A: 	bijna 
B: 	ik weten niet of die hetzelfde dan zijn 
A: 	ik denken het niet 
B: 	oké 
A: 	ja als je het als je de rechterhelft door de midden doen 
A: 	en dan de middellijn als je die ongeveer ja veel veel richting de helft van de rechterhelft dan midden 
B: 	nee dan zijn het niet denken ik hetzelfde 
A: 	dit zijn die met de paddenstoel 
B: 	dat zijn B 
A: 	net iets rechts van het midden 
B: 	ja 
A: 	best wel aan de onderkant 
B: 	bij mij ook 
A: 	het midden van de onderkant nog misschien iets laag 
B: 	ja bij mij zitten nog zo'n stuk eronder 
A: 	ja 
B: 	oké 
