B: 	yes 
A: 	dit zijn een weer zo'n koffiemok waar een lepeltje recht omhoogsteekken 
A: 	en er lijken aan de achterkant een soort van theetuitje te zitten van een theekan 
A: 	en er zitten een soort hengsel aan met vierkant blok die groot zijn en steeds klein worden 
B: 	ja 
B: 	dan weten ik welk je bedoelen bij mij zijn dat nummer E 
A: 	oké 
A: 	en als je het scherm weer in vier deel pakken 
B: 	ja 
A: 	dan zitten het in het blok rechtsboven 
A: 	en dan rechtsonder 
B: 	ja 
B: 	hebben je daar ook aan weerskanten zeggen maar dat die een beetje in het midden staan 
B: 	dat er dus dat er twee één iets veel naar boven en de ander iets veel van de boven 
A: 	nee ik zullen zeggen dat deze echt aan de rechterkant staan echt hier rechts onderin 
B: 	oké dan staan die bij mij niet op dezelfde plek 
A: 	oké 
B: 	ik hebben soort van een een een traanvormig uitsteeksel aan de linkerzijde 
B: 	achterzijde veel met een recht hoek erin 
B: 	bovenin zitten dezelfde type uitsteeksel als aan de linkerkant zitten 
B: 	en aan de rechterkant zitten uitsteeksel die blok die dan taps toelopen richting de basisvorm 
B: 	het zijn allemaal klein vierkantjes die dan een soort wolkenkrabber legotoar vormen 
A: 	die 
A: 	en dat zijn die waar het het ja ik noemen het maar een koffielepel maar recht omhoogsteekt en er lijken een soort van tui aan de achterkant te zitten 
B: 	ja 
B: 	ja 
B: 	ja en in principe zeggen maar wat jij het lepeltje noemen 
A: 	ja 
B: 	dat datzelfde vormp zitten aan de linkerzijde evenzo 
A: 	ja kloppen 
A: 	ja dat zijn nummer elf hier 
B: 	en bij mij zitten die dan als je richting middellijn denken aan de linkerbovenkant 
B: 	maar wel echt strak tegen het midden aan 
A: 	even kijken de middellijn 
A: 	en dan als je echt dat vakje linksboven pakken 
B: 	ja dus als je in principe het het scherm in de in twee verdeellen dan zitten die aan de bovenste kant van het linkerdeel 
B: 	maar wel echt dicht bij bij de daadwerkelijk lijn in het midden 
A: 	en zijn het als je als je het beeldscherm in vier blok doen 
B: 	ja 
A: 	zitten die dan rechtsonder 
B: 	ja 
A: 	oké dan zijn dat hetzelfde 
A: 	dit zijn zeggen maar de koffiemok waar één lepeltje aan de bovenkant uit komen en aan de rechterkant een handvat zitten met blok waarbij die van groot naar klein lopen 
B: 	ja 
A: 	aan de linkerkant dezelfde lepel zitten als die er recht uit opsteken en zo'n tui aan de achterkant 
B: 	even zien 
B: 	waar staan die 
B: 	en hij hebben de twee twee blok of één 
A: 	nee 
A: 	één 
A: 	alleen aan de rechterkant zitten dat handvat met die groot naar klein 
B: 	alleen aan de rechterkant ah ja 
B: 	en dan ja dat zijn bij mij nummer J 
A: 	ja 
A: 	oké 
A: 	en die staan in het blok rechtsboven en dan eigenlijk links onderin 
B: 	ja dat zijn denken ik wel dezelfde ja 
B: 	ik hebben degeen waarbij de uitsteeksel boven en links hetzelfde zijn 
B: 	rechterkant uitsteeksel met blok die taps toelopen en aan de achterkant een soort raar wokkel daarin 
B: 	veel herkenbaar vorm zijn denken ik toch gewoon die die de bovenkant dat uitsteekselding en links zijn van dezelfde grootte 
B: 	zijn dus dezelfde vorm die boven uitsteken ook aan de linkerkant en dan de balk de Blokkubus die dan toelopen rechts 
A: 	ja ja met die theetuit 
B: 	ja 
A: 	ja nummer negen 
B: 	bij mij staan die dan rechterkant van het scherm 
B: 	veel in het midden van onder 
A: 	ja 
B: 	dus zeggen maar als je de horizontaal lijn hebben staan die daar dan onder 
B: 	maar wel in het midden 
A: 	even kijken ja dan staan die net anders 
A: 	dit zijn de mok waar aan de rechterkant die van groot naar klein lopen blok zitten 
B: 	ja 
A: 	daarboven steken een lepeltje uit die daar eigenlijk ook links uit lijken te steken en zo'n tui 
B: 	ja 
B: 	ja 
B: 	yes nummer B 
A: 	oké 
B: 	of letter B 
A: 	die zitten in het vak rechtsonder en dan in het midden tegen de horizontaal lijn aan 
B: 	ja 
B: 	ja 
B: 	en een beetje aan de onderkant van de horizontaal lijn 
A: 	ja 
B: 	yes 
A: 	ja 
B: 	ik hebben degeen met de gelijk uitsteeksel 
B: 	links en boven en dan dat blokkig ding aan de rechterkant en dat blok 
A: 	ja 
A: 	nummer vier 
B: 	en bij mij staan die geheel Linksboven 
B: 	ik zullen er niks naast links kunnen plaatsen en ook niks boven 
A: 	oké dan zijn die hier net anders 
