A: 	deze zitten hebben een driehoek bovenop 
A: 	en aan de linkerkant zitten er iets in wat ja met een heel klein punt zitten die erin vast 
B: 	ja 
A: 	en aan de voorkant steken ook nog een ding uit 
B: 	ja 
B: 	ja het lijken een beetje op een tent daarboven 
A: 	ja 
A: 	ja dat zijn de enig met een driehoek erbovenop 
B: 	oké 
B: 	ja 
B: 	het zijn een het zijn J 
A: 	en bij mij staan die het veel rechtsonder 
B: 	ja dan staan die ook op dezelfde plek 
B: 	dit zijn diegene met die driehoek aan de bovenkant en die pijl die er zo in gaan 
A: 	ja dan zijn het zes 
B: 	oké bij mij zijn dat aan de die vijf aan de zijkant zijn het de vier 
A: 	ja dus niet helemaal rechts in de hoek maar daar link boven net toch 
B: 	ja 
A: 	ja oké dan staan die op dezelfde plek 
A: 	dit zijn die met die tent bovenop en die scherp ding aan de zijkant 
B: 	ja dat zijn E 
A: 	en die staan bij mij ja aan de rechterkant van het scherm 
A: 	ja even denken 
A: 	je hebben daar dus die rechtsboven en dan die waar we het net over hebben die plant in die pot 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	en dan daar link onder nog 
B: 	link onder 
A: 	ja 
B: 	of rechts onder 
A: 	link 
B: 	oké 
B: 	dus naast die twee boven elkaar 
A: 	ja 
B: 	maar daar rechts naast 
A: 	ja 
B: 	oké dan staan die niet op dezelfde plek 
B: 	oké ik hebben die met de driehoek erop 
B: 	en zo één klein dinge erin 
A: 	ja dat zijn tien 
B: 	dat zijn voor mij voor de voor de vierkant linksonder zijn dat linksonder 
A: 	oké dan 
A: 	ja oké nee dan staan die niet op dezelfde plek 
B: 	van de vierkant 
B: 	oké 
A: 	dit zijn die met die tent bovenop en dat klein insteekseltje 
B: 	ja 
B: 	dat zijn G 
A: 	die staan bij mij helemaal Linksboven 
B: 	ja staan die op dezelfde plek 
B: 	oké ik hebben diegene met die piramide die driehoek aan de bovenkant en zo de pijl daarin aan de zijkant 
A: 	ja 
A: 	dat zijn tien 
B: 	oké ja oké die twee in het midden onderin 
B: 	daar rechts boven hij zijn best wel ver daarvan rechtsboven 
A: 	ja 
A: 	en daar staan er rechts 
B: 	nog één van 
B: 	ja 
A: 	ja 
A: 	oké dan staan die wel op dezelfde plek 
B: 	oké 
