B: 	oké dit vinden ik een soort van standbeeld 
B: 	hij hebben onderaan een poot dan een stuk tussen het lichaam en 
B: 	die poot en dan bovenaan hebben die in het midden een blok rechts een blok en link een soort armp 
A: 	ja 
A: 	oké dan zijn het nummer vier 
B: 	ja 
B: 	en hij staan helemaal rechtsboven 
A: 	nee bij mij staan die ergens ander 
B: 	ja oké 
A: 	dit zijn die jij toen hebben met dat soort standbeeld op dat plateau en dan één zo'n ding 
B: 	oké ja 
B: 	ja 
B: 	het zijn A 
A: 	en hij staan bij mij als je het midden hebben aan de linkerkant en dan echt tussen links en rechts in precies 
B: 	bij mij zijn dat helemaal links 
B: 	het standbeeld 
A: 	ja 
A: 	nummer tien 
B: 	hij staan helemaal onderaan en dan halverwege link 
A: 	ja 
A: 	dit zijn dat standbeeld 
B: 	ja L 
A: 	en staan bij mij helemaal rechtsboven 
B: 	ja 
A: 	oké jammer 
B: 	het standbeeld 
A: 	even kijken waar die zijn 
A: 	ja nummer vier 
B: 	hij staan heel klein beetje naar links en ver wel in het midden heel klein beetje naar onderen 
A: 	ja 
A: 	het standbeeld 
B: 	waar staan die 
B: 	ja F 
A: 	en hij staan ja in het midden iets naar rechts iets naar boven misschien 
B: 	nee bij mij helemaal naar links dus 
