A: 	oké 
A: 	deze hebben een bolle erbovenop en een soor arm aan de zijkant 
B: 	en zo'n langwerpig ja ja 
A: 	en zo'n 
A: 	ja precies 
B: 	dat zijn D bij mij 
A: 	oké top 
B: 	mooi hoe we dezelfde 
B: 	oké waar staan die 
A: 	ja fijn 
A: 	hij staan net iets link uit het midden helemaal onderaan 
B: 	ja bij mij ook links van het midden en helemaal onderaan 
A: 	bij jou ook 
A: 	oké en dan staan er nog één link van ook 
B: 	oké 
B: 	ja één link en heel wat ver bekendstaan er nog één rechts bij mij maar 
A: 	ja 
A: 	precies ja oké nou dan zullen die op dezelfde plek zijn 
B: 	ja 
B: 	oké dus dat zijn zelfde plek 
A: 	ja 
B: 	Alright 
B: 	Alright 
B: 	een bolle bovenop 
A: 	ja 
B: 	en dan zo'n lang staaf aan de voorkant met van die armpjes 
A: 	ja met weer die armpjes 
B: 	yes 
A: 	ja nummer vijftien 
B: 	bij mij staan die helemaal rechts onderin 
A: 	nee bij mij staan die naar ver naar links niet dezelfde plek 
B: 	oké 
A: 	weer bolle bovenop met die armpjes zo en die lang staaf Voorin 
B: 	staaf 
B: 	ja dat zijn even ja dat zijn de L 
B: 	kijken welk letter bij wat horen 
A: 	net iets link uit het midden net niet helemaal helft helft en dan ongeveer helft van de helft boven 
B: 	oké en waar zitten die qua zo 
A: 	beetje tussen half en half half 
B: 	midden 
B: 	ja oké ik 
A: 	tussen midden en half half 
B: 	ja ik denken dat het zelfde plek zijn ja 
A: 	snapan je wat ik bedoelen 
B: 	want je hebben het midden 
A: 	ja 
B: 	en dan daar de helft van 
A: 	ja precies maar daar zitten die tussen zeggen maar 
B: 	of aan die kant ja 
B: 	ja precies ja 
A: 	ja 
B: 	oké zelfde plek 
A: 	oké top 
B: 	die zijn inderdaad wel wat lastig 
A: 	oké 
B: 	oké weer die met dat bolle bovenop 
A: 	ja 
B: 	en die staaf voor en die armpjes zo 
A: 	ja 
A: 	waar zijn die ? nummer zes 
B: 	en hij zitten ongeveer op de helft helft als je hem zo bekijken 
A: 	ja 
B: 	en iets veel rechts dan de helft rechts 
A: 	oké 
A: 	nou 
B: 	dus als je hem helft helft en dan net iets rechts 
A: 	helft helft net iets rechtser ? bij mij eigenlijk niet echt 
B: 	ja 
A: 	dus dat zijn net niet dezelfde plek denken ik 
B: 	oké 
B: 	oké 
A: 	deze zijn weer met dat bolle bovenop en die armpjes zo en de staaf ervoor 
B: 	ja en die lang staaf dat zijn de J 
A: 	en hij zitten ongeveer op de helft van de helft naar rechts 
A: 	en ongeveer op de helft ook wel zo 
B: 	ja 
B: 	oké zelfde plek 
B: 	weer dat bolle bovenop en die lang staaf en die armpjes 
A: 	ja 
A: 	nummer drie 
B: 	hij staan net iets onder de helft 
A: 	ja 
B: 	en helemaal rechts 
A: 	ja bij mij ook zelfde plek denken ik 
B: 	ja 
B: 	grappig ik doen rechts voor jou aan die kant rechts maar bij mij zijn die 
A: 	echt maar bij jou zijn die aan die kant ah Thanks 
B: 	grappig ik zijn al gewoon aan het nee 
A: 	anticiperen handig 
