B: 	dit zijn het kop bekendstaan niet op een tafel maar een soort van erin 
B: 	het het tafelblad komen halverwege het kop 
A: 	ja 
A: 	daar zijn er alleen weer twee van 
A: 	één waarbij die er heel diep in zitten en één waarbij die er maar een klein beetje in zitten bij mij 
B: 	ja 
A: 	degeen waarbij die er heel diep in zit hebben een soort van bak nog ervoor 
A: 	en degeen die waarbij die er maar niet zo diep in zit hebben een soort van staaf en een handvat aan de linkerkant 
B: 	ja die met de staaf en de handvat aan de linkerkant 
A: 	oké 
A: 	dat zijn nummer zes 
A: 	oké 
B: 	en hij staan op de bovenste rij 
B: 	en dan aan niet in het midden maar net aan de rechts van het midden 
A: 	ja dat dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn de iets weinig diep wasbak 
B: 	ja 
A: 	met de met dat handvat links zeggen maar 
B: 	met dat 
B: 	ja 
B: 	dat zijn C bij mij 
A: 	en die staan van die rechtergroep helemaal bovenaan 
B: 	ja 
B: 	ja 
B: 	dit zijn het ondiep door de tafel heen met die buis en 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	en het staan Linksboven in de hoek helemaal 
A: 	dat zijn niet hetzelfde 
A: 	dit zijn de niet zo diep gootsteen met het handvat aan de linkerkant 
B: 	ja dat zijn J 
A: 	die staan bij mij de onderste rij en dan de veel rechter 
B: 	ja 
B: 	de niet zo diep door de tafel met de buis 
A: 	even zoeken ja dat zijn negen 
B: 	en die staan in de aan veel rechterkant de boven 
A: 	dat zijn niet de aller allerrechterste zeggen maar die 
B: 	nee maar dan net iets daarboven 
A: 	oké dat zijn dan niet gelijk 
A: 	dit zijn de niet zo diep gootsteen met de hendel links 
B: 	ja dat zijn N 
A: 	die staan bij mij helemaal bovenin 
A: 	en dan van die vier bovensten zeggen maar zijn het de twee van rechts 
B: 	ja 
